"Daily Weather Observations for Laverton, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3043.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Laverton RAAF {station 087031}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.8","34.6","0","","","NNE","50","03:13","17.8","85","","N","9","1017.7","33.6","20","","NNW","9","1014.2"
"","2016-03-2","15.7","32.5","0","","","SSW","48","15:35","21.6","47","1","SW","4","1016.6","31.7","20","1","ESE","15","1014.5"
"","2016-03-3","17.8","24.6","0","","","S","33","17:43","19.1","72","6","SE","15","1021.3","23.6","48","","SSE","17","1019.3"
"","2016-03-4","14.8","32.3","0","","","S","31","16:27","19.2","74","","W","4","1017.9","31.1","41","","SSE","17","1013.3"
"","2016-03-5","19.2","22.6","0","","","S","31","13:51","20.5","81","7","S","7","1019.4","21.6","73","8","SSE","20","1020.1"
"","2016-03-6","16.5","25.1","0","","","S","39","14:50","19.1","80","8"," ","Calm","1020.4","23.9","65","","S","24","1018.2"
"","2016-03-7","18.5","25.0","0","","","S","35","11:25","20.6","81","8","N","6","1019.5","21.5","77","8","SSE","19","1020.9"
"","2016-03-8","18.7","40.5","0.2","","","NNW","50","07:05","20.2","93","8","NNW","7","1019.3","32.3","45","","SE","13","1014.3"
"","2016-03-9","20.1","26.8","0","","","NNW","43","06:53","25.9","56","5","SW","13","1016.0","22.9","77","8","S","15","1017.3"
"","2016-03-10","18.3","20.3","2.8","","","SE","33","23:01","18.9","84","8","SSE","9","1021.6","19.0","96","7","S","7","1019.5"
"","2016-03-11","18.5","26.9","6.0","","","S","30","17:54","20.2","93","8","NW","7","1017.4","25.7","64","","S","13","1015.9"
"","2016-03-12","20.0","21.9","0.2","","","SSE","31","16:35","20.6","85","8","S","7","1020.1","21.7","79","8","S","15","1020.4"
"","2016-03-13","17.5","23.3","0","","","SSE","31","18:01","18.7","88","8","SE","7","1021.1","22.1","70","7","S","9","1019.0"
"","2016-03-14","17.1","22.1","0.2","","","S","43","14:22","18.9","79","8","S","17","1021.0","20.2","57","8","SSW","30","1020.5"
"","2016-03-15","16.3","25.2","0.2","","","ESE","59","17:54","18.4","75","7","ESE","17","1020.4","24.6","53","","ESE","35","1017.8"
"","2016-03-16","13.2","29.7","0","","","SE","39","16:21","16.9","82","","WNW","7","1019.1","29.4","40","","SE","20","1014.5"
"","2016-03-17","16.9","33.7","0","","","N","52","07:19","24.2","50","4","N","31","1012.1","31.6","32","1","N","24","1006.1"
"","2016-03-18","14.7","20.6","10.6","","","W","76","05:42","14.8","93","","WNW","11","997.2","19.5","43","7","WSW","39","1001.8"
"","2016-03-19","12.0","19.4","3.0","","","S","43","11:45","13.2","85","","WSW","17","1014.5","18.8","46","6","SSW","24","1016.8"
"","2016-03-20","10.6","21.8","1.6","","","SSE","39","16:58","15.2","61","","ESE","15","1020.8","20.9","47","","SE","17","1019.4"
"","2016-03-21","12.6","21.8","0","","","SSE","44","16:10","15.8","75","","ESE","19","1021.8","21.6","55","","SSE","22","1019.8"
"","2016-03-22","8.8","24.1","0","","","SE","22","15:23","13.0","95","","NW","9","1019.8","23.0","49","","SSE","17","1016.6"
"","2016-03-23","11.7","30.1","0","","","WNW","43","12:46","17.0","61","3","NNE","6","1016.2","26.2","35","8","SE","15","1015.1"
"","2016-03-24","17.0","21.4","0","","","S","28","15:16","18.0","80","8","ESE","11","1020.8","19.8","69","8","SSE","17","1019.1"
"","2016-03-25","15.9","21.2","0","","","SW","35","12:31","16.3","75","8","WSW","17","1020.8","20.6","44","","S","19","1019.4"
"","2016-03-26","11.7","20.7","0","","","SW","31","13:54","15.5","80","8","W","13","1020.4","19.4","66","8","SW","20","1019.4"
"","2016-03-27","13.5","19.4","0.2","","","S","37","15:49","14.7","78","8","SW","9","1021.5","18.4","51","4","SSE","24","1020.5"
"","2016-03-28","13.3","18.5","0","","","SSW","35","13:59","15.6","57","6","ESE","15","1020.4","17.3","56","7","SSW","24","1018.5"
"","2016-03-29","15.3","18.5","0","","","SE","35","12:44","16.2","54","8","SE","19","1020.9","16.9","53","8","SSE","22","1020.1"
"","2016-03-30","14.7","19.1","0","","","SSE","39","13:51","15.9","59","7","SSW","17","1020.6","18.0","47","8","SSE","24","1019.9"
"","2016-03-31","8.1","22.4","0","","","S","28","12:20","14.4","68","6","N","9","1020.3","21.7","55","4","SE","13","1017.5"
