"Daily Weather Observations for Lismore, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2074.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Lismore Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Lismore Airport AWS {station 058214}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","19.8","26.0","32.0","","","S","31","01:16","21.6","94","8","SW","17","1019.4","25.5","75","8","SE","15","1018.6"
"","2016-03-2","18.6","27.9","2.2","","","ENE","28","16:45","22.5","89","8","W","9","1020.7","24.6","91","8","SSW","7","1019.5"
"","2016-03-3","18.5","27.8","3.2","","","WSW","28","14:02","21.3","97","7"," ","Calm","1021.9","25.5","75","8","NE","11","1020.2"
"","2016-03-4","18.4","28.3","3.2","","","ESE","28","15:49","20.0","97","8"," ","Calm","1022.1","27.5","57","8","E","17","1019.2"
"","2016-03-5","15.8","28.8","2.0","","","E","26","15:07","19.7","92",""," ","Calm","1021.7","26.8","59","4","ESE","15","1019.7"
"","2016-03-6","15.5","29.6","0","","","SE","30","14:19","22.1","82","1"," ","Calm","1022.0","27.1","63","8","ESE","17","1019.8"
"","2016-03-7","18.8","29.7","0.8","","","ESE","30","12:03","21.5","95","8"," ","Calm","1022.0","28.4","58","","ESE","17","1019.5"
"","2016-03-8","18.8","27.4","3.2","","","E","39","15:13","22.4","91","8","S","11","1021.2","26.0","81","5","E","19","1019.9"
"","2016-03-9","19.5","30.0","25.0","","","NE","37","13:18","22.4","96","6"," ","Calm","1022.6","27.7","64","7","ENE","19","1019.9"
"","2016-03-10","16.1","30.3","0.2","","","E","30","17:45","20.6","96","5","N","7","1022.0","29.9","60","8","E","6","1019.2"
"","2016-03-11","18.7","28.0","0","","","E","26","11:52","22.2","95","8"," ","Calm","1020.4","26.8","73","7","NE","9","1018.3"
"","2016-03-12","18.2","30.1","0.2","","","SE","30","15:07","20.9","97","8","NNW","6","1020.4","29.1","47","","SE","15","1018.6"
"","2016-03-13","17.2","27.8","1.2","","","SSE","31","11:05","22.6","93","6","S","13","1019.4","23.8","90","8","ESE","9","1017.1"
"","2016-03-14","20.0","29.6","4.8","","","E","26","15:26","21.6","97","8"," ","Calm","1017.3","29.4","54","3","ESE","11","1013.7"
"","2016-03-15","16.3","29.2","0","","","S","43","13:55","20.0","98","8"," ","Calm","1015.7","26.8","64","8","SSE","31","1014.1"
"","2016-03-16","19.9","24.7","7.4","","","SSE","39","13:09","22.1","94","8","S","13","1015.5","24.1","85","8","SSE","20","1013.8"
"","2016-03-17","19.7","27.9","9.4","","","SSE","31","09:37","23.2","82","8","SSW","13","1014.7","26.7","68","5","SSE","19","1010.9"
"","2016-03-18","17.2","31.0","1.4","","","NE","35","15:50","20.2","98","6","N","13","1009.9","30.3","58","","NNE","17","1003.8"
"","2016-03-19","19.1","28.3","1.0","","","S","39","12:48","23.7","90",""," ","Calm","1007.6","26.8","70","8","SE","22","1007.3"
"","2016-03-20","20.0","26.9","0","","","S","35","11:23","21.6","74","8","SW","13","1013.9","24.9","68","8","SSE","20","1012.0"
"","2016-03-21","19.2","26.6","0","","","S","48","14:30","21.1","87","8","WSW","15","1014.0","24.6","66","5","SSE","30","1011.3"
"","2016-03-22","16.4","26.8","3.2","","","SE","30","13:26","20.0","74","8","SW","13","1014.8","25.9","52","1","SE","19","1012.0"
"","2016-03-23","14.3","28.6","1.2","","","ESE","26","14:21","19.6","91","","N","7","1017.6","27.7","47","2","SSW","9","1015.2"
"","2016-03-24","15.5","29.7","0.2","","","SE","28","15:02","20.1","90","","N","11","1021.4","29.6","45","","SE","6","1018.2"
"","2016-03-25","14.4","28.9","0","","","ENE","35","15:58","18.1","98","8","N","9","1020.5","28.2","50","","NE","11","1016.2"
"","2016-03-26","16.7","30.8","0","","","SSW","81","17:23","19.7","90","8","N","7","1017.6","29.1","50","","NNE","7","1013.8"
"","2016-03-27","16.9","25.7","21.8","","","NE","26","15:42","19.5","96","8","N","13","1017.7","25.3","70","8","NE","7","1015.5"
"","2016-03-28","17.9","27.9","0.6","","","E","28","14:59","20.1","98","8"," ","Calm","1019.9","27.5","62","4","E","11","1016.6"
"","2016-03-29","15.8","31.0","0","","","NE","37","17:48","20.1","95","1","N","9","1019.6","30.0","52","","ESE","2","1015.7"
"","2016-03-30","20.1","27.9","0","","","W","70","12:22","23.4","83","5","N","7","1016.7","20.0","95","8","NNW","11","1015.5"
"","2016-03-31","16.2","28.0","14.8","","","SE","30","15:00","19.4","97","3","NNE","4","1017.0","26.3","50","3","SE","6","1014.4"
