"Daily Weather Observations for Longerenong, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3044.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken at Longerenong, but pressure from Horsham."
"Temperature, humidity, wind and rainfall observations are from Longerenong {station 079028}"
"Pressure observations are from Horsham Aerodrome {station 079100}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.6","34.0","0","","","W","33","17:33","18.8","65","","ENE","9","1017.1","32.0","19","","WSW","11","1015.1"
"","2016-03-2","13.7","38.7","0","","","NW","48","16:12","21.9","33",""," ","Calm","1016.7","36.9","13","","WNW","17","1014.5"
"","2016-03-3","15.1","34.4","0","","","SE","44","01:42","18.6","72","","SE","19","1019.2","31.8","27","","W","9","1017.1"
"","2016-03-4","17.4","39.0","0","","","WNW","39","16:53","23.3","50","","ESE","15","1015.9","38.0","19","","WSW","17","1012.9"
"","2016-03-5","16.9","35.9","0","","","SE","31","17:38","20.4","70","","SE","20","1017.8","34.6","26","","S","13","1016.4"
"","2016-03-6","16.9","40.2","0","","","SSW","44","16:53","21.4","61","","ESE","19","1017.4","39.2","18","","N","9","1013.9"
"","2016-03-7","21.4","34.3","0","","","SE","56","23:53","24.5","53","","S","13","1016.4","32.5","36","","SE","30","1016.2"
"","2016-03-8","19.7","40.7","0","","","NNW","72","19:58","22.7","64","","E","17","1016.8","38.2","14","","N","20","1013.4"
"","2016-03-9","22.8","32.4","0.8","","","NW","50","23:24","25.3","57","","W","13","1015.1","31.9","35","","SE","19","1014.9"
"","2016-03-10","18.6","22.4","3.8","","","SE","24","12:59","18.8","96","","SSE","7","1019.7","21.9","90","","SE","13","1017.3"
"","2016-03-11","17.2","31.2","8.8","","","SE","30","22:14","19.5","97","","SSE","6","1017.3","30.0","46","","WSW","11","1015.5"
"","2016-03-12","16.9","30.6","0.2","","","SSW","35","15:17","19.1","94","","SSW","9","1019.6","28.8","46","","SSW","11","1019.0"
"","2016-03-13","15.5","32.3","0","","","SE","31","23:14","17.7","89","","ESE","15","1019.8","30.1","33","","W","4","1017.4"
"","2016-03-14","","","0","","","SE","44","18:51","","","","SE","22","1020.1","","","","SE","20","1017.9"
"","2016-03-15","","29.9","0","","","SE","46","23:10","17.7","67","","SE","24","1019.1","28.1","34","","SSE","7","1016.4"
"","2016-03-16","","33.7","0","","","ESE","33","23:11","20.0","69","","E","13","1016.5","31.9","22","","NNW","13","1013.4"
"","2016-03-17","","34.9","0","","","W","44","22:59","","","","ENE","11","1011.1","34.2","24","","N","24","1004.8"
"","2016-03-18","13.0","18.3","9.8","","","W","72","07:07","13.0","79","","WSW","28","1002.2","17.8","61","","SW","35","1006.7"
"","2016-03-19","6.8","19.3","0.4","","","S","31","15:13","11.1","92","","W","13","1017.0","17.6","51","","S","19","1017.5"
"","2016-03-20","8.2","21.6","0","","","SSE","35","10:52","12.9","73","","S","7","1021.5","19.1","38","","SSE","13","1019.6"
"","2016-03-21","8.1","24.9","0","","","SE","37","14:57","15.0","73","","ESE","15","1020.7","23.0","29","","SE","13","1018.1"
"","2016-03-22","11.1","27.8","0","","","ESE","28","23:51","14.9","80","","ESE","13","1018.8","26.3","27","","NE","6","1015.8"
"","2016-03-23","13.3","28.9","0","","","W","43","15:11","15.7","58","","ENE","6","1016.5","28.2","21","","W","19","1015.6"
"","2016-03-24","15.4","27.2","0","","","S","28","19:25","17.5","73","","SSW","11","1019.9","25.3","41","","WSW","7","1018.0"
"","2016-03-25","10.6","23.5","0","","","SW","39","13:50","12.8","74","","SSW","20","1022.0","22.4","35","","SW","24","1019.9"
"","2016-03-26","7.7","20.9","0","","","WSW","35","14:25","12.9","86","","W","7","1021.5","19.5","58","","SW","19","1020.3"
"","2016-03-27","12.2","20.8","0","","","SSE","31","11:52","14.4","71","","S","7","1022.6","19.3","39","","SSE","13","1020.3"
"","2016-03-28","7.5","19.1","0","","","SSE","37","10:09","11.2","74","","S","7","1020.2","17.4","40","","SSW","19","1019.1"
"","2016-03-29","6.8","22.1","0","","","SSW","44","15:36","11.5","80","","SSW","17","1021.4","20.6","34","","SSW","13","1019.0"
"","2016-03-30","","","0","","","SSW","65","14:38","","","","SW","7","1022.4","19.7","35","","SSW","17","1020.6"
"","2016-03-31","6.3","24.0","0","","","SW","33","14:40","12.0","78","","NW","7","1021.2","22.7","45","","WNW","15","1018.1"
