"Daily Weather Observations for Maitland, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2079.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Maitland Visitors Centre {station 061388}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.2","30.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-2","17.5","33.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-3","18.5","33.5","0","","","","","","","","","","","","","","","","",""
"","2016-03-4","20.5","29.5","0","","","","","","","","","","","","","","","","",""
"","2016-03-5","17.1","32.2","0","","","","","","","","","","","","","","","","",""
"","2016-03-6","18.8","31.9","0","","","","","","","","","","","","","","","","",""
"","2016-03-7","18.3","34.4","0","","","","","","","","","","","","","","","","",""
"","2016-03-8","19.8","30.9","0","","","","","","","","","","","","","","","","",""
"","2016-03-9","20.2","35.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-10","19.5","34.5","0","","","","","","","","","","","","","","","","",""
"","2016-03-11","20.0","33.5","0","","","","","","","","","","","","","","","","",""
"","2016-03-12","20.5","34.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-13","20.0","33.2","0","","","","","","","","","","","","","","","","",""
"","2016-03-14","20.7","33.7","0","","","","","","","","","","","","","","","","",""
"","2016-03-15","21.1","27.5","0","","","","","","","","","","","","","","","","",""
"","2016-03-16","20.0","26.5","0","","","","","","","","","","","","","","","","",""
"","2016-03-17","18.5","28.5","2.1","","","","","","","","","","","","","","","","",""
"","2016-03-18","17.0","30.6","0","","","","","","","","","","","","","","","","",""
"","2016-03-19","14.2","26.0","1.2","","","","","","","","","","","","","","","","",""
"","2016-03-20","12.6","25.1","0","","","","","","","","","","","","","","","","",""
"","2016-03-21","16.2","24.3","2.4","","","","","","","","","","","","","","","","",""
"","2016-03-22","15.3","26.3","0","","","","","","","","","","","","","","","","",""
"","2016-03-23","14.2","29.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-24","13.0","","0","","","","","","","","","","","","","","","","",""
"","2016-03-25","","30.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-26","13.0","29.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-27","15.0","29.0","0","","","","","","","","","","","","","","","","",""
"","2016-03-28","16.8","30.7","0","","","","","","","","","","","","","","","","",""
"","2016-03-29","19.3","29.0","0.2","","","","","","","","","","","","","","","","",""
"","2016-03-30","19.0","29.5","20.4","","","","","","","","","","","","","","","","",""
"","2016-03-31","13.0","27.8","0","","","","","","","","","","","","","","","","",""
