"Daily Weather Observations for Mangrove Mountain, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2080.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mangrove Mountain AWS {station 061375}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.4","28.0","0","","","SE","31","14:05","21.2","88",""," ","Calm","","26.8","57","","E","13",""
"","2016-03-2","15.3","30.8","0","","","E","28","15:18","22.5","76","","NE","7","","30.7","45","","ENE","7",""
"","2016-03-3","18.4","31.2","0","","","E","35","14:01","22.5","87","","NNW","4","","30.0","54","","ESE","15",""
"","2016-03-4","17.6","28.1","0","","","ENE","31","20:17","22.0","88","","NE","7","","27.1","61","","ENE","17",""
"","2016-03-5","14.5","29.4","0","","","ENE","30","17:31","19.6","92","","NNE","6","","28.2","55","","E","11",""
"","2016-03-6","14.4","29.2","0","","","ENE","37","16:11","22.6","77","","NE","11","","28.1","60","","E","15",""
"","2016-03-7","19.0","32.2","0.2","","","ENE","26","15:56","21.7","84","","WNW","4","","31.9","47","","NNW","6",""
"","2016-03-8","15.7","28.8","0.2","","","E","33","18:18","22.2","83","","ENE","9","","26.7","59","","ENE","17",""
"","2016-03-9","18.6","33.5","0.2","","","NNW","26","10:41","22.3","87","","NNW","6","","32.5","43","","NE","7",""
"","2016-03-10","19.3","32.0","0","","","SSE","22","15:07","24.8","80","","NW","6","","28.8","48","","SE","11",""
"","2016-03-11","20.8","29.8","0","","","ENE","26","14:13","22.9","84","","NNE","7","","28.9","63","","ESE","15",""
"","2016-03-12","18.2","31.2","0.2","","","ESE","26","15:20","20.3","100","","W","4","","30.4","56","","ENE","9",""
"","2016-03-13","17.0","29.4","0","","","E","24","16:15","22.5","79","","ENE","7","","27.1","62","","ESE","9",""
"","2016-03-14","17.6","30.4","0","","","SSE","28","16:10","20.3","100","","NNW","2","","28.9","56","","NNW","2",""
"","2016-03-15","18.9","22.0","20.6","","","SE","35","08:01","19.0","100","","SSE","13","","19.7","94","","SE","6",""
"","2016-03-16","17.8","24.0","30.2","","","SSE","31","06:53","17.9","100","","SE","11","","22.0","75","","SSE","9",""
"","2016-03-17","17.4","24.3","7.2","","","E","20","14:53","18.4","100","","SW","4","","22.0","77","","ENE","9",""
"","2016-03-18","16.0","27.5","0.6","","","NNW","41","15:03","20.3","88","","NNW","11","","23.6","80","","NNW","17",""
"","2016-03-19","9.9","22.5","0.6","","","SE","24","16:20","16.0","68","","W","7","","21.3","53","","ESE","9",""
"","2016-03-20","12.4","20.0","0","","","SSE","28","12:51","15.6","79","","S","7","","18.9","72","","SSE","11",""
"","2016-03-21","13.8","19.7","19.6","","","S","22","12:38","14.3","100","","SSW","6","","18.4","75","","SSE","9",""
"","2016-03-22","12.8","22.5","2.2","","","WSW","24","08:37","15.7","86","","SW","9","","20.0","66","","SW","6",""
"","2016-03-23","10.5","25.6","0","","","S","17","12:38","15.5","82","","NW","6","","24.6","48","","WSW","6",""
"","2016-03-24","12.3","27.0","0","","","ENE","26","15:53","17.8","91","","NW","6","","25.8","44","","ESE","9",""
"","2016-03-25","13.6","24.3","0","","","SW","17","22:38","19.5","78","","NW","4","","21.2","71","","NW","6",""
"","2016-03-26","13.4","26.6","0","","","E","24","16:19","18.9","96","","WNW","6","","24.4","59","","ESE","6",""
"","2016-03-27","14.4","25.7","0","","","ESE","28","15:39","18.3","100","","S","7","","22.1","79","","SE","13",""
"","2016-03-28","15.3","27.2","1.6","","","E","17","16:41","18.4","100",""," ","Calm","","25.8","63","","W","4",""
"","2016-03-29","18.3","23.8","0.2","","","SSE","19","13:22","19.6","100","","W","4","","22.0","86","","S","9",""
"","2016-03-30","17.6","26.1","1.0","","","NW","24","12:30","18.9","100","","NW","6","","24.6","45","","NW","6",""
"","2016-03-31","11.5","23.9","0","","","ESE","20","16:00","17.7","62","","WSW","4","","22.3","52","","S","7",""
