"Daily Weather Observations for Maryborough, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3048.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Maryborough {station 088043}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.6","32.7","0","","","","","","16.1","94","0","S","2","","","","","","",""
"","2016-03-2","15.0","37.1","0","","","","","","22.7","57","6","SW","2","","","","","","",""
"","2016-03-3","17.1","35.3","0","","","","","","20.7","85","8","SW","4","","","","","","",""
"","2016-03-4","18.0","37.9","0","","","","","","25.0","70","0","ENE","6","","","","","","",""
"","2016-03-5","17.5","37.3","0","","","","","","22.9","83","6","S","2","","","","","","",""
"","2016-03-6","17.8","39.0","0","","","","","","25.1","64","6","S","2","","","","","","",""
"","2016-03-7","22.4","37.4","0","","","","","","26.8","69","5","SE","2","","","","","","",""
"","2016-03-8","19.6","38.9","0","","","","","","22.0","85","5","SSW","2","","","","","","",""
"","2016-03-9","21.7","31.8","0","","","","","","27.1","57","8","SSE","2","","","","","","",""
"","2016-03-10","","22.9","9.2","","","","","","19.2","100","8","SSE","2","","","","","","",""
"","2016-03-11","17.5","31.2","7.2","","","","","","20.1","93","0","S","2","","","","","","",""
"","2016-03-12","17.8","29.7","0","","","","","","20.9","91","8","S","2","","","","","","",""
"","2016-03-13","15.7","32.7","0","","","","","","19.3","85","2","S","4","","","","","","",""
"","2016-03-14","16.0","26.4","0","","","","","","19.3","85","5","SSE","4","","","","","","",""
"","2016-03-15","12.8","29.9","0","","","","","","16.8","85","0","SE","2","","","","","","",""
"","2016-03-16","14.6","31.7","0","","","","","","20.9","80","6","NE","4","","","","","","",""
"","2016-03-17","18.3","31.3","0","","","","","","21.9","76","5","NE","4","","","","","","",""
"","2016-03-18","11.9","18.2","17.8","","","","","","13.8","94","8","SW","2","","","","","","",""
"","2016-03-19","8.5","18.2","4.6","","","","","","13.2","94","8","SW","4","","","","","","",""
"","2016-03-20","11.0","22.1","0","","","","","","13.8","87","5","SW","2","","","","","","",""
"","2016-03-21","10.9","24.5","0","","","","","","12.0","88","0","SE","4","","","","","","",""
"","2016-03-22","10.0","26.5","0","","","","","","16.0","73","0","S","4","","","","","","",""
"","2016-03-23","12.2","28.4","0","","","","","","13.9","89","8","NNE","2","","","","","","",""
"","2016-03-24","13.7","24.5","0.4","","","","","","17.8","86","8","SE","2","","","","","","",""
"","2016-03-25","12.7","22.7","0","","","","","","16.0","82","4","S","4","","","","","","",""
"","2016-03-26","10.7","19.6","0","","","","","","15.1","89","8","SSW","6","","","","","","",""
"","2016-03-27","9.2","20.9","0","","","","","","11.9","79","0","SW","2","","","","","","",""
"","2016-03-28","9.2","19.3","0","","","","","","13.4","83","8","SE","4","","","","","","",""
"","2016-03-29","10.9","20.6","0","","","","","","14.0","80","5","S","6","","","","","","",""
"","2016-03-30","10.2","20.0","0","","","","","","13.0","70","3","S","6","","","","","","",""
"","2016-03-31","8.5","22.0","0","","","","","","15.0","86","0","S","2","","","","","","",""
