"Daily Weather Observations for Melbourne Airport, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3049.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.0","34.5","0","5.2","10.7","NNW","52","13:29","18.6","81","1","NNE","7","1017.6","33.0","14","6","NNW","22","1015.0"
"","2016-03-2","17.2","37.3","0","10.4","11.4","S","46","15:22","24.1","29","2","W","11","1016.8","34.5","13","6","SE","15","1014.4"
"","2016-03-3","16.4","26.4","0","8.8","10.5","SSE","31","23:02","18.5","71","7","SE","13","1021.2","24.7","42","3","SE","15","1019.1"
"","2016-03-4","14.8","39.2","0","5.6","10.6","N","70","16:17","19.6","67","2","SSW","7","1018.0","36.6","19","6","N","33","1013.2"
"","2016-03-5","19.0","24.5","0","9.2","2.3","S","31","13:53","19.6","90","8","SW","13","1019.5","22.2","71","7","S","24","1019.8"
"","2016-03-6","15.0","28.8","0","4.0","8.8","S","33","13:21","18.3","83","8","NE","7","1020.5","26.4","53","6","S","22","1017.8"
"","2016-03-7","17.9","23.9","0","6.0","1.2","WSW","33","00:51","19.9","80","7"," ","Calm","1019.2","20.8","83","8","S","20","1020.9"
"","2016-03-8","18.7","40.2","0","2.4","10.1","NNW","59","13:58","21.4","80","5","NE","6","1019.4","39.5","12","4","N","24","1014.8"
"","2016-03-9","21.4","30.7","0","17.4","0.3","N","56","06:29","27.5","31","7","W","33","1016.6","24.4","62","7","S","22","1017.1"
"","2016-03-10","17.8","20.2","2.4","3.8","0.0","SSW","26","13:10","18.1","92","8","S","15","1021.5","18.8","95","8","SW","11","1019.5"
"","2016-03-11","17.8","28.3","9.8","2.0","9.7","S","28","15:46","20.0","89","7","WSW","4","1017.6","27.4","60","2","S","17","1015.6"
"","2016-03-12","18.4","21.7","0","4.2","0.0","SSE","28","17:16","19.9","88","8","SW","4","1020.1","21.2","80","8","S","17","1020.4"
"","2016-03-13","16.9","24.1","1.0","0.8","4.4","S","28","15:47","17.7","94","8","SSE","11","1021.2","22.5","68","6","W","13","1018.9"
"","2016-03-14","16.6","20.1","0","3.8","0.0","S","39","16:51","17.9","84","7","SSE","20","1020.8","19.6","59","7","S","30","1020.3"
"","2016-03-15","13.0","27.8","0","3.0","9.9","SSE","44","16:12","17.0","75","6","WSW","11","1020.3","26.6","44","5","SSE","26","1017.3"
"","2016-03-16","13.4","31.7","0","5.4","9.9","N","35","13:23","16.7","81","4","N","4","1019.2","30.4","33","6","NNE","19","1014.5"
"","2016-03-17","16.5","33.2","0","9.0","10.2","N","69","08:45","23.4","48","2","N","46","1012.7","31.9","31","7","N","28","1006.8"
"","2016-03-18","13.7","20.4","8.2","12.0","5.5","WSW","78","11:31","13.8","94","8","NNW","11","997.6","18.9","40","5","SW","46","1002.2"
"","2016-03-19","10.8","19.4","3.0","6.2","1.8","SSW","41","10:36","12.7","85","7","WSW","22","1014.5","17.6","47","7","SSW","28","1016.5"
"","2016-03-20","10.4","22.0","1.2","3.2","10.9","S","39","18:17","13.6","61","2","SE","13","1020.6","20.6","35","1","SE","6","1019.1"
"","2016-03-21","8.7","22.7","0","4.8","11.4","S","43","13:23","12.8","87","1","W","7","1021.5","21.9","47","3","S","28","1019.2"
"","2016-03-22","9.5","25.9","0","5.2","11.2","S","30","15:03","13.5","87","1","NNW","7","1019.8","24.5","32","1","S","13","1016.3"
"","2016-03-23","12.6","29.4","0","5.8","3.1","WNW","48","12:19","19.4","40","7","N","24","1016.5","27.6","17","7","WSW","26","1015.3"
"","2016-03-24","16.6","21.1","0.6","5.2","0.3","SSW","30","14:35","16.9","91","8","SW","9","1020.8","20.5","64","7","S","11","1018.8"
"","2016-03-25","12.9","21.9","0.2","3.2","7.8","SSE","37","15:13","15.6","78","8","SW","15","1020.7","20.4","41","6","SE","26","1019.1"
"","2016-03-26","11.0","20.3","0","4.0","0.6","S","33","19:15","15.2","80","7","W","13","1020.3","19.3","56","7","SSW","13","1019.2"
"","2016-03-27","12.9","19.5","0.8","2.2","3.7","SSE","41","12:28","13.2","86","7","SSW","13","1021.4","18.6","41","6","SSE","24","1020.3"
"","2016-03-28","7.0","19.7","0","4.0","3.9","S","46","12:45","12.6","62","6","S","9","1020.1","17.5","40","8","S","28","1018.1"
"","2016-03-29","12.5","18.0","0","4.6","0.0","SSE","39","09:51","15.2","55","7","SSE","22","1020.3","16.6","54","7","S","28","1019.5"
"","2016-03-30","13.4","18.3","0","4.0","2.3","SSE","39","05:31","14.1","61","7","SW","13","1020.5","17.5","45","7","S","24","1019.7"
"","2016-03-31","7.0","24.3","0","3.2","8.4","S","33","14:30","14.5","65","3","NNE","9","1020.1","22.7","43","7","S","17","1017.3"
