"Daily Weather Observations for Merimbula, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2082.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merimbula Airport AWS {station 069147}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.4","26.4","0","","","NE","41","14:12","23.1","72","","NNE","11","1021.4","25.4","67","","NE","24","1018.4"
"","2016-03-2","17.4","28.5","0","","","NE","31","14:20","21.1","90",""," ","Calm","1017.9","27.5","64","","NE","19","1015.4"
"","2016-03-3","17.1","27.6","0","","","SE","30","10:34","21.5","76",""," ","Calm","1020.8","26.1","66","","E","15","1020.1"
"","2016-03-4","17.0","28.0","0","","","NE","43","14:42","20.7","86","4"," ","Calm","1019.7","26.6","67","","NE","22","1017.3"
"","2016-03-5","16.5","27.7","0","","","NE","31","12:44","20.5","92",""," ","Calm","1018.6","25.0","69","","NE","17","1017.7"
"","2016-03-6","19.4","27.2","0","","","NE","39","14:31","23.4","76","","NNW","7","1020.8","27.0","62","","NE","19","1018.6"
"","2016-03-7","16.0","27.5","0","","","NE","28","10:49","21.1","86","","ENE","4","1019.5","25.6","71","","ESE","15","1019.3"
"","2016-03-8","17.2","26.5","0","","","NE","43","14:21","21.3","86",""," ","Calm","1023.1","25.5","72","","NE","24","1021.0"
"","2016-03-9","15.1","28.3","0","","","ESE","31","15:32","22.4","73","","NNW","9","1017.6","27.1","64","","NE","17","1014.3"
"","2016-03-10","18.1","25.1","0","","","SSW","17","08:23","21.7","80",""," ","Calm","1022.5","24.3","74","","ESE","9","1021.1"
"","2016-03-11","19.9","27.6","1.0","","","NE","30","14:57","20.9","96","5"," ","Calm","1018.3","26.6","70","","NE","15","1015.2"
"","2016-03-12","17.3","24.7","1.6","","","SE","20","15:31","20.7","89","","E","7","1019.6","23.7","80","1","SE","4","1019.1"
"","2016-03-13","20.1","25.8","0.2","","","ESE","17","11:16","21.4","91","8"," ","Calm","1020.7","24.6","79","5"," ","Calm","1018.1"
"","2016-03-14","18.7","26.4","0","","","SE","43","15:02","20.9","92","7","S","7","1017.7","24.4","67","","SE","22","1017.0"
"","2016-03-15","18.0","20.7","0.8","","","S","28","12:14","18.7","84","8","SW","7","1022.4","18.5","91","8","S","15","1022.4"
"","2016-03-16","16.7","23.6","20.8","","","SE","22","12:26","18.3","92","8","WSW","9","1022.7","22.4","70","8","ENE","11","1020.7"
"","2016-03-17","12.7","24.2","0.2","","","NE","30","11:22","17.8","91","1"," ","Calm","1016.9","23.3","66","","NE","19","1012.0"
"","2016-03-18","14.9","22.8","0","","","SSW","61","12:24","18.6","94","3","WNW","4","997.2","16.4","94","4","SSE","7","993.6"
"","2016-03-19","10.9","21.9","20.2","","","SW","43","14:20","16.6","49","","W","17","1010.7","21.4","44","1","WSW","20","1012.3"
"","2016-03-20","13.5","22.2","0","","","SSE","33","10:41","16.3","65","4","WSW","13","1019.7","21.0","52","5","SE","11","1018.9"
"","2016-03-21","12.5","22.0","0","","","S","39","14:01","17.8","66","8","WSW","13","1020.6","19.5","66","2","SE","19","1018.8"
"","2016-03-22","12.8","22.8","2.0","","","SW","35","09:06","18.2","65","","SW","15","1020.0","20.0","62","8","SSE","17","1018.0"
"","2016-03-23","10.0","23.1","0","","","NE","26","12:55","16.0","80","","WNW","9","1017.3","22.6","57","","NE","13","1015.8"
"","2016-03-24","13.3","21.5","0","","","E","17","14:59","16.4","85","1"," ","Calm","1020.4","20.7","66","7"," ","Calm","1019.7"
"","2016-03-25","15.2","24.3","0","","","ESE","37","12:29","17.7","86","2"," ","Calm","1017.4","22.9","63","","SE","19","1015.4"
"","2016-03-26","12.3","23.0","0","","","SE","24","17:03","17.6","72",""," ","Calm","1018.7","22.2","59","","ESE","13","1016.8"
"","2016-03-27","15.9","21.3","0","","","S","28","16:14","17.9","70","8","SW","9","1019.8","20.5","61","8","SSE","13","1018.3"
"","2016-03-28","14.9","18.4","0","","","S","17","17:29","16.1","71","8"," ","Calm","1021.1","18.1","68","8"," ","Calm","1018.1"
"","2016-03-29","14.7","18.2","0.4","","","SW","24","03:54","15.6","91","8"," ","Calm","1020.6","17.3","89","8","SW","7","1019.1"
"","2016-03-30","15.5","23.6","40.0","","","SW","41","13:44","17.2","94","8","WNW","6","1014.6","20.0","65","8","SW","22","1012.3"
"","2016-03-31","14.4","24.0","2.0","","","SW","37","10:40","17.2","62","","W","11","1017.8","23.6","44","","SW","13","1015.9"
