"Daily Weather Observations for Merriwa, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2158.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merriwa (Roscommon) {station 061287}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.3","31.2","0","","","SE","33","14:39","20.1","79","1","ESE","17","1020.9","29.6","30","","ESE","19","1018.4"
"","2016-03-2","13.2","34.2","0","","","NE","31","16:08","20.1","93","4","ENE","9","1021.6","32.9","24","","E","13","1018.1"
"","2016-03-3","14.6","35.5","0","","","E","37","15:39","22.9","77","2","ESE","6","1021.6","34.2","25","","SW","7","1018.1"
"","2016-03-4","15.8","31.8","0","","","ESE","33","15:39","20.9","86","7","E","11","1021.5","30.5","35","1","E","9","1018.1"
"","2016-03-5","14.8","33.6","0","","","ENE","35","16:33","19.1","96","8","E","9","1021.7","31.3","33","","SSE","15","1018.3"
"","2016-03-6","13.6","33.2","0","","","ESE","35","16:52","19.8","84","2","E","9","1022.5","31.9","28","","ESE","15","1019.1"
"","2016-03-7","15.6","34.3","0","","","ESE","26","16:14","19.0","99","8","ESE","11","1022.0","33.2","27","","ENE","13","1017.9"
"","2016-03-8","16.6","32.3","0","","","ESE","43","18:00","21.9","80","7","E","15","1022.8","30.5","35","","E","17","1019.9"
"","2016-03-9","19.1","34.7","0","","","ESE","26","23:05","22.6","82","8","E","6","1022.4","33.6","33","7","SE","11","1017.9"
"","2016-03-10","16.5","35.7","0","","","SSE","39","14:01","25.7","59","","WSW","6","1020.6","33.3","30","3","SE","11","1017.1"
"","2016-03-11","19.3","34.6","0","","","ESE","102","16:39","22.3","81","6","E","13","1020.2","32.5","35","","E","13","1015.7"
"","2016-03-12","17.3","34.3","33.8","","","SE","24","15:51","20.1","99","7","S","6","1020.0","32.1","42","","ESE","7","1017.0"
"","2016-03-13","18.5","32.7","0","","","SE","26","15:17","21.0","86","3","ENE","11","1020.2","31.6","38","","SE","11","1016.0"
"","2016-03-14","19.8","28.8","0","","","ESE","48","19:43","22.1","88","5","S","4","1017.0","23.3","89","3","NW","13","1014.9"
"","2016-03-15","18.0","27.0","0.8","","","SE","48","16:28","20.8","89","8","E","9","1018.2","24.6","62","8","SE","26","1016.8"
"","2016-03-16","17.5","25.7","0","","","ESE","43","12:32","20.0","87","7","ESE","17","1018.2","23.5","65","1","ESE","28","1016.7"
"","2016-03-17","15.7","25.9","0","","","","","","19.2","86","8","ESE","15","1016.5","25.8","52","6","NE","9","1011.7"
"","2016-03-18","14.9","29.1","","","","NW","100","15:50","18.0","98","8","SSW","4","1005.4","28.0","62","2","NW","33","1000.8"
"","2016-03-19","9.7","23.7","13.6","","","E","44","20:16","13.2","77","","WSW","13","1011.9","22.9","30","","W","9","1009.7"
"","2016-03-20","11.4","23.1","0","","","ESE","41","15:08","15.0","82","8","ESE","13","1015.7","20.9","56","8","ESE","24","1013.8"
"","2016-03-21","13.9","23.3","0","","","ESE","41","10:27","16.1","80","8","ESE","22","1016.8","21.5","57","4","ESE","24","1014.5"
"","2016-03-22","10.4","24.9","0","","","SE","33","13:47","16.2","83","4","E","9","1017.5","22.3","41","5","SE","17","1014.0"
"","2016-03-23","8.0","27.2","0","","","ESE","24","09:22","14.9","88",""," ","Calm","1018.4","25.9","32","","SW","9","1016.4"
"","2016-03-24","9.1","30.0","0","","","ESE","26","20:34","16.0","75","","SW","6","1021.1","28.7","21","","SSW","11","1017.6"
"","2016-03-25","9.8","26.9","0","","","SSW","31","12:36","15.6","74","8","WSW","9","1019.1","24.0","48","3","WSW","13","1017.2"
"","2016-03-26","9.5","28.8","0.2","","","ESE","28","14:12","17.8","82","1","SE","6","1018.4","27.8","40","1","SE","7","1015.1"
"","2016-03-27","11.2","30.0","0","","","E","39","18:50","16.3","98","5"," ","Calm","1017.5","28.6","32","1","ESE","13","1014.0"
"","2016-03-28","15.3","31.1","0","","","WNW","35","14:31","19.2","90","8","E","13","1018.0","30.4","23","1","WNW","22","1014.3"
"","2016-03-29","13.7","28.6","1.0","","","W","43","12:43","16.6","97","8","SW","6","1017.1","24.3","36","7","W","22","1015.7"
"","2016-03-30","14.0","25.4","0.4","","","WNW","39","12:31","17.7","65","5","WNW","9","1016.6","24.2","42","8","WSW","20","1014.1"
"","2016-03-31","10.7","27.5","0","","","WNW","28","14:13","16.6","51","","WNW","15","1018.0","27.3","20","","WNW","11","1015.0"
