"Daily Weather Observations for Moorabbin, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3052.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moorabbin Airport {station 086077}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.7","34.6","0","","","N","48","12:47","18.4","88","7","N","13","1017.8","32.4","22","","N","28","1014.5"
"","2016-03-2","15.0","33.7","0","","","SSW","48","16:47","23.0","46","1","WSW","9","1016.6","32.8","19","3","S","11","1014.5"
"","2016-03-3","15.4","26.4","0","","","SW","39","15:34","18.2","74","2","SE","17","1021.2","25.0","48","","SW","20","1018.7"
"","2016-03-4","15.6","33.3","0","","","WNW","35","17:23","21.0","64","","ESE","11","1017.9","32.2","40","","SSW","17","1013.5"
"","2016-03-5","20.0","23.7","0","","","SW","28","01:45","20.6","85","8","SSW","11","1019.3","22.8","68","8","SSE","13","1019.9"
"","2016-03-6","16.5","28.2","0","","","S","35","15:00","19.5","74","8","ESE","11","1020.4","24.9","63","","SW","20","1018.0"
"","2016-03-7","18.5","26.3","0.2","","","SSW","37","02:10","20.9","81","8","NE","7","1019.2","24.7","61","8","SSE","20","1020.4"
"","2016-03-8","20.1","40.8","0","","","N","48","15:36","20.9","84","8","WNW","7","1019.5","39.6","17","","NNW","22","1014.2"
"","2016-03-9","20.7","28.6","0","","","N","54","04:22","28.1","39","8","W","19","1015.4","23.6","73","8","SW","19","1016.7"
"","2016-03-10","16.6","21.3","0.6","","","SE","28","23:04","18.3","87","8","SSE","11","1021.6","19.7","90","8","SW","11","1019.6"
"","2016-03-11","18.3","25.6","6.8","","","SE","24","18:39","20.9","93","8","NW","9","1017.4","24.3","72","","SSW","17","1016.0"
"","2016-03-12","17.6","22.6","0","","","SSW","31","15:25","19.7","98","8","ESE","9","1020.2","22.2","78","8","SSW","17","1020.3"
"","2016-03-13","17.5","23.3","0","","","SW","33","15:22","18.7","82","8","SSE","11","1021.0","22.1","73","1","SSW","20","1018.8"
"","2016-03-14","17.8","21.2","0","","","SW","43","15:44","18.9","74","8","SE","15","1020.9","20.2","60","8","SSW","24","1020.5"
"","2016-03-15","13.4","26.0","0","","","ESE","69","09:30","18.5","72","6","ESE","33","1020.4","25.1","51","1","ESE","43","1018.2"
"","2016-03-16","15.9","31.2","0","","","ESE","46","23:20","18.7","73","7","E","9","1019.2","29.3","38","2","ESE","11","1014.9"
"","2016-03-17","15.5","34.1","0","","","N","50","08:44","25.0","47","","N","30","1012.1","32.0","29","8","N","20","1006.4"
"","2016-03-18","15.1","19.2","17.2","","","NW","83","06:03","15.4","88","8","W","17","997.4","16.8","61","8","SW","46","1002.0"
"","2016-03-19","12.3","19.0","11.2","","","S","48","12:32","14.4","83","8","WSW","11","1014.1","16.5","69","8","SE","11","1016.8"
"","2016-03-20","9.3","22.9","0.2","","","E","44","10:55","12.9","81","","SE","11","1020.8","21.7","42","5","SE","17","1019.1"
"","2016-03-21","10.9","23.7","0","","","ESE","46","11:56","13.9","83","","SE","17","1021.7","22.2","46","2","SE","30","1019.5"
"","2016-03-22","10.2","24.0","0","","","ESE","33","23:18","14.0","83","","NNE","4","1020.0","23.0","49","","SSW","17","1016.6"
"","2016-03-23","11.7","28.7","0","","","N","33","12:23","17.9","64","7","N","11","1016.3","25.3","34","8","SSW","20","1015.3"
"","2016-03-24","15.9","21.9","0","","","SW","31","14:48","17.4","86","8","SE","13","1021.0","21.0","64","8","SSW","19","1018.8"
"","2016-03-25","14.3","19.9","0","","","SSW","35","14:19","15.6","85","8","E","6","1020.8","19.0","51","","SSW","22","1019.9"
"","2016-03-26","13.9","19.8","0.4","","","SW","39","20:25","16.9","80","8","W","11","1020.0","19.1","64","7","WSW","13","1019.4"
"","2016-03-27","14.0","19.9","0.8","","","SSW","39","23:23","15.3","71","8","SE","11","1021.5","19.0","47","7","SSW","19","1020.5"
"","2016-03-28","7.1","19.5","0","","","SE","39","10:52","12.6","75","3","SE","7","1020.4","18.5","45","8","SSE","24","1018.2"
"","2016-03-29","12.6","18.1","0","","","SE","41","10:56","15.6","62","8","SSE","17","1020.8","17.3","53","8","S","24","1019.8"
"","2016-03-30","14.2","18.3","0","","","SSW","35","13:43","16.2","62","8","S","20","1020.5","18.1","52","8","SSW","22","1019.8"
"","2016-03-31","9.7","22.3","0","","","SW","26","12:17","13.3","70","6","N","9","1020.1","21.2","54","","SW","13","1017.7"
