"Daily Weather Observations for Mortlake, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3053.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mortlake Racecourse {station 090176}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.3","32.7","0","","","SW","50","15:09","16.5","100","","NE","11","1016.9","31.8","20","","WNW","13","1015.0"
"","2016-03-2","11.3","30.8","0","","","SW","41","15:07","18.8","70",""," ","Calm","1017.1","24.5","54","","SSW","28","1016.7"
"","2016-03-3","12.3","29.5","0","","","SSW","41","16:49","15.6","79","","SE","9","1021.5","27.7","33","","E","9","1018.7"
"","2016-03-4","11.3","33.7","0","","","SW","39","15:02","16.8","87","","E","9","1017.8","32.0","34","","SW","20","1014.2"
"","2016-03-5","16.2","24.4","0","","","SSW","28","00:39","18.7","89","","S","13","1019.9","23.5","63","","SE","13","1019.9"
"","2016-03-6","10.3","30.3","0","","","NW","46","21:41","17.0","87","","E","11","1019.7","29.3","39","","S","17","1018.1"
"","2016-03-7","16.5","30.4","0.4","","","SE","52","11:32","17.8","96","","S","15","1020.7","30.1","38","","E","20","1019.4"
"","2016-03-8","14.3","41.1","0","","","NNW","48","14:39","20.9","85","","ENE","19","1018.0","37.9","18","","WNW","19","1013.1"
"","2016-03-9","18.2","22.6","0","","","SW","33","03:14","18.4","100","","SW","9","1016.7","21.5","84","","SE","4","1017.4"
"","2016-03-10","16.5","20.8","4.6","","","ENE","31","11:35","16.7","96","","ESE","6","1021.2","18.9","98","","ENE","13","1018.1"
"","2016-03-11","16.4","29.3","5.0","","","S","33","15:45","17.2","100","","NE","2","1017.9","27.5","54","","WSW","9","1016.0"
"","2016-03-12","16.6","22.4","0.2","","","S","26","15:00","16.7","100","","SSW","13","1021.1","21.2","76","","S","13","1021.0"
"","2016-03-13","14.9","25.7","0.2","","","S","30","19:04","15.2","100","","ENE","11","1021.3","23.7","62","","S","9","1019.0"
"","2016-03-14","15.1","21.2","0","","","SSE","43","14:10","15.5","99","","SSE","22","1022.1","19.7","53","","SSE","26","1021.3"
"","2016-03-15","12.7","25.8","0.2","","","ESE","54","12:11","17.1","83","","ESE","22","1020.9","24.5","53","","ESE","35","1018.5"
"","2016-03-16","14.6","33.2","0","","","E","52","23:02","17.0","82","","E","20","1017.6","31.4","25","","NW","11","1013.6"
"","2016-03-17","14.5","34.6","0","","","N","52","13:54","24.3","49","","N","20","1010.5","32.7","28","","NNW","37","1004.6"
"","2016-03-18","12.9","17.4","16.6","","","SW","69","09:40","13.8","83","","WSW","24","999.3","14.2","79","","SW","35","1005.8"
"","2016-03-19","10.2","17.7","2.2","","","S","35","14:24","13.1","80","","SW","11","1015.7","15.2","61","","S","20","1018.4"
"","2016-03-20","11.3","20.2","0.2","","","S","35","14:50","13.2","77","","SSE","7","1021.6","18.2","55","","SSE","15","1020.4"
"","2016-03-21","5.9","23.0","0","","","ESE","43","15:46","10.1","100",""," ","Calm","1022.8","21.6","43","","SE","19","1020.0"
"","2016-03-22","5.2","27.2","0","","","SSW","33","17:07","10.3","100","","NNE","9","1019.7","25.2","31","","NW","11","1016.1"
"","2016-03-23","10.3","27.4","0","","","SSW","33","15:35","17.0","70","","NE","7","1015.7","23.9","42","","SSW","19","1016.1"
"","2016-03-24","14.6","21.7","0","","","S","30","15:27","15.6","90","","SSE","11","1021.2","21.0","58","","SW","6","1019.3"
"","2016-03-25","9.2","21.5","0","","","SW","33","12:02","12.6","78","","W","6","1021.5","18.8","52","","SW","24","1020.5"
"","2016-03-26","12.6","18.8","0.4","","","SW","35","13:59","13.9","100","","WNW","13","1020.5","17.4","73","","SW","30","1020.1"
"","2016-03-27","8.9","18.0","1.4","","","S","30","14:44","12.9","81","","SSW","7","1022.8","16.3","55","","S","15","1021.3"
"","2016-03-28","10.4","17.8","0.2","","","SSW","33","17:33","12.9","79","","S","2","1020.9","16.3","53","","S","15","1019.4"
"","2016-03-29","11.4","17.9","0","","","SSW","39","14:28","13.5","76","","S","9","1021.9","17.0","53","","S","24","1021.0"
"","2016-03-30","11.7","19.3","0","","","SSW","33","16:22","12.3","72","","W","2","1022.0","17.4","48","","S","11","1020.7"
"","2016-03-31","7.5","23.8","0","","","NW","33","12:19","12.5","100","","NNW","9","1020.1","21.8","48","","W","17","1017.5"
