"Daily Weather Observations for Moss Vale, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2086.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Moss Vale AWS {station 068239}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.6","25.7","0","","","NNE","44","13:35","19.0","81","","N","9","1021.4","24.7","53","","NNE","24","1019.6"
"","2016-03-2","15.6","30.6","0","","","N","39","17:44","21.6","64","","N","13","1020.8","29.4","33","","NE","24","1018.7"
"","2016-03-3","16.6","31.8","0","","","NE","35","13:44","23.4","58","","N","13","1021.5","27.4","39","","NE","22","1019.5"
"","2016-03-4","16.5","27.4","0","","","NNE","37","08:44","18.7","88","","NNE","22","1022.2","26.2","40","","NE","19","1020.0"
"","2016-03-5","13.7","30.8","0","","","NNE","31","23:01","17.3","85","","NNW","11","1021.4","30.1","32","","N","9","1019.4"
"","2016-03-6","13.6","28.0","0","","","NNE","50","08:44","19.5","77","","NNE","26","1022.8","27.2","44","","NNE","28","1020.8"
"","2016-03-7","15.2","32.5","0","","","NNE","39","23:17","19.9","85","","NE","9","1021.7","31.6","20","","SW","13","1018.9"
"","2016-03-8","16.9","26.9","0","","","NE","43","21:49","19.3","83","","NNE","28","1023.7","25.8","43","","NNE","22","1022.2"
"","2016-03-9","17.6","33.0","0","","","NNE","52","01:23","21.8","74","","N","20","1021.8","32.9","22","","W","19","1018.2"
"","2016-03-10","15.0","28.9","0","","","WSW","35","09:36","19.6","100",""," ","Calm","1021.5","23.5","74","","SE","20","1020.1"
"","2016-03-11","18.1","27.4","0.6","","","NW","43","13:09","19.6","97","","NE","15","1020.5","18.9","100","","WSW","13","1020.0"
"","2016-03-12","15.3","30.8","7.2","","","NNE","31","00:18","18.0","",""," ","Calm","1020.5","29.4","45","","SSE","13","1018.2"
"","2016-03-13","17.6","27.4","0","","","NNE","37","09:15","19.4","86","","NE","20","1020.9","25.9","43","","NNE","20","1017.9"
"","2016-03-14","15.5","28.0","0","","","SE","46","13:16","18.7","","","W","2","1017.3","19.9","91","","SSE","31","1016.0"
"","2016-03-15","15.3","21.0","0","","","SSE","41","19:14","16.9","87","","SSE","24","1020.4","20.0","68","","S","24","1019.2"
"","2016-03-16","13.8","18.8","9.0","","","SSE","39","01:01","15.5","96","","SSE","22","1020.5","18.4","78","","SSE","19","1018.7"
"","2016-03-17","14.3","23.6","8.0","","","NNE","37","16:50","17.3","99","","NE","13","1016.9","20.7","71","","NE","26","1012.4"
"","2016-03-18","15.7","21.7","0","","","WSW","72","16:13","16.6","98","","N","22","1002.6","16.3","95","","W","44","997.9"
"","2016-03-19","7.5","18.3","3.8","","","W","39","23:04","10.6","69","","WSW","22","1009.9","17.1","46","","SW","19","1010.1"
"","2016-03-20","7.3","17.6","0","","","SSE","43","14:16","12.3","78","","SSE","20","1017.1","14.8","70","","SE","28","1016.1"
"","2016-03-21","9.4","16.0","0","","","SSE","37","03:38","12.0","89","","S","26","1017.7","14.7","77","","SSE","19","1016.5"
"","2016-03-22","10.0","17.3","1.4","","","SSW","39","13:30","11.2","99","","SW","13","1017.7","15.1","76","","S","26","1015.6"
"","2016-03-23","8.3","23.9","0.2","","","SW","33","10:29","11.6","100","","W","9","1017.4","22.7","34","","S","11","1015.8"
"","2016-03-24","8.5","24.4","0","","","NNW","28","10:14","14.3","72",""," ","Calm","1020.8","24.0","33","","N","19","1018.8"
"","2016-03-25","14.3","22.3","0","","","WSW","39","14:29","16.5","51","","N","28","1018.3","19.3","59","","WSW","22","1016.2"
"","2016-03-26","12.1","24.9","0.2","","","E","30","14:32","14.1","","","ESE","2","1018.3","23.9","39","","NNW","13","1015.3"
"","2016-03-27","14.1","22.2","0","","","ENE","31","12:04","16.6","94","","SE","13","1018.6","19.5","69","","ENE","20","1016.4"
"","2016-03-28","13.6","22.7","0","","","N","39","11:56","14.1","","","SSE","13","1019.0","21.7","66","","NE","26","1015.2"
"","2016-03-29","14.1","16.5","0","","","SSE","24","10:11","14.5","","","SSE","17","1018.3","15.4","","","SE","7","1016.6"
"","2016-03-30","12.2","21.6","6.8","","","W","52","12:22","14.5","80","","WSW","17","1014.5","19.0","44","","W","26","1012.6"
"","2016-03-31","8.9","20.1","0","","","NE","46","20:02","13.3","75","","SW","15","1016.6","19.4","53","","S","13","1015.7"
