"Daily Weather Observations for Mount Baw Baw, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3095.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Baw Baw {station 085291}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.3","21.1","0","","","N","35","09:03","14.1","57",""," ","Calm","","20.2","34","","NW","13",""
"","2016-03-2","13.9","23.3","0","","","NNE","24","00:32","16.1","36","","SW","13","","21.8","37","","SW","15",""
"","2016-03-3","13.8","23.1","0","","","NW","31","13:08","17.2","46","","N","11","","21.3","39","","WNW","15",""
"","2016-03-4","15.1","24.4","0","","","WSW","43","18:38","17.5","53","","NNE","13","","23.8","37","","NW","13",""
"","2016-03-5","15.2","24.1","0.8","","","NNW","35","00:25","18.6","52","","NNW","15","","23.4","41","","WNW","15",""
"","2016-03-6","17.9","24.5","0","","","NNW","30","09:31","19.2","55","","N","13","","23.2","54","","WSW","13",""
"","2016-03-7","17.9","24.6","0","","","N","22","10:28","18.5","60",""," ","Calm","","23.1","45","","W","9",""
"","2016-03-8","16.0","26.2","0","","","NE","28","21:55","19.3","55","","NE","7","","26.0","33","","WSW","9",""
"","2016-03-9","17.3","20.2","0","","","N","43","04:53","17.6","55","","N","17","","18.8","59","","W","11",""
"","2016-03-10","12.9","16.3","2.0","","","W","24","05:13","14.0","89","","NNE","9","","14.4","92","","SE","9",""
"","2016-03-11","11.9","18.9","15.0","","","NNW","33","06:03","13.4","99","","N","13","","16.4","94","","WNW","11",""
"","2016-03-12","13.0","18.9","2.8","","","SW","22","12:23","14.2","99","","SSW","6","","18.2","74","","WSW","13",""
"","2016-03-13","11.4","18.9","0","","","SW","22","15:07","13.1","99",""," ","Calm","","17.9","58","","WSW","11",""
"","2016-03-14","8.7","16.3","0","","","","","","11.1","85","","WSW","7","","10.9","99","","SW","9",""
"","2016-03-15","7.3","12.1","","","","ENE","41","14:41","8.0","100",""," ","Calm","","10.2","100","","ENE","17",""
"","2016-03-16","7.6","17.8","0","","","ENE","30","00:28","12.0","90",""," ","Calm","","15.7","74","","E","4",""
"","2016-03-17","11.4","19.7","0","","","","","","13.3","73",""," ","Calm","","18.9","47","","ENE","6",""
"","2016-03-18","6.4","6.5","21.6","","","SW","70","07:54","6.4","99","","WSW","39","","4.4","99",""," ","Calm",""
"","2016-03-19","1.1","4.1","36.2","","","","","23:01","2.8","99",""," ","Calm","","3.4","99",""," ","Calm",""
"","2016-03-20","-0.8","8.5","6.2","","","ENE","22","12:29","2.7","99",""," ","Calm","","6.6","84",""," ","Calm",""
"","2016-03-21","2.2","9.3","0.2","","","","","23:01","4.3","98",""," ","Calm","","7.8","85",""," ","Calm",""
"","2016-03-22","4.2","13.4","0","","","SW","15","15:11","6.6","99",""," ","Calm","","10.7","86",""," ","Calm",""
"","2016-03-23","6.5","13.2","0","","","W","33","11:25","10.2","65",""," ","Calm","","12.6","63",""," ","Calm",""
"","2016-03-24","7.8","12.1","0.6","","","W","30","12:15","8.2","96",""," ","Calm","","10.5","83",""," ","Calm",""
"","2016-03-25","7.0","9.4","0.8","","","W","30","06:51","7.1","99",""," ","Calm","","7.9","99",""," ","Calm",""
"","2016-03-26","3.2","12.7","0","","","WSW","35","22:12","4.8","99",""," ","Calm","","8.8","99",""," ","Calm",""
"","2016-03-27","3.6","7.8","5.2","","","WSW","35","23:05","4.1","99",""," ","Calm","","4.9","99",""," ","Calm",""
"","2016-03-28","2.6","11.0","0.2","","","NNE","17","10:43","5.3","99",""," ","Calm","","10.1","86",""," ","Calm",""
"","2016-03-29","3.6","8.3","0","","","ENE","13","16:04","4.4","99",""," ","Calm","","7.1","99",""," ","Calm",""
"","2016-03-30","4.1","6.3","0","","","","","23:01","4.9","99",""," ","Calm","","5.3","99",""," ","Calm",""
"","2016-03-31","1.4","11.4","3.6","","","SSW","17","10:33","3.6","99",""," ","Calm","","11.1","93",""," ","Calm",""
