"Daily Weather Observations for Mount Buller, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3054.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Buller {station 083024}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","9.9","20.5","","","","NNE","56","09:01","11.1","98","","N","33","","18.4","55","","N","20",""
"","2016-03-2","11.0","24.2","0","","","NNW","44","03:18","17.0","34",""," ","Calm","","21.7","26","","N","4",""
"","2016-03-3","15.7","24.1","0","","","N","50","12:08","17.4","47",""," ","Calm","","23.2","32","","NW","2",""
"","2016-03-4","13.5","23.8","0","","","NNW","50","19:43","17.6","54","","N","4","","22.2","42","","N","13",""
"","2016-03-5","16.5","25.0","0","","","NNW","57","02:15","19.1","54","","NNW","24","","22.9","40","","NNW","6",""
"","2016-03-6","16.7","25.6","0","","","N","46","03:17","19.1","57","","N","2","","22.5","42","","NW","2",""
"","2016-03-7","17.3","26.0","0","","","N","35","07:01","19.7","43","","N","19","","22.9","39",""," ","Calm",""
"","2016-03-8","17.3","25.8","0","","","N","46","22:01","19.8","48","","N","2","","24.4","36","","NNE","22",""
"","2016-03-9","14.3","22.8","0","","","N","61","06:52","15.4","68","","N","33","","20.1","56","","N","28",""
"","2016-03-10","13.1","19.7","7.8","","","WNW","41","19:18","14.2","84","","WSW","2","","19.5","68","","NE","4",""
"","2016-03-11","12.3","17.4","14.6","","","NNW","59","02:52","13.0","96","","N","28","","15.3","100",""," ","Calm",""
"","2016-03-12","13.0","19.9","0","","","N","33","23:12","14.7","100",""," ","Calm","","17.4","71",""," ","Calm",""
"","2016-03-13","12.5","20.4","8.6","","","NNW","39","13:03","15.1","81","","NW","2","","18.9","66","","N","2",""
"","2016-03-14","11.3","19.4","0","","","SW","31","09:55","15.0","53",""," ","Calm","","17.1","50","","SW","7",""
"","2016-03-15","8.6","14.5","0","","","E","39","03:12","9.8","100","","E","19","","13.6","75",""," ","Calm",""
"","2016-03-16","9.5","18.7","0","","","NNE","31","01:34","13.1","74",""," ","Calm","","17.3","52",""," ","Calm",""
"","2016-03-17","10.3","18.0","0","","","NNE","56","22:54","12.6","82","","N","2","","14.7","64",""," ","Calm",""
"","2016-03-18","11.2","11.6","33.6","","","NNW","106","05:49","11.5","100","","NNW","56","","4.6","100","","WSW","26",""
"","2016-03-19","-0.7","5.7","52.6","","","S","57","04:38","1.2","100","","SSW","28","","3.7","100",""," ","Calm",""
"","2016-03-20","-0.3","10.1","0.6","","","SE","44","21:46","4.5","76",""," ","Calm","","9.1","70","","ESE","2",""
"","2016-03-21","2.5","10.9","0","","","SE","41","20:30","6.3","72","","E","13","","10.5","68",""," ","Calm",""
"","2016-03-22","4.2","13.6","0","","","ESE","39","23:29","8.7","73",""," ","Calm","","10.4","71",""," ","Calm",""
"","2016-03-23","6.0","12.7","0","","","WSW","28","06:05","9.4","66","","WSW","11","","11.7","68",""," ","Calm",""
"","2016-03-24","6.6","10.0","1.0","","","W","48","05:02","7.3","100","","WNW","2","","9.0","81","","N","28",""
"","2016-03-25","7.1","13.0","0.2","","","W","31","08:54","8.5","98","","W","2","","11.1","84",""," ","Calm",""
"","2016-03-26","5.9","14.7","0","","","N","20","14:22","10.8","37",""," ","Calm","","13.5","70",""," ","Calm",""
"","2016-03-27","6.2","13.6","0","","","NNE","33","20:50","9.6","70",""," ","Calm","","12.8","74","","NNW","4",""
"","2016-03-28","6.0","12.2","0","","","NNE","44","09:08","8.0","87","","N","30","","10.7","79","","N","19",""
"","2016-03-29","6.8","12.0","0","","","NNE","31","00:59","7.8","70","","NNE","19","","11.6","69","","N","2",""
"","2016-03-30","4.6","8.8","0","","","S","17","10:26","6.0","89",""," ","Calm","","7.2","92",""," ","Calm",""
"","2016-03-31","3.7","12.4","0","","","W","22","06:06","7.1","78",""," ","Calm","","11.0","68",""," ","Calm",""
