"Daily Weather Observations for Colac (Mt Gellibrand), Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3015.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Colac (Mount Gellibrand) {station 090035}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.2","32.8","0.2","","","W","52","13:10","16.6","99","","ENE","17","1016.9","31.1","16","","W","30","1015.0"
"","2016-03-2","16.3","34.2","0","","","WSW","43","15:30","18.3","66","","W","11","1016.8","32.3","21","","W","19","1015.1"
"","2016-03-3","12.6","24.1","0","","","E","43","08:37","16.4","75","","E","31","1020.7","22.9","43","","E","26","1019.3"
"","2016-03-4","13.9","34.8","0","","","ENE","31","20:34","17.3","83","","ENE","17","1017.7","32.5","30","","W","9","1014.2"
"","2016-03-5","15.2","22.3","0","","","ESE","37","19:36","17.3","97","","NNE","7","1019.5","21.3","65","","ESE","15","1020.1"
"","2016-03-6","13.6","26.3","0","","","ESE","39","12:31","16.4","87","","E","28","1019.9","24.7","52","","E","30","1018.3"
"","2016-03-7","15.2","25.2","1.2","","","SW","59","23:18","17.8","95","","SSE","26","1020.1","24.4","40","","ESE","41","1020.6"
"","2016-03-8","16.6","38.0","0","","","N","52","16:44","19.0","94","","E","35","1018.6","35.0","32","","NE","22","1014.8"
"","2016-03-9","19.0","23.5","0.2","","","NW","59","23:35","19.2","90","","WSW","20","1015.6","23.3","73","","ESE","7","1016.8"
"","2016-03-10","15.0","17.1","2.6","","","E","43","01:12","15.4","95","","E","24","1021.1","16.6","96","","ENE","24","1019.1"
"","2016-03-11","15.3","28.5","3.6","","","WSW","30","14:45","16.8","100","","ENE","2","1017.6","26.8","57","","SW","9","1016.1"
"","2016-03-12","16.8","21.7","0","","","E","28","19:55","17.1","100","","SSE","6","1020.6","20.3","81","","ESE","2","1020.9"
"","2016-03-13","14.1","23.1","0","","","E","30","14:48","15.5","91","","ESE","15","1020.9","22.3","66","","E","17","1019.2"
"","2016-03-14","14.5","20.9","0","","","SSE","43","13:49","16.0","83","","SE","17","1021.1","19.4","53","","SSE","24","1020.5"
"","2016-03-15","13.2","21.9","0","","","E","70","17:25","17.1","80","","ESE","48","1020.4","20.6","63","","E","48","1019.1"
"","2016-03-16","14.0","29.2","0","","","E","56","23:14","17.1","82","","ENE","31","1018.3","27.4","41","","ENE","17","1014.9"
"","2016-03-17","17.0","33.3","0","","","NNW","57","12:44","23.1","51","","NNW","22","1011.6","32.2","26","","NNW","41","1005.6"
"","2016-03-18","12.7","17.0","12.8","","","WSW","96","04:32","13.2","93","","SW","46","995.5","14.3","73","","SSW","54","1002.4"
"","2016-03-19","8.8","15.9","0.2","","","SSE","43","14:34","11.6","96","","S","22","1014.3","15.3","51","","SSE","24","1017.0"
"","2016-03-20","10.8","19.4","0","","","E","37","11:47","12.3","70","","S","17","1020.5","18.3","42","","ENE","20","1020.0"
"","2016-03-21","11.1","20.1","0","","","ESE","41","14:00","14.1","80","","E","20","1021.8","18.4","57","","ESE","26","1020.3"
"","2016-03-22","11.4","24.5","0","","","E","37","08:56","14.0","91","","E","24","1019.5","23.7","39","","ENE","11","1016.5"
"","2016-03-23","13.4","26.3","0","","","SW","33","11:59","16.5","55","","NW","20","1015.7","25.5","30","","SW","17","1015.5"
"","2016-03-24","14.4","20.3","0","","","ENE","28","16:46","14.9","92","","SE","15","1020.7","18.7","65","","E","9","1019.1"
"","2016-03-25","12.2","21.2","0","","","SSW","41","11:58","13.4","67","","S","17","1021.0","19.1","46","","SSW","22","1019.3"
"","2016-03-26","12.3","18.6","0","","","SSW","44","15:40","13.1","98","","WSW","15","1019.7","17.2","69","","SW","26","1019.1"
"","2016-03-27","10.9","17.8","0.2","","","SSE","43","13:20","13.2","59","","SE","9","1021.7","15.7","58","","SE","22","1020.3"
"","2016-03-28","10.6","16.8","0","","","SE","33","09:52","12.3","66","","SE","13","1020.1","15.7","47","","SE","20","1018.7"
"","2016-03-29","12.1","16.8","0","","","SSE","43","12:52","13.0","65","","SSE","17","1021.1","15.5","57","","SSE","28","1020.1"
"","2016-03-30","11.6","18.2","0","","","SSW","33","14:10","13.1","57","","S","19","1020.8","17.0","41","","SSW","17","1019.8"
"","2016-03-31","11.4","21.6","0","","","W","35","12:22","13.0","81","","NW","11","1019.6","19.7","57","","WNW","22","1017.2"
