"Daily Weather Observations for Mount Hotham Airport, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3056.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Dinner Plain (Mount Hotham Airport) {station 083055}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","6.9","23.9","0","","","NW","44","09:46","16.8","70","","NNW","11","1021.5","23.3","38","","NNW","19","1020.3"
"","2016-03-2","11.3","27.8","0","","","WNW","33","15:50","20.6","36","","NE","4","1021.6","26.2","28","","WNW","15","1021.0"
"","2016-03-3","13.0","28.4","0","","","W","56","21:22","15.4","60","","WSW","4","1024.5","26.8","28","","W","17","1022.1"
"","2016-03-4","10.4","27.9","0.2","","","NW","37","12:24","20.5","50","","NW","7","1023.3","27.1","31","","WNW","13","1021.4"
"","2016-03-5","15.7","28.4","0.2","","","NW","35","10:02","22.7","45","","NW","13","1023.6","25.8","34","","NW","19","1022.8"
"","2016-03-6","14.5","29.2","0","","","WNW","33","11:11","23.2","42","","NW","9","1024.7","28.3","30","","W","11","1022.6"
"","2016-03-7","13.7","28.5","0.6","","","ESE","33","12:34","23.8","35","","E","2","1024.0","25.2","41","","E","19","1023.5"
"","2016-03-8","12.5","29.5","1.8","","","NW","33","15:32","23.2","44","","NW","13","1025.0","28.7","27","","NNE","9","1023.2"
"","2016-03-9","16.1","26.4","0","","","NW","48","10:35","19.8","52","","NNW","22","1022.1","25.6","40","","WNW","20","1021.4"
"","2016-03-10","14.0","23.3","4.6","","","NW","54","20:12","15.5","99","","W","2","1024.6","21.8","59","","E","11","1022.1"
"","2016-03-11","11.9","21.9","12.2","","","NW","35","11:00","17.5","80","","N","9","1020.4","21.5","66","","NW","19","1019.7"
"","2016-03-12","11.7","24.5","0","","","NW","28","11:43","17.1","100","","NW","4","1022.9","18.4","85","","SSE","9","1021.9"
"","2016-03-13","12.9","24.3","12.0","","","NE","22","12:05","14.4","100","","SSE","4","1022.6","22.5","57","","NE","6","1020.2"
"","2016-03-14","7.5","21.6","0","","","SE","28","21:00","12.8","99","","SSW","2","1020.8","20.0","66","","ESE","19","1019.1"
"","2016-03-15","8.9","12.9","1.8","","","SE","31","06:52","9.0","100","","SE","13","1022.9","12.5","100","","SE","9","1022.1"
"","2016-03-16","8.9","19.7","0.4","","","SE","24","13:26","11.4","100","","NNE","4","1021.6","17.7","72","","SE","15","1019.5"
"","2016-03-17","8.1","22.9","0","","","NW","30","09:23","15.2","72","","NW","7","1017.2","22.0","31","","N","9","1012.7"
"","2016-03-18","11.2","15.1","7.6","","","NW","65","08:38","14.8","99","","NW","30","994.0","10.8","75","","W","31","995.8"
"","2016-03-19","2.9","12.0","9.4","","","SSW","35","07:15","5.3","82","","SSW","19","1010.2","9.9","61","","SSE","15","1012.5"
"","2016-03-20","-0.5","12.3","0","","","ESE","28","14:29","5.1","92","","ESE","9","1018.8","10.9","64","","ESE","19","1018.3"
"","2016-03-21","4.9","13.2","0","","","E","28","11:14","6.6","99","","SE","9","1020.2","12.1","68","","ESE","11","1019.0"
"","2016-03-22","6.0","15.6","0.8","","","ESE","22","16:28","7.4","100","","SE","7","1020.0","13.9","56","","E","7","1017.7"
"","2016-03-23","4.3","17.6","0","","","WNW","30","14:13","12.9","63","","WNW","9","1018.4","17.1","51","","W","17","1018.6"
"","2016-03-24","9.2","15.5","0.4","","","WNW","46","14:49","11.3","81",""," ","Calm","1021.2","14.7","53","","WNW","19","1020.1"
"","2016-03-25","6.8","18.8","0","","","WNW","39","12:34","12.5","74","","W","9","1019.1","17.8","47","","WNW","24","1017.3"
"","2016-03-26","3.0","19.7","0","","","SE","22","13:44","6.8","99",""," ","Calm","1018.1","18.5","44","","E","9","1016.9"
"","2016-03-27","6.7","14.1","0","","","SE","22","13:53","7.8","100","","SSE","6","1019.1","12.7","78","","ESE","15","1017.9"
"","2016-03-28","5.9","17.0","0","","","NNW","22","13:40","6.5","100","","N","2","1018.0","15.7","54","","NNW","11","1016.0"
"","2016-03-29","6.3","15.1","0.2","","","ESE","22","12:36","6.8","100","","SE","6","1019.0","15.0","72","","ESE","6","1016.7"
"","2016-03-30","6.7","9.4","3.8","","","SW","28","15:07","7.3","99","","WSW","7","1016.5","9.1","99","","SSW","15","1015.8"
"","2016-03-31","4.9","16.7","2.2","","","W","24","10:46","5.3","100",""," ","Calm","1017.9","16.0","42","","WSW","7","1016.8"
