"Daily Weather Observations for Mount Hotham, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3055.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Mount Hotham, pressure taken from Mount Hotham Airport."
"Mount Hotham Airport is approximately 500metres lower than Mt Hotham, so care should be taken when using the pressure."
"Temperature, humidity, wind and rainfall observations are from Mount Hotham {station 083085}"
"Pressure observations are from Dinner Plain (Mount Hotham Airport) {station 083055}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","9.7","18.2","0.2","","","NW","70","06:51","10.9","91","","NW","52","1021.5","16.9","53","","NW","37","1020.3"
"","2016-03-2","10.8","21.8","0","","","NW","67","04:13","14.9","48","","NW","35","1021.6","20.7","35","","WSW","15","1021.0"
"","2016-03-3","14.5","23.3","0","","","SSW","63","19:59","15.7","43","","W","15","1024.5","20.6","33","","W","15","1022.1"
"","2016-03-4","11.9","22.4","2.2","","","NW","46","04:02","16.0","57","","NW","28","1023.3","21.3","44","","W","15","1021.4"
"","2016-03-5","14.8","23.3","0","","","WNW","46","03:36","17.2","56","","NW","30","1023.6","20.5","45","","W","17","1022.8"
"","2016-03-6","15.4","24.4","0","","","NW","46","09:46","17.8","54","","NW","30","1024.7","22.5","39","","W","17","1022.6"
"","2016-03-7","15.5","24.2","0.4","","","NW","43","03:51","17.9","43","","NW","30","1024.0","22.2","37","","SE","13","1023.5"
"","2016-03-8","14.0","24.2","0.2","","","NW","43","22:28","18.8","45","","NNW","28","1025.0","23.1","30","","NW","19","1023.2"
"","2016-03-9","13.5","21.0","0","","","NW","65","06:22","14.7","68","","NW","43","1022.1","19.2","55","","NW","31","1021.4"
"","2016-03-10","12.3","20.5","4.4","","","NW","52","03:38","13.8","76","","SW","6","1024.6","18.6","58","","WSW","17","1022.1"
"","2016-03-11","11.1","14.3","19.8","","","NW","61","08:55","12.3","99","","NW","41","1020.4","13.0","100","","NW","26","1019.7"
"","2016-03-12","12.2","17.3","1.8","","","SE","50","13:35","13.2","100","","NW","19","1022.9","12.8","94","","S","7","1021.9"
"","2016-03-13","10.9","18.4","6.0","","","W","35","11:15","13.0","100","","WNW","17","1022.6","17.2","63","","WSW","11","1020.2"
"","2016-03-14","11.1","18.9","0","","","SSE","50","10:13","13.5","45","","SE","17","1020.8","18.1","46","","WSW","9","1019.1"
"","2016-03-15","7.4","11.3","3.0","","","ENE","33","23:17","7.4","100","","ENE","17","1022.9","9.7","100","","ENE","19","1022.1"
"","2016-03-16","6.7","17.2","0.8","","","NE","31","23:07","11.2","100","","WNW","11","1021.6","13.9","76","","S","9","1019.5"
"","2016-03-17","8.7","16.3","0.2","","","NNW","61","22:35","10.9","82","","NW","26","1017.2","13.9","62","","W","17","1012.7"
"","2016-03-18","10.7","11.5","42.2","","","NW","117","06:14","11.2","100","","NW","74","994.0","4.0","99","","W","37","995.8"
"","2016-03-19","-1.2","6.3","40.4","","","SE","65","06:38","-0.3","99","","SE","43","1010.2","5.9","75","","SSE","17","1012.5"
"","2016-03-20","-1.2","5.6","0.4","","","SE","50","15:05","1.9","94","","ENE","19","1018.8","4.2","92","","SSE","22","1018.3"
"","2016-03-21","1.1","8.4","1.0","","","ESE","54","18:21","2.6","99","","ENE","31","1020.2","7.1","99","","SE","20","1019.0"
"","2016-03-22","2.5","11.3","1.2","","","E","35","23:01","5.8","87","","ENE","13","1020.0","9.3","67","","SE","13","1017.7"
"","2016-03-23","5.3","11.5","0","","","W","33","13:35","7.6","73","","SW","17","1018.4","10.7","72","","WSW","22","1018.6"
"","2016-03-24","6.6","9.7","0.2","","","NW","52","13:51","7.4","84","","WNW","22","1021.2","7.9","74","","NW","37","1020.1"
"","2016-03-25","6.4","12.0","0.4","","","W","43","13:21","7.4","96","","WSW","17","1019.1","11.4","74","","W","24","1017.3"
"","2016-03-26","5.7","14.0","0","","","NNW","31","14:08","9.7","37","","SW","11","1018.1","12.4","54","","W","13","1016.9"
"","2016-03-27","5.4","13.3","0","","","NW","48","22:19","8.4","77","","NNW","13","1019.1","10.9","67","","WNW","15","1017.9"
"","2016-03-28","5.6","10.3","0","","","NW","52","01:49","6.4","99","","NW","37","1018.0","9.2","84","","NW","26","1016.0"
"","2016-03-29","3.2","11.8","0","","","NNW","52","10:27","6.5","70","","NNW","17","1019.0","9.1","68","","N","17","1016.7"
"","2016-03-30","3.3","5.7","5.2","","","SE","46","18:55","4.1","92","","SSE","28","1016.5","5.2","99","","SE","28","1015.8"
"","2016-03-31","2.7","10.6","4.8","","","W","50","01:39","5.7","95","","W","13","1017.9","9.4","75","","WNW","13","1016.8"
