"Daily Weather Observations for Mount Moornapa, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3057.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Moornapa {station 085296}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.8","32.9","0","","","SSE","20","14:55","17.6","84","","N","7","","30.7","28","","WSW","6",""
"","2016-03-2","17.6","35.0","0","","","E","28","18:41","23.7","41","","NNW","4","","32.5","18","","E","6",""
"","2016-03-3","14.7","27.1","0","","","NNE","35","09:09","15.3","99","","NNE","7","","25.2","57","","SE","6",""
"","2016-03-4","15.2","31.3","0","","","N","35","14:48","18.5","87",""," ","Calm","","30.7","43","","SE","7",""
"","2016-03-5","17.9","28.0","0","","","N","24","01:24","22.9","63","","SW","6","","26.4","62","","S","6",""
"","2016-03-6","16.4","31.0","0","","","E","26","16:10","17.3","100",""," ","Calm","","30.0","49","","SE","4",""
"","2016-03-7","16.3","30.2","0.2","","","SE","24","13:52","17.0","100","","WNW","4","","29.5","46","","SE","7",""
"","2016-03-8","16.9","31.8","0","","","NNW","19","03:03","20.0","89","","NNE","2","","31.3","45","","SSE","6",""
"","2016-03-9","19.9","32.8","0","","","NNW","44","09:41","27.1","37","","NW","11","","31.7","33","","SSW","4",""
"","2016-03-10","17.4","25.0","9.8","","","SW","37","20:15","18.0","100","","NNE","7","","23.4","87","","SSW","2",""
"","2016-03-11","17.5","27.5","16.8","","","N","33","02:43","18.1","100","","S","2","","26.0","71","","SE","4",""
"","2016-03-12","17.9","21.9","1.6","","","E","17","21:57","19.0","100",""," ","Calm","","19.7","100","","SSE","6",""
"","2016-03-13","17.1","20.6","0.4","","","NE","17","00:08","17.7","100","","ESE","2","","20.0","97","","SE","4",""
"","2016-03-14","16.2","17.5","0.4","","","SE","20","15:35","17.0","100",""," ","Calm","","17.2","100","","SE","4",""
"","2016-03-15","13.2","16.3","5.6","","","E","33","13:25","14.0","100","","E","7","","15.4","100","","ESE","9",""
"","2016-03-16","13.0","22.6","10.0","","","ENE","26","00:22","14.6","98","","NNE","4","","22.2","71","","E","6",""
"","2016-03-17","14.4","29.3","0","","","N","24","04:44","18.3","76","","N","13","","26.5","37","","N","4",""
"","2016-03-18","17.4","17.8","2.4","","","W","70","14:58","17.7","96","","WNW","4","","12.8","93","","W","19",""
"","2016-03-19","9.0","15.4","18.2","","","W","39","00:39","10.6","77","","W","13","","11.6","82","","SW","9",""
"","2016-03-20","7.3","15.4","0.6","","","E","19","15:08","9.7","84","","N","9","","14.0","75","","ESE","6",""
"","2016-03-21","9.6","16.5","0.2","","","SE","19","15:05","11.0","97",""," ","Calm","","13.9","98","","SSE","6",""
"","2016-03-22","10.8","20.4","2.4","","","NE","24","11:29","12.2","100","","NE","2","","18.0","62","","ENE","4",""
"","2016-03-23","12.1","24.1","0","","","N","22","03:10","16.9","61","","NW","9","","23.5","41","","WNW","7",""
"","2016-03-24","13.5","18.1","0","","","N","17","06:46","15.5","71","","N","11","","16.9","84","","SE","2",""
"","2016-03-25","12.6","18.5","0.2","","","SE","15","17:12","13.0","100","","WSW","2","","16.1","81","","S","4",""
"","2016-03-26","10.7","20.6","0","","","WSW","24","09:29","12.3","83","","SSW","4","","20.3","61","","SW","6",""
"","2016-03-27","10.8","15.4","0.2","","","SW","19","01:33","11.4","93","","S","2","","14.5","64","","SSW","4",""
"","2016-03-28","8.9","12.7","0","","","E","13","10:41","10.3","93","","ENE","4","","12.4","85","","SE","4",""
"","2016-03-29","9.6","12.3","0","","","NNE","9","07:52","10.0","100","","N","6","","11.6","99",""," ","Calm",""
"","2016-03-30","9.8","11.5","9.4","","","WSW","35","12:57","10.7","100","","SW","9","","11.1","100","","WSW","13",""
"","2016-03-31","9.6","19.6","14.0","","","WSW","24","23:08","11.3","81","","NNW","6","","18.5","62","","WSW","2",""
