"Daily Weather Observations for Mount Nowa Nowa, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3058.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Nowa Nowa {station 084144}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.3","33.2","0","","","N","30","07:59","19.9","72","","N","15","","28.7","43","","SSE","13",""
"","2016-03-2","19.6","34.0","0","","","NNW","26","08:02","21.5","49","","NNW","15","","32.4","22","","SSE","11",""
"","2016-03-3","16.1","28.5","0","","","N","35","11:12","16.8","88","","WNW","2","","24.4","62","","SE","7",""
"","2016-03-4","16.7","32.6","0","","","WSW","33","16:50","20.6","70","","NE","4","","32.1","47","","ESE","7",""
"","2016-03-5","20.5","27.8","2.8","","","NNW","33","02:13","23.8","62","","W","7","","20.6","82","","SSW","7",""
"","2016-03-6","16.5","28.0","1.2","","","E","22","01:22","17.1","97","","WNW","2","","26.3","64","","SSE","9",""
"","2016-03-7","16.9","27.7","0.2","","","N","24","05:52","17.5","98","","W","7","","26.8","67","","SE","7",""
"","2016-03-8","17.5","29.2","0.2","","","N","31","22:24","20.7","83",""," ","Calm","","28.5","60","","ESE","7",""
"","2016-03-9","20.5","32.4","0","","","NW","50","08:19","27.3","35","","NW","22","","26.7","52","","SSE","9",""
"","2016-03-10","18.0","25.6","0.2","","","W","35","21:47","18.1","97","","E","6","","24.1","76","","E","6",""
"","2016-03-11","17.9","26.5","30.4","","","N","39","02:58","20.2","87","","WNW","6","","24.9","76","","ENE","7",""
"","2016-03-12","18.8","23.3","0.2","","","S","22","12:48","19.2","97","","ENE","4","","19.3","91","","SSE","9",""
"","2016-03-13","18.0","23.0","1.2","","","SSE","15","14:11","18.4","99","","E","4","","21.6","89","","SE","6",""
"","2016-03-14","17.6","22.1","0","","","SSW","20","11:25","17.7","99","","W","2","","16.3","98","","S","7",""
"","2016-03-15","14.4","17.9","7.4","","","ESE","28","04:06","15.0","99","","E","4","","15.6","92","","ENE","6",""
"","2016-03-16","13.7","24.5","6.4","","","ESE","26","17:52","17.1","77","","E","9","","23.7","56","","E","6",""
"","2016-03-17","15.4","30.1","0","","","N","31","07:12","18.8","69","","N","15","","29.6","41","","ESE","4",""
"","2016-03-18","18.0","21.7","1.4","","","WSW","85","09:43","20.7","71","","NW","11","","13.4","97","","W","6",""
"","2016-03-19","9.7","15.0","1.8","","","W","41","02:26","10.3","82","","W","11","","11.7","95","","WSW","4",""
"","2016-03-20","9.0","17.6","0.8","","","SSE","19","16:42","9.6","96","","W","4","","16.4","63","","SSE","6",""
"","2016-03-21","9.6","16.2","0.6","","","SSE","22","14:35","11.1","98","","W","6","","15.2","81","","S","9",""
"","2016-03-22","11.1","19.8","0.2","","","E","20","22:03","11.9","99","","NW","4","","18.3","70","","ESE","6",""
"","2016-03-23","11.9","25.0","0.2","","","NNW","26","05:24","14.1","69","","NNW","15","","23.1","54","","WNW","2",""
"","2016-03-24","13.9","17.7","0.2","","","N","28","08:52","14.8","81","","NNW","13","","17.2","81",""," ","Calm",""
"","2016-03-25","13.0","18.6","0","","","W","20","12:37","13.2","98","","WSW","6","","15.9","81","","S","6",""
"","2016-03-26","11.0","20.5","0","","","W","22","01:52","12.1","81","","WNW","6","","17.9","65","","W","4",""
"","2016-03-27","10.9","14.5","0","","","SSW","19","00:05","11.1","98","","W","4","","13.7","77","","S","2",""
"","2016-03-28","11.1","14.4","0","","","SSE","13","13:38","12.0","78",""," ","Calm","","13.8","76","","SE","4",""
"","2016-03-29","10.9","13.8","0.2","","","ESE","15","14:47","11.3","98",""," ","Calm","","13.5","97","","ESE","2",""
"","2016-03-30","11.2","12.6","0","","","WSW","43","17:27","11.8","99","","W","9","","12.0","99","","W","11",""
"","2016-03-31","10.2","19.5","0.6","","","W","20","23:14","11.4","82","","WNW","6","","18.4","59","","WSW","4",""
