"Daily Weather Observations for Mount Seaview, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2151.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yarras (Mount Seaview)."
"Observations were drawn from Yarras (Mount Seaview) {station 060085}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.0","27.0","0.4","2.6","","","","","19.7","93","8"," ","Calm","","26.6","67","6","E","9",""
"","2016-03-2","16.1","29.4","2.2","1.0","","","","","18.5","87","2"," ","Calm","","28.6","61","4","ESE","22",""
"","2016-03-3","17.0","29.5","0.4","2.0","","","","","20.2","92","6"," ","Calm","","28.2","64","5","ESE","28",""
"","2016-03-4","18.5","27.2","0.2","0.7","","","","","21.5","88","8"," ","Calm","","27.2","72","6","E","9",""
"","2016-03-5","18.7","29.1","5.4","1.0","","","","","20.4","89","3"," ","Calm","","29.0","53","2","ESE","19",""
"","2016-03-6","14.8","29.2","0","4.0","","","","","18.5","87","3"," ","Calm","","29.1","59","5","ESE","19",""
"","2016-03-7","16.8","30.3","0.2","3.2","","","","","19.1","88","1"," ","Calm","","","","3","ENE","19",""
"","2016-03-8","16.8","28.1","0","3.2","","","","","19.0","90","3"," ","Calm","","27.2","71","6","ESE","9",""
"","2016-03-9","18.1","29.8","4.8","2.8","","","","","19.4","88","3"," ","Calm","","28.7","62","3","ESE","28",""
"","2016-03-10","","32.5","0.2","3.2","","","","","22.6","83","3"," ","Calm","","32.0","49","6","ESE","19",""
"","2016-03-11","20.2","31.0","0","4.2","","","","","22.3","83","3"," ","Calm","","29.5","52","3","SE","9",""
"","2016-03-12","18.2","31.2","0","4.0","","","","","20.4","92","2"," ","Calm","","31.1","49","3","E","19",""
"","2016-03-13","16.0","30.0","0","3.2","","","","","19.0","90","2"," ","Calm","","29.8","57","4","ESE","19",""
"","2016-03-14","19.0","31.5","0.4","3.6","","","","","21.6","90","6"," ","Calm","","31.4","48","4","SE","9",""
"","2016-03-15","20.1","27.5","2.2","2.0","","","","","22.9","85","5"," ","Calm","","26.4","60","8","SE","19",""
"","2016-03-16","19.6","28.0","1.6","1.4","","","","","21.0","95","8"," ","Calm","","21.8","84","8","SE","15",""
"","2016-03-17","17.9","28.0","2.0","1.2","","","","","19.7","85","5"," ","Calm","","27.6","56","4","SE","9",""
"","2016-03-18","19.0","29.8","3.0","1.6","","","","","20.3","92","5"," ","Calm","","29.3","70","6"," ","Calm",""
"","2016-03-19","20.1","27.0","1.8","1.8","","","","","20.1","87","5","SE","9","","26.1","42","4","SE","28",""
"","2016-03-20","17.2","21.3","0","2.8","","","","","18.0","92","8","SE","9","","21.1","64","8","SE","9",""
"","2016-03-21","16.8","21.2","8.2","0.2","","","","","17.8","94","8"," ","Calm","","20.1","66","7","SE","28",""
"","2016-03-22","13.8","24.8","2.2","0.6","","","","","16.9","84","4"," ","Calm","","23.2","58","6","SE","19",""
"","2016-03-23","13.6","28.1","0.4","1.0","","","","","17.3","88","3"," ","Calm","","27.1","38","3","NW","6",""
"","2016-03-24","11.0","29.2","0","1.0","","","","","15.8","84","0"," ","Calm","","28.2","20","1","SE","19",""
"","2016-03-25","12.7","29.6","0","2.2","","","","","16.0","90","3"," ","Calm","","28.8","43","7","SE","9",""
"","2016-03-26","15.1","29.9","0","2.4","","","","","18.2","88","2"," ","Calm","","29.2","40","4","SE","19",""
"","2016-03-27","17.6","27.2","0.2","3.0","","","","","20.2","85","6"," ","Calm","","27.0","59","5","ESE","9",""
"","2016-03-28","15.2","29.1","0","3.2","","","","","19.0","89","3"," ","Calm","","28.9","51","4","SE","19",""
"","2016-03-29","16.9","29.9","0","3.0","","","","","19.4","88","4"," ","Calm","","29.1","51","6","N","9",""
"","2016-03-30","17.5","24.0","18.0","1.8","","","","","18.0","98","8"," ","Calm","","23.5","66","8","SE","7",""
"","2016-03-31","12.0","28.0","1.4","1.0","","","","","14.8","84","0"," ","Calm","","","","","","",""
