"Daily Weather Observations for Mount William (Grampians), Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3097.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Mount William, but cloud from Ararat and pressure from Stawell."
"Mount William is 1150 m above sea level in the Grampians. Stawell is 28 km to the northeast, so pressure will sometimes be different. Ararat is about 33 km away."
"Temperature, humidity, wind and rainfall observations are from Grampians (Mount William) {station 079103}"
"Cloud observations are from Ararat Prison {station 089085}"
"Pressure observations are from Stawell Aerodrome {station 079105}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","8.2","23.9","0","","","NNW","35","09:26","17.1","49","2","NNW","19","1017.3","22.2","35","6","W","6","1015.4"
"","2016-03-2","17.2","28.7","0","","","WSW","46","17:23","20.5","31","2","WNW","15","1016.8","26.6","28","3","WNW","20","1014.6"
"","2016-03-3","11.6","24.8","0","","","S","37","00:41","19.2","45","6","N","9","1019.4","23.2","46","1","W","11","1017.2"
"","2016-03-4","15.7","29.7","0","","","NE","41","04:10","18.8","58","2","N","22","1017.0","29.3","33","4","N","9","1013.3"
"","2016-03-5","18.7","25.1","0","","","S","33","17:20","20.9","39","7","W","11","1017.9","23.8","42","6","W","9","1017.2"
"","2016-03-6","18.6","29.9","0","","","S","52","17:06","24.5","45","5","N","9","1018.3","27.9","37","5","SSE","13","1015.1"
"","2016-03-7","16.4","26.1","1.2","","","S","59","19:13","21.8","53","5","E","15","1017.5","19.2","74","4","S","31","1017.4"
"","2016-03-8","15.1","31.8","0","","","NW","78","21:14","21.0","53","4","N","22","1017.8","31.6","22","5","NNW","11","1014.3"
"","2016-03-9","16.0","22.2","4.6","","","WNW","81","05:15","18.7","70","7","WSW","19","1015.1","20.6","59","7","S","17","1015.8"
"","2016-03-10","14.2","16.1","3.8","","","WSW","52","09:13","14.8","94","8","WSW","24","1019.1","15.6","95","8","NNW","20","1017.5"
"","2016-03-11","14.0","22.3","8.2","","","SSW","28","19:02","15.5","92","5"," ","Calm","1017.2","19.5","72","5"," ","Calm","1015.3"
"","2016-03-12","15.0","20.6","0.2","","","SE","35","20:58","16.6","82","8"," ","Calm","1019.6","18.7","81","8","W","13","1019.4"
"","2016-03-13","13.5","23.4","0","","","SE","28","23:10","19.7","45","8"," ","Calm","1019.9","22.2","56","4"," ","Calm","1017.4"
"","2016-03-14","9.1","13.5","0","","","S","65","21:37","9.3","99","6","S","33","1020.2","12.5","86","4","S","33","1019.0"
"","2016-03-15","6.7","21.9","0","","","S","67","23:31","9.0","99","3","SSE","31","1019.2","20.1","57","3","ESE","4","1016.2"
"","2016-03-16","8.8","24.5","0","","","NE","59","01:42","13.7","91","4","NNE","30","1017.3","22.8","40","1","N","6","1013.8"
"","2016-03-17","13.7","23.9","0.2","","","N","65","20:56","18.3","58","4","N","30","1012.0","22.7","46","5","NNE","28","1005.7"
"","2016-03-18","5.3","7.6","25.2","","","SW","93","09:58","5.4","99","8","WSW","67","999.7","5.9","99","3","SW","37","1005.3"
"","2016-03-19","3.6","7.3","8.6","","","WSW","67","23:52","5.1","99","8","SW","30","1015.8","7.1","91","8","SSW","2","1017.2"
"","2016-03-20","3.5","11.7","0","","","SSE","54","20:34","4.3","90","8","SSE","30","1020.6","10.5","71","3","S","22","1018.9"
"","2016-03-21","4.2","13.9","0","","","SE","50","23:15","8.3","72","3","ESE","17","1021.1","13.3","65","0","SE","20","1018.3"
"","2016-03-22","7.5","19.9","0.2","","","NW","22","22:48","12.1","66","8"," ","Calm","1018.8","19.1","51","1"," ","Calm","1015.8"
"","2016-03-23","12.0","20.2","0","","","WNW","43","10:16","14.0","48","7","NW","24","1016.9","17.3","43","7","W","4","1015.4"
"","2016-03-24","9.3","17.0","0","","","SSE","30","01:33","10.9","84","8","S","15","1019.6","14.4","79","6"," ","Calm","1017.9"
"","2016-03-25","4.9","13.9","0","","","SW","39","22:42","5.5","85","6","SW","6","1021.2","12.5","64","2","W","7","1019.5"
"","2016-03-26","5.6","9.6","0.4","","","WSW","44","03:40","8.2","99","5","WSW","19","1020.6","9.3","99","6","WSW","2","1019.9"
"","2016-03-27","4.3","10.5","2.0","","","S","46","22:20","4.5","99","3","SSW","19","1021.9","9.5","71","4","S","17","1020.0"
"","2016-03-28","3.0","8.2","0","","","S","56","16:34","4.5","84","6","SSE","33","1019.9","7.5","72","7","S","22","1018.2"
"","2016-03-29","3.8","10.4","0","","","S","61","02:12","4.2","99","6","SSE","39","1020.4","9.4","68","5","S","24","1018.9"
"","2016-03-30","4.0","11.2","0.2","","","SSW","46","05:56","4.9","83","7","SW","22","1021.5","9.0","67","6","SW","20","1020.2"
"","2016-03-31","4.8","14.2","0","","","SW","43","01:15","8.3","99","6","WSW","26","1020.4","11.7","97","6","WSW","9","1017.7"
