"Daily Weather Observations for Murrurundi Gap, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2162.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Murrurundi Gap AWS {station 061392}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.3","28.9","0","","","SSE","46","23:04","18.7","67","","SSE","20","1019.3","27.7","33","","SSE","19","1017.7"
"","2016-03-2","15.6","31.4","0","","","SSE","43","16:57","21.2","72","","SE","9","1020.7","29.7","23","","S","11","1018.3"
"","2016-03-3","18.2","31.6","0","","","SSE","43","13:57","22.3","55","","NW","11","1020.9","29.8","24","","SSE","26","1018.4"
"","2016-03-4","15.4","30.0","0","","","SSE","39","19:09","19.8","86","","ESE","15","1020.7","28.7","34","","SE","20","1017.7"
"","2016-03-5","15.2","30.3","0","","","SSE","33","15:20","19.5","90",""," ","Calm","1020.7","29.5","37","","SSE","19","1018.1"
"","2016-03-6","15.5","30.9","0","","","SSE","37","16:24","20.4","68","","ESE","9","1021.6","29.0","30","","SE","19","1018.8"
"","2016-03-7","17.7","31.7","0","","","SE","33","19:09","22.1","58","","N","17","1021.3","29.1","31","","SSE","15","1018.1"
"","2016-03-8","15.4","29.6","0","","","SSE","44","19:27","16.8","99","8","SE","17","1021.8","28.5","41","","SE","26","1019.2"
"","2016-03-9","16.7","33.0","0","","","SW","39","14:50","21.3","64","","N","20","1022.0","28.6","35","","WSW","9","1018.6"
"","2016-03-10","20.7","31.5","0","","","WNW","31","08:34","23.3","60","","NNW","20","1020.7","30.1","29","","ESE","13","1017.4"
"","2016-03-11","16.5","31.6","0","","","SSE","41","19:15","20.3","95","","SE","7","1019.5","30.1","27","","ESE","13","1016.6"
"","2016-03-12","17.7","31.2","0","","","SSE","43","16:02","24.2","58","","N","11","1019.3","30.2","35","","SSE","28","1016.9"
"","2016-03-13","16.0","30.4","0","","","SSE","33","19:07","17.2","99","8","SE","17","1019.3","29.1","39","","SE","19","1016.0"
"","2016-03-14","17.2","27.3","0","","","SE","50","20:21","22.4","64","","NNW","26","1016.5","22.4","76","2","SE","9","1014.7"
"","2016-03-15","15.9","24.1","0.2","","","SSE","54","15:40","17.7","99","7","SE","26","1016.6","22.5","68","2","S","30","1015.1"
"","2016-03-16","15.8","23.2","0","","","SSE","50","14:10","16.9","91","","SE","31","1016.3","21.6","68","1","SSE","30","1014.6"
"","2016-03-17","13.4","24.7","0","","","SSE","43","23:11","14.4","99","7","SSE","17","1015.2","23.0","51","2","NNW","11","1010.9"
"","2016-03-18","14.4","23.4","0","","","NNW","61","10:32","19.6","74","7","NNW","33","1005.9","20.1","92","7","NNW","33","1002.2"
"","2016-03-19","10.6","22.7","26.8","","","SE","39","21:13","14.4","64","","SE","17","1009.4","21.2","29","","SW","11","1008.3"
"","2016-03-20","10.4","21.5","0","","","SSE","56","17:01","12.9","87","8","SSE","33","1013.4","20.2","57","1","SSE","33","1011.4"
"","2016-03-21","12.0","19.2","0","","","SSE","57","18:12","12.3","99","8","S","31","1014.2","16.3","77","8","SSE","33","1012.6"
"","2016-03-22","11.6","20.6","0.6","","","SSE","50","22:59","12.0","96","8","S","33","1014.9","19.2","51","1","S","30","1012.6"
"","2016-03-23","10.7","23.9","0","","","SE","48","23:38","14.5","83","","SSE","20","1016.6","23.5","33","3","S","11","1015.8"
"","2016-03-24","14.2","27.7","0","","","NNW","35","11:03","19.7","40","","NNW","9","1019.7","26.6","23","","SSE","9","1017.7"
"","2016-03-25","15.5","25.6","0","","","NW","44","10:48","19.2","52","","NNW","24","1018.2","24.3","37","8","NW","11","1016.1"
"","2016-03-26","12.4","26.5","0","","","SSE","35","15:41","17.2","68","","SE","19","1017.0","25.4","35","1","S","15","1014.1"
"","2016-03-27","14.4","27.5","0","","","SSE","35","20:48","18.8","74","","SE","7","1016.5","24.9","43","4","SE","11","1013.8"
"","2016-03-28","14.0","27.8","0","","","NNW","43","14:23","20.4","63","","N","20","1017.3","26.0","29","8","NW","20","1014.5"
"","2016-03-29","19.3","25.6","0","","","NNW","57","10:25","20.8","62","4","N","20","1016.6","25.1","45","7","NW","37","1013.8"
"","2016-03-30","11.6","19.6","2.4","","","NNW","46","12:01","12.8","98","8","NW","19","1016.0","17.8","75","8","NNW","30","1013.5"
"","2016-03-31","12.4","23.8","0","","","NNW","30","14:51","15.3","75","","NNW","11","1016.7","22.6","31","","NW","17","1014.7"
