"Daily Weather Observations for Murwillumbah, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2091.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Murwillumbah (Bray Park) {station 058158}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.4","26.5","44.0","","","","","","20.9","95","8","NW","2","","25.2","78","8","E","2",""
"","2016-03-2","20.6","26.7","86.0","","","","","","23.6","88","6","WSW","6","","24.0","94","8","W","2",""
"","2016-03-3","20.7","27.0","34.0","","","","","","24.9","84","8","E","2","","23.9","88","8","SW","2",""
"","2016-03-4","19.8","28.1","2.0","","","","","","21.5","95","8"," ","Calm","","27.3","73","6","ENE","7",""
"","2016-03-5","17.6","26.1","0","","","","","","22.6","83","8","SW","11","","","","","","",""
"","2016-03-6","18.6","29.5","1.2","","","","","","23.0","79","5","SW","7","","","","","","",""
"","2016-03-7","20.3","28.5","6.0","","","","","","23.0","89","6","W","2","","27.5","67","8","E","7",""
"","2016-03-8","21.2","29.2","0","","","","","","24.8","80","7","W","2","","28.0","72","3","E","13",""
"","2016-03-9","21.8","29.5","8.5","","","","","","25.0","83","7"," ","Calm","","28.5","69","8","NE","11",""
"","2016-03-10","18.3","30.0","0","","","","","","21.8","93","6"," ","Calm","","29.0","70","6","E","11",""
"","2016-03-11","21.2","28.0","7.0","","","","","","24.0","91","6","SW","13","","27.5","73","7","NE","11",""
"","2016-03-12","19.8","28.9","0","","","","","","23.0","87","2","W","4","","","","","","",""
"","2016-03-13","21.2","27.0","5.0","","","","","","23.0","95","8","SW","11","","","","","","",""
"","2016-03-14","21.0","29.5","73.0","","","","","","23.4","94","4","SW","2","","29.1","62","4","ESE","7",""
"","2016-03-15","19.6","28.4","0","","","","","","24.5","71","4","SW","9","","27.6","63","8","SSE","9",""
"","2016-03-16","21.2","27.1","14.0","","","","","","22.4","94","8","W","2","","23.2","94","8","SE","6",""
"","2016-03-17","20.4","27.6","34.0","","","","","","24.9","76","4","SW","11","","23.8","85","8","NW","2",""
"","2016-03-18","18.8","30.0","8.8","","","","","","24.1","83","3","N","11","","29.5","61","1","NNW","9",""
"","2016-03-19","20.9","30.2","18.0","","","","","","22.9","92","1","WSW","4","","","","","","",""
"","2016-03-20","20.6","26.6","0.4","","","","","","22.4","72","7","SW","15","","","","","","",""
"","2016-03-21","20.7","26.6","0.4","","","","","","22.8","80","2","NW","4","","26.3","63","4","S","11",""
"","2016-03-22","18.0","26.7","0","","","","","","21.8","67","1","SSW","7","","25.0","65","3","SE","4",""
"","2016-03-23","17.5","29.0","0","","","","","","22.5","65","1","SW","6","","29.0","46","1","S","4",""
"","2016-03-24","17.7","29.0","0","","","","","","21.0","82","0","SW","4","","28.5","57","3","SE","7",""
"","2016-03-25","16.7","28.8","0","","","","","","20.2","89","0"," ","Calm","","","","","","",""
"","2016-03-26","17.2","30.2","0","","","","","","20.1","88","7"," ","Calm","","","","","","",""
"","2016-03-27","19.2","24.4","40.0","","","","","","20.2","89","8","W","6","","","","","","",""
"","2016-03-28","19.2","27.5","2.0","","","","","","20.9","92","8","W","4","","","","","","",""
"","2016-03-29","17.3","30.1","0","","","","","","20.0","91","0"," ","Calm","","29.5","59","1","NE","7",""
"","2016-03-30","19.2","30.2","0","","","","","","23.3","84","6"," ","Calm","","24.2","66","7","SW","6",""
"","2016-03-31","17.3","30.2","1.5","","","","","","20.5","90","0"," ","Calm","","27.5","54","2","SE","7",""
