"Daily Weather Observations for Nelson Bay, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2095.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nelson Bay (Nelson Head) {station 061054}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.7","29.2","0","","","","","","22.2","87","1","NW","4","","28.2","62","1","ENE","20",""
"","2016-03-2","20.5","27.5","0","","","","","","22.9","83","1","NNE","7","","26.8","66","5","NE","20",""
"","2016-03-3","21.6","27.5","0","","","","","","23.5","88","2","NNE","11","","26.0","74","1","NNE","31",""
"","2016-03-4","21.7","26.5","0","","","","","","23.0","88","6","N","4","","25.4","73","4","NE","22",""
"","2016-03-5","20.0","27.4","0","","","","","","22.0","87","1","N","6","","26.0","63","1","NE","26",""
"","2016-03-6","20.4","27.5","0","","","","","","22.0","85","1","NNE","9","","26.4","73","1","NE","30",""
"","2016-03-7","20.4","27.6","0","","","","","","22.5","87","1","NNE","11","","25.8","74","1","NNE","30",""
"","2016-03-8","21.0","28.8","0.2","","","","","","23.9","80","1","NNE","7","","28.1","70","4","ENE","22",""
"","2016-03-9","21.3","27.3","0","","","","","","22.9","90","1","N","6","","25.7","79","1","NE","28",""
"","2016-03-10","21.1","27.5","0","","","","","","21.6","95","4","N","6","","26.0","72","5","NNE","17",""
"","2016-03-11","21.5","27.3","0","","","","","","23.0","89","3","NNE","6","","26.3","74","1","NE","28",""
"","2016-03-12","21.4","27.6","0.1","","","","","","22.5","91","1","N","4","","26.0","69","1","NNE","35",""
"","2016-03-13","21.5","27.4","0","","","","","","23.5","81","3","NNE","17","","26.2","70","4","NE","22",""
"","2016-03-14","21.2","28.8","0","","","","","","23.3","86","5","NNW","4","","28.6","64","6","NNE","17",""
"","2016-03-15","21.1","26.0","0","","","","","","22.5","92","3","SW","4","","25.0","72","7","SE","17",""
"","2016-03-16","19.0","24.5","26.5","","","","","","19.8","97","8","ENE","15","","23.2","83","8","SE","11",""
"","2016-03-17","19.8","27.3","12.4","","","","","","20.0","100","6","SW","11","","27.2","69","3","E","13",""
"","2016-03-18","20.3","28.0","0.1","","","","","","21.8","87","4","N","6","","24.3","89","8","N","7",""
"","2016-03-19","17.5","23.4","0.2","","","","","","17.5","71","2","SW","19","","22.2","57","3","SSE","15",""
"","2016-03-20","17.5","23.8","0.3","","","","","","20.0","79","7","SSE","6","","21.5","74","5","SSE","9",""
"","2016-03-21","16.2","23.0","20.0","","","","","","19.5","72","7","SE","11","","23.0","55","4","","",""
"","2016-03-22","15.7","21.2","8.6","","","","","","16.5","97","7","SSW","15","","18.8","90","5","S","13",""
"","2016-03-23","16.4","24.4","17.5","","","","","","17.4","82","2","SW","20","","23.4","57","3","SSE","24",""
"","2016-03-24","17.6","26.9","0","","","","","","19.1","82","1","WSW","9","","26.1","61","0","ENE","13",""
"","2016-03-25","18.5","25.8","0","","","","","","20.6","80","2","N","6","","24.4","69","7","SSE","9",""
"","2016-03-26","18.4","","0","","","","","","19.6","87","1","SW","9","","20.8","83","4","NW","7",""
"","2016-03-27","","27.6","0","","","","","","","","","","","","27.1","70","5","ENE","26",""
"","2016-03-28","20.8","26.4","0.1","","","","","","22.4","87","2","NNE","9","","","","","","",""
"","2016-03-29","20.9","26.2","0","","","","","","21.9","90","6","WNW","6","","25.0","77","7","SSE","6",""
"","2016-03-30","19.5","27.0","9.0","","","","","","20.0","81","7","W","11","","26.0","44","7","SW","9",""
"","2016-03-31","18.0","24.0","0.2","","","","","","19.0","67","0","SSW","13","","23.0","63","3","SSE","22",""
