"Daily Weather Observations for Newcastle, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2097.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.9","25.6","0","","","E","31","17:24","23.8","76","","SSE","6","","25.3","69","","ESE","24",""
"","2016-03-2","20.7","26.6","0","","","ENE","39","16:44","23.4","75","","NE","6","","24.9","77","","E","26",""
"","2016-03-3","21.3","25.5","0","","","ENE","46","15:51","23.5","80","","NNE","6","","24.1","80","","E","35",""
"","2016-03-4","21.1","24.6","0","","","E","35","15:30","23.3","83","","ENE","9","","23.4","80","","E","26",""
"","2016-03-5","20.2","25.0","0","","","ENE","41","16:00","22.8","78","","ENE","2","","24.0","71","","E","31",""
"","2016-03-6","20.3","24.5","0","","","E","41","13:21","22.2","77","","ENE","13","","23.7","78","","E","31",""
"","2016-03-7","19.9","26.6","0","","","ENE","43","13:49","22.9","82","","NE","4","","23.9","78","","ENE","31",""
"","2016-03-8","20.4","23.8","0","","","E","31","15:50","22.0","84","0","E","13","","23.5","84","","ESE","22",""
"","2016-03-9","20.4","27.0","0","","","ENE","39","15:04","22.4","89","0","NNE","6","","24.1","79","","ENE","30",""
"","2016-03-10","20.2","26.9","0","","","SSW","35","17:24","22.3","94","6","NW","11","","22.9","89","","S","17",""
"","2016-03-11","20.7","24.7","0","","","E","46","13:54","22.5","89","6","ENE","4","","23.9","80","","E","33",""
"","2016-03-12","20.6","27.3","0","","","ENE","41","14:47","22.3","84","5","SSE","4","","24.5","76","","ENE","30",""
"","2016-03-13","20.7","24.1","0","","","E","33","15:21","22.5","80","","ENE","11","","23.3","81","","E","28",""
"","2016-03-14","20.2","24.8","0","","","SSW","35","18:05","22.4","91","6","ENE","2","","23.9","82","","ESE","11",""
"","2016-03-15","20.8","23.0","0","","","SSE","43","10:35","21.9","91","6","SSW","11","","21.5","86","","SSW","26",""
"","2016-03-16","19.5","24.3","13.0","","","SSE","31","18:35","20.2","97","8","ESE","11","","23.3","72","","SSE","19",""
"","2016-03-17","19.5","25.1","10.2","","","","","","22.5","87","5","SSE","4","","24.7","67","","E","17",""
"","2016-03-18","19.8","28.2","0","","","","","","21.4","86","5","","","","23.6","83","","","",""
"","2016-03-19","15.6","22.3","0.8","","","","","","18.5","58","1","","","","21.6","59","","","",""
"","2016-03-20","17.9","21.2","0","","","","","","20.3","72","6","","","","20.4","72","","","",""
"","2016-03-21","16.4","21.7","59.2","","","","","","17.6","89","7","","","","20.8","71","","","",""
"","2016-03-22","16.4","21.6","7.4","","","","","","17.9","79","5","","","","21.4","67","","SSW","30",""
"","2016-03-23","15.7","23.8","2.6","","","SSE","30","15:17","18.4","79","1","NW","11","","22.9","59","","SSE","20",""
"","2016-03-24","16.9","26.6","0","","","ENE","28","17:49","19.6","73","1","NW","11","","24.9","61","","E","19",""
"","2016-03-25","18.8","24.9","0","","","NE","24","03:48","20.5","73","1","N","13","","22.6","70","","S","13",""
"","2016-03-26","17.7","25.0","0","","","NE","28","17:43","21.0","83","1","SW","9","","24.2","74","","SE","17",""
"","2016-03-27","19.7","25.1","0","","","E","41","16:35","21.9","80","3","NNW","7","","23.9","79","","ESE","28",""
"","2016-03-28","20.7","27.4","0","","","E","35","14:01","22.2","79","1","NNW","7","","24.9","77","","E","28",""
"","2016-03-29","21.3","24.9","0","","","S","41","15:20","22.0","93","7","WNW","11","","22.6","84","","S","28",""
"","2016-03-30","19.4","26.3","3.4","","","WNW","41","05:55","19.5","67","5","WNW","20","","24.1","63","","ESE","20",""
"","2016-03-31","17.4","23.4","1.0","","","S","39","13:44","20.1","54","0","W","17","","22.0","64","","S","31",""
