"Daily Weather Observations for Newcastle University, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2098.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Newcastle University {station 061390}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-2","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-3","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-4","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-5","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-6","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-7","","","0","","","","","","","","","","","","","","","","",""
"","2016-03-8","","31.0","0","","","","","","25.5","55","0","N","19","","","","","","",""
"","2016-03-9","20.5","32.8","0","","","","","","25.0","79","0"," ","Calm","","","","","","",""
"","2016-03-10","19.0","32.0","0","","","","","","","","6"," ","Calm","","","","","","",""
"","2016-03-11","23.0","31.5","0","","","","","","24.0","83","6","N","9","","","","","","",""
"","2016-03-12","20.8","","0","","","","","","24.2","83","5"," ","Calm","","","","","","",""
"","2016-03-13","","30.7","0","","","","","","","","","","","","","","","","",""
"","2016-03-14","20.8","30.2","0","","","","","","24.2","90","6","NE","9","","","","","","",""
"","2016-03-15","21.5","25.2","0","","","","","","24.2","77","6","NW","9","","","","","","",""
"","2016-03-16","19.0","25.2","10.0","","","","","","19.5","97","8"," ","Calm","","","","","","",""
"","2016-03-17","19.2","","8.8","","","","","","23.0","87","5"," ","Calm","","","","","","",""
"","2016-03-18","19.5","30.0","0","","","","","","22.0","98","5","NE","9","","","","","","",""
"","2016-03-19","18.2","24.0","0","","","","","","18.5","62","1"," ","Calm","","","","","","",""
"","2016-03-20","14.8","24.2","0","","","","","","18.8","79","6","SE","9","","","","","","",""
"","2016-03-21","16.0","23.2","42.0","","","","","","17.0","95","7","SE","19","","","","","","",""
"","2016-03-22","15.8","23.5","0","","","","","","18.6","79","5","NE","9","","","","","","",""
"","2016-03-23","13.6","26.5","0","","","","","","18.0","82","1"," ","Calm","","","","","","",""
"","2016-03-24","14.2","28.2","0","","","","","","19.0","77","1"," ","Calm","","","","","","",""
"","2016-03-25","16.2","25.5","0","","","","","","19.9","79","1"," ","Calm","","","","","","",""
"","2016-03-26","15.0","27.2","0.2","","","","","","21.0","86","1"," ","Calm","","","","","","",""
"","2016-03-27","","","0","","","","","","21.5","82","3"," ","Calm","","","","","","",""
"","2016-03-28","18.6","29.0","0","","","","","","22.0","82","1"," ","Calm","","","","","","",""
"","2016-03-29","20.5","25.5","0","","","","","","21.9","85","7"," ","Calm","","","","","","",""
"","2016-03-30","18.9","28.2","8.0","","","","","","19.0","68","5","NW","9","","","","","","",""
"","2016-03-31","14.2","25.4","0","","","","","","18.8","63","0"," ","Calm","","","","","","",""
