"Daily Weather Observations for Nhill, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3059.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.7","34.1","0","","","WNW","35","15:03","19.4","58","","NE","7","1017.1","32.9","16","","WNW","15","1014.7"
"","2016-03-2","15.8","37.5","0","","","S","52","20:19","23.9","35","","E","7","1016.6","35.5","12","","WNW","20","1014.6"
"","2016-03-3","15.7","34.1","0","","","SSE","39","01:08","17.1","73","","S","11","1018.9","32.0","26","","NNW","11","1017.0"
"","2016-03-4","16.2","37.9","0","","","W","50","14:10","22.6","50","","ESE","20","1015.3","36.0","21","","W","15","1013.0"
"","2016-03-5","17.3","36.0","0","","","S","33","02:38","20.4","70","","E","9","1018.0","35.0","24","","S","13","1016.0"
"","2016-03-6","18.4","40.3","0","","","NE","61","16:24","23.6","51","","ESE","20","1016.9","39.4","17","","WSW","9","1013.6"
"","2016-03-7","21.3","37.0","1.2","","","W","44","02:04","22.3","59","","S","26","1016.3","34.9","27","","SE","17","1015.4"
"","2016-03-8","19.7","40.1","0","","","NNW","65","19:55","22.6","61","","E","26","1016.2","39.3","14","","N","19","1013.4"
"","2016-03-9","22.5","31.7","1.8","","","N","46","00:51","22.8","64","","S","20","1015.2","30.5","38","","S","22","1015.2"
"","2016-03-10","19.0","22.9","14.8","","","SSW","26","01:43","19.6","96","","SSE","11","1019.1","22.4","80","","SSW","11","1017.2"
"","2016-03-11","17.7","30.1","8.0","","","SSW","26","16:59","19.7","93","","SE","9","1016.9","28.6","52","","S","11","1015.4"
"","2016-03-12","17.8","29.4","0","","","SW","30","14:44","18.3","97","","S","13","1019.6","28.0","51","","SSW","17","1019.0"
"","2016-03-13","14.2","32.2","0","","","SSW","26","20:39","15.4","97","","S","13","1019.5","29.5","38","","W","9","1017.3"
"","2016-03-14","15.2","27.8","0","","","SSE","48","19:59","17.2","79","","SSE","20","1019.9","26.7","37","","SSE","20","1017.6"
"","2016-03-15","10.6","29.0","0","","","ESE","30","09:19","13.9","81","","S","15","1019.0","26.6","31","","SE","11","1016.4"
"","2016-03-16","13.9","32.9","0","","","E","30","07:39","19.0","69","","E","24","1015.8","31.0","25","","N","15","1013.2"
"","2016-03-17","18.9","34.7","0","","","W","69","21:41","24.1","48","","N","13","1010.3","33.5","25","","NNE","15","1004.5"
"","2016-03-18","12.6","19.2","8.4","","","WSW","74","02:34","13.1","84","","WSW","39","1003.8","17.3","58","","SW","43","1007.8"
"","2016-03-19","9.4","19.0","0.4","","","S","37","15:12","11.2","91","","W","7","1017.2","18.0","48","","SSW","24","1017.3"
"","2016-03-20","8.6","20.4","0","","","SSE","39","16:55","11.5","80","","SSE","17","1021.4","18.4","44","","SW","20","1019.8"
"","2016-03-21","8.6","25.4","0","","","ESE","37","22:35","12.6","84","","SSE","9","1020.6","24.4","28","","SSE","15","1017.9"
"","2016-03-22","11.5","27.7","0","","","ESE","35","23:14","14.7","76","","ESE","15","1018.8","25.6","25","","N","9","1015.7"
"","2016-03-23","14.7","28.4","0","","","W","39","17:32","19.4","36","","NNW","9","1016.1","27.4","27","","WSW","26","1015.7"
"","2016-03-24","13.5","25.3","0","","","S","35","22:49","15.7","84","","S","15","1020.0","24.2","45","","SW","15","1018.3"
"","2016-03-25","10.2","23.0","0","","","S","41","09:16","12.4","77","","SSW","20","1022.2","21.8","37","","SW","28","1020.2"
"","2016-03-26","9.8","21.0","0","","","SSW","37","14:43","11.9","87","","WNW","7","1021.8","19.4","56","","WSW","24","1020.5"
"","2016-03-27","10.4","21.2","0","","","S","39","11:45","13.4","83","","S","17","1022.5","19.3","39","","SW","20","1020.4"
"","2016-03-28","9.0","18.2","0","","","S","30","14:30","10.5","70","","S","11","1020.4","16.7","45","","S","17","1019.0"
"","2016-03-29","7.2","20.7","0","","","S","50","15:17","11.7","79","","S","20","1021.5","18.8","40","","S","22","1019.6"
"","2016-03-30","7.6","19.8","0","","","SSW","41","12:58","13.3","58","","SSW","11","1022.5","18.6","36","","SSW","26","1020.9"
"","2016-03-31","8.0","24.0","0","","","W","31","13:01","10.9","91","","NW","7","1021.3","21.6","46","","WNW","17","1018.3"
