"Daily Weather Observations for Norah Head, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2099.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.4","26.6","7.0","","","NNE","30","22:02","22.0","97","","SSW","6","1022.0","25.5","71","","E","11","1020.3"
"","2016-03-2","20.5","30.0","0","","","NE","46","19:18","23.8","80","","NNE","19","1020.8","28.4","71","","NE","22","1019.4"
"","2016-03-3","21.2","29.2","0","","","NE","41","16:27","23.8","93","","N","11","1021.4","26.3","75","","NE","26","1019.9"
"","2016-03-4","20.6","29.2","0.2","","","NE","26","16:19","23.2","93","","N","13","1021.8","28.1","69","","NE","19","1020.2"
"","2016-03-5","19.6","28.6","0","","","NE","31","15:45","22.7","86","","N","6","1021.6","27.3","64","","NE","22","1019.7"
"","2016-03-6","19.7","28.8","0.2","","","NE","30","14:29","22.4","84","","NNE","15","1022.6","28.4","66","","NE","22","1021.2"
"","2016-03-7","19.9","28.7","0","","","NE","39","19:01","22.8","97","","NE","2","1021.8","25.3","77","","NE","19","1018.9"
"","2016-03-8","20.3","26.3","0.2","","","NE","28","23:59","22.6","93","","NNE","4","1023.1","25.4","78","","E","15","1022.2"
"","2016-03-9","20.5","28.7","0","","","NE","37","14:54","22.3","97","","NNE","15","1021.6","24.3","83","","NE","30","1018.2"
"","2016-03-10","19.9","26.0","0","","","NNE","26","00:07","22.2","100","","NW","2","1019.7","24.3","88","","S","15","1018.8"
"","2016-03-11","20.2","28.8","0.2","","","NE","30","14:27","21.5","100","","NNE","4","1020.1","25.0","81","","NE","19","1017.6"
"","2016-03-12","20.7","28.8","0.2","","","NE","48","18:47","22.9","100","","SSW","2","1019.6","28.5","73","","ENE","13","1018.1"
"","2016-03-13","20.6","28.3","0","","","NE","30","01:00","23.2","83","","NNE","13","1020.1","25.1","79","","E","15","1017.7"
"","2016-03-14","20.5","26.9","0","","","S","44","20:59","22.4","100","","W","4","1016.3","26.7","81","","ENE","11","1013.9"
"","2016-03-15","20.5","22.9","34.0","","","SSE","52","08:30","20.8","100","","S","41","1018.1","20.5","99","","S","15","1018.3"
"","2016-03-16","19.2","23.2","17.6","","","SSE","44","09:06","20.3","100","","SW","19","1018.8","22.9","90","","S","19","1017.5"
"","2016-03-17","19.1","24.6","41.0","","","ESE","37","23:03","20.8","100","","WSW","6","1016.6","23.6","87","","SSE","7","1013.0"
"","2016-03-18","20.4","27.3","0","","","NNW","52","15:10","22.8","91","","N","24","1004.0","23.7","90","","N","24","998.9"
"","2016-03-19","15.4","22.7","0.4","","","S","43","16:18","18.7","55","","WSW","11","1010.5","22.6","61","","S","28","1010.9"
"","2016-03-20","16.3","20.6","12.8","","","S","63","21:16","17.8","91","","SW","20","1016.7","18.9","88","","SW","19","1016.0"
"","2016-03-21","16.5","21.4","12.6","","","S","54","06:47","17.0","96","","W","11","1017.7","19.5","73","","SW","17","1015.8"
"","2016-03-22","15.5","21.9","19.2","","","SSW","59","16:57","16.4","93","","WSW","7","1017.2","21.7","71","","S","33","1014.8"
"","2016-03-23","16.0","24.6","8.6","","","SW","28","23:29","18.7","78","","W","9","1017.7","24.1","61","","SSE","17","1017.2"
"","2016-03-24","18.1","28.7","0","","","NNE","31","20:38","21.4","71","","NW","6","1020.7","27.3","60","","NE","17","1019.2"
"","2016-03-25","19.1","24.7","0","","","NNE","33","04:45","22.4","78","","N","15","1018.3","22.5","73","","SW","4","1016.4"
"","2016-03-26","17.8","26.2","0","","","NNE","37","19:52","20.6","89","","W","9","1018.2","24.5","71","","ESE","15","1016.2"
"","2016-03-27","19.4","26.6","0","","","ESE","39","15:50","22.0","93","","SSW","9","1017.5","24.2","78","","E","28","1016.0"
"","2016-03-28","20.7","28.8","0","","","NNE","31","23:04","23.4","85","","NNW","7","1018.1","28.1","73","","NE","13","1015.2"
"","2016-03-29","21.0","24.5","0","","","SSW","46","15:23","22.4","100","","WSW","6","1016.4","23.3","88","","SSW","28","1015.2"
"","2016-03-30","19.8","27.1","0.2","","","NNE","22","16:20","21.2","96","","WNW","6","1014.8","24.2","65","","ESE","7","1012.3"
"","2016-03-31","17.1","23.3","0","","","S","39","12:50","19.9","58","","SW","11","1016.8","22.4","68","","S","30","1015.9"
