"Daily Weather Observations for Nowra, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2101.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.4","27.6","0.8","","","ENE","35","16:11","21.9","89","6","S","2","1021.8","26.6","61","","E","24","1018.9"
"","2016-03-2","16.1","31.2","0","","","E","28","14:21","22.1","77","","NW","9","1019.3","30.7","55","","E","15","1016.2"
"","2016-03-3","18.1","30.9","0","","","SE","31","14:52","25.0","69","2","NNW","9","1019.6","30.2","52","","SE","19","1017.9"
"","2016-03-4","19.0","29.6","0","","","ENE","35","14:33","23.8","69","","NW","15","1021.2","28.4","58","","ENE","26","1018.5"
"","2016-03-5","15.5","29.7","0","","","E","28","12:57","21.6","74","","NNW","15","1020.5","29.4","56","2","ESE","17","1017.8"
"","2016-03-6","15.8","30.0","0","","","NE","41","15:43","22.3","74","","NNW","7","1022.3","27.9","58","","ENE","24","1019.4"
"","2016-03-7","15.7","29.6","0","","","E","30","12:42","22.6","76","","NW","9","1020.9","28.8","55","0","E","20","1017.6"
"","2016-03-8","17.1","28.8","0","","","ENE","41","14:23","23.5","75","","NW","6","1023.4","27.8","54","","ENE","28","1021.5"
"","2016-03-9","17.9","31.5","0","","","E","26","12:40","24.7","68","","N","9","1020.4","30.8","55","","E","19","1016.0"
"","2016-03-10","20.5","28.0","0","","","SSE","35","12:18","23.5","81","","SSW","6","1020.6","24.5","81","8","S","24","1019.5"
"","2016-03-11","19.8","26.8","0","","","E","20","10:16","21.8","100",""," ","Calm","1019.7","24.2","89","8","NW","9","1018.3"
"","2016-03-12","17.7","29.5","1.4","","","E","26","14:39","22.4","89","","NW","13","1019.2","28.9","51","","E","13","1017.4"
"","2016-03-13","18.2","28.7","0","","","E","35","13:58","21.1","100","8","S","7","1020.4","28.5","54","1","E","19","1016.8"
"","2016-03-14","19.1","27.9","0","","","S","43","11:54","22.0","85","7","WNW","7","1016.2","23.3","76","7","SSE","28","1015.8"
"","2016-03-15","18.3","25.6","0","","","SSE","43","12:01","20.9","81","7","S","19","1020.3","22.7","65","7","SSE","30","1019.5"
"","2016-03-16","17.6","23.1","28.6","","","S","39","15:56","20.2","77","6","S","20","1020.9","20.5","80","8","S","26","1019.0"
"","2016-03-17","15.9","25.9","17.4","","","ENE","31","13:39","18.9","91","5","WSW","7","1017.1","25.4","64","5","NE","20","1012.2"
"","2016-03-18","15.8","28.2","0","","","WNW","59","13:57","21.7","80","","NNW","9","1001.3","22.8","65","8","WNW","37","996.0"
"","2016-03-19","12.4","21.8","1.8","","","W","37","23:17","16.5","55","","W","13","1010.9","20.8","34","","SE","22","1011.2"
"","2016-03-20","10.5","21.4","0.8","","","SSW","43","10:42","16.4","63","","SW","19","1018.2","18.9","58","7","SSE","26","1017.7"
"","2016-03-21","13.8","21.3","0.4","","","SSE","44","15:32","16.1","68","1","SSW","22","1018.9","19.6","62","8","SSE","31","1017.3"
"","2016-03-22","14.0","21.6","1.8","","","S","41","13:05","16.3","72","8","SSW","20","1018.5","19.7","60","8","S","26","1016.3"
"","2016-03-23","12.4","25.9","0.2","","","","","","16.3","76","","NW","13","1017.9","25.2","45","3","ENE","19","1015.4"
"","2016-03-24","14.4","28.4","","","","","","","","","","","","","25.8","34","1","E","20","1018.4"
"","2016-03-25","17.3","26.6","","","","SSE","35","16:52","19.2","69","","W","13","1017.8","25.1","53","3","NW","19","1014.7"
"","2016-03-26","14.5","26.3","0.2","","","E","30","12:57","19.4","78","7","WNW","9","1018.5","23.4","64","8","ESE","22","1015.6"
"","2016-03-27","15.9","23.0","0","","","ENE","26","11:41","20.0","80","8","SSE","11","1018.9","21.9","70","8","ESE","13","1017.4"
"","2016-03-28","16.3","21.5","0.4","","","S","30","02:40","17.9","81","7","SSW","9","1019.6","21.1","72","8","SSE","13","1016.2"
"","2016-03-29","17.2","19.4","0","","","SSW","24","09:36","18.1","84","8","SSW","9","1019.0","18.5","93","8","SSE","9","1016.7"
"","2016-03-30","15.7","25.9","11.0","","","WNW","39","12:29","17.3","87","7","NW","13","1014.6","23.4","54","4","SSE","11","1011.7"
"","2016-03-31","15.2","23.3","0","","","SSW","35","09:14","18.2","62","","NW","11","1017.3","22.0","51","2","SE","15","1016.1"
