"Daily Weather Observations for Omeo, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3061.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind, pressure and rainfall observations are from Omeo {station 083090}"
"Cloud observations are from Omeo Comparison {station 083025}"
"Sunshine observations are from East Sale Airport {station 085072}"
"Evaporation observations are from Dartmouth Reservoir {station 082076}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.4","30.2","0","5.2","","N","43","11:16","15.2","90","","N","20","1019.4","29.3","20","","NW","24","1017.0"
"","2016-03-2","9.2","33.3","0","7.2","","NNE","30","14:55","15.0","69","","NW","7","1019.7","32.1","19","","NNE","13","1017.0"
"","2016-03-3","11.2","32.4","0","5.6","","NNW","30","11:18","16.0","71","","SE","9","1022.9","31.5","23","","N","15","1018.3"
"","2016-03-4","13.5","33.3","2.2","6.4","","ESE","33","14:15","16.8","77","","N","15","1021.1","25.9","37","","ESE","19","1017.7"
"","2016-03-5","16.8","35.1","0.2","6.6","","S","54","16:09","22.0","55","","N","9","1020.6","33.7","22","","WSW","9","1018.2"
"","2016-03-6","15.1","34.3","1.6","","","N","43","12:53","18.7","81","","NNW","11","1021.9","22.2","65","","N","19","1019.4"
"","2016-03-7","12.5","32.3","4.8","6.6","","SE","39","15:17","17.5","84","","N","13","1021.4","31.9","34","","ESE","20","1019.9"
"","2016-03-8","15.8","35.7","0","7.4","","SE","41","15:31","18.3","83","","NNW","9","1022.7","34.5","28","","NE","9","1018.8"
"","2016-03-9","12.9","32.5","0","7.0","","SE","43","17:13","19.8","55","","N","19","1019.5","31.1","32","","NNE","19","1017.0"
"","2016-03-10","16.5","28.4","1.8","6.2","","SE","30","15:59","17.4","95","","S","6","1022.7","27.9","48","","SE","9","1019.2"
"","2016-03-11","16.7","26.7","34.6","4.2","","SSE","41","21:49","18.6","90","","NNW","11","1018.5","25.4","62","","N","19","1016.8"
"","2016-03-12","15.0","25.8","0.8","2.6","","SE","31","14:26","15.9","99","","NW","2","1021.1","25.4","69","","SE","13","1018.9"
"","2016-03-13","15.9","28.5","7.4","3.8","","SE","35","17:01","18.4","98","","SE","7","1020.9","28.0","54","","SE","13","1017.3"
"","2016-03-14","13.9","24.6","0","5.2","","SE","44","15:37","16.8","87","","SSE","4","1019.4","24.1","53","","SE","20","1017.3"
"","2016-03-15","12.7","19.5","0","7.6","","SE","33","14:39","13.6","91","","SSE","9","1022.3","17.6","73","","SE","19","1021.1"
"","2016-03-16","10.8","24.5","0.2","7.0","","SE","28","14:38","14.9","95","","ESE","6","1021.1","22.8","57","","SSE","15","1017.6"
"","2016-03-17","11.4","27.5","0","4.4","","N","26","07:43","14.8","89","","NNW","17","1015.8","26.5","35","","NNW","6","1010.4"
"","2016-03-18","13.3","17.8","1.0","5.2","","WNW","59","14:59","17.1","94","","NNW","20","992.8","17.1","56","","NW","20","995.3"
"","2016-03-19","4.8","16.3","11.0","1.2","","SE","35","16:36","8.2","89","","N","4","1011.2","12.3","70","","SE","17","1013.1"
"","2016-03-20","2.6","17.0","0.8","4.0","","S","48","11:56","7.6","96",""," ","Calm","1019.7","14.6","64","","SE","20","1018.6"
"","2016-03-21","7.6","18.9","0.2","3.6","","SE","39","14:13","10.0","94","","SSW","9","1020.7","17.9","57","","SE","17","1018.7"
"","2016-03-22","9.9","19.9","2.8","4.0","","SE","24","14:32","12.0","91","","SSE","6","1020.2","18.4","46","","SSE","13","1017.1"
"","2016-03-23","4.0","22.2","0.2","4.6","","N","24","10:10","6.6","99","","NW","9","1018.2","21.7","40","","NE","2","1016.7"
"","2016-03-24","6.6","18.4","0.2","2.2","","N","19","15:25","12.3","93",""," ","Calm","1020.7","18.2","66","","N","11","1018.8"
"","2016-03-25","10.0","23.0","0.4","2.2","","SSW","52","01:40","11.6","95","","WSW","4","1018.7","22.2","59","","ESE","13","1015.4"
"","2016-03-26","7.3","22.2","0","2.4","","SE","33","16:17","13.2","96","","E","2","1018.3","21.5","49","","SE","13","1015.9"
"","2016-03-27","10.7","17.4","0","4.2","","SE","31","14:25","11.6","91","","SE","9","1019.5","15.4","66","","SE","17","1018.0"
"","2016-03-28","8.8","16.5","0","3.2","","SE","33","14:33","9.2","94","","SSE","9","1018.9","15.1","69","","SE","19","1016.1"
"","2016-03-29","9.1","16.7","0","3.6","","SE","28","13:27","10.2","97","","SSE","6","1019.6","15.4","72","","SE","17","1017.2"
"","2016-03-30","10.2","13.2","5.4","3.8","","S","28","14:02","10.8","97","","N","2","1016.8","12.1","91","","S","13","1015.7"
"","2016-03-31","9.1","20.6","1.6","1.0","","SE","28","16:38","10.2","82",""," ","Calm","1018.6","19.7","54","","SE","4","1015.9"
