"Daily Weather Observations for Orbost, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3062.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orbost {station 084145}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.7","32.2","0","","","SE","30","14:09","21.2","73","","E","4","1018.4","31.2","41","","SE","15","1014.4"
"","2016-03-2","17.3","34.3","0","","","S","22","12:16","21.8","71",""," ","Calm","1017.0","30.9","38","","SE","9","1015.6"
"","2016-03-3","18.0","29.8","0","","","W","28","00:16","19.9","80","","WNW","7","1022.9","23.3","71","","SSE","15","1018.6"
"","2016-03-4","14.6","32.3","0","","","WSW","33","17:31","18.7","95","","WSW","2","1019.3","30.9","50","","SSE","13","1015.8"
"","2016-03-5","18.7","30.5","0","","","SSW","28","10:46","27.8","47","","WNW","4","1017.2","23.0","78","","SSW","11","1019.5"
"","2016-03-6","16.6","27.6","0","","","S","26","15:40","19.6","93","","N","9","1020.7","25.2","71","","SSE","13","1018.2"
"","2016-03-7","17.3","27.6","0.4","","","SSE","24","15:56","18.6","100","","NW","7","1020.3","26.9","67","","SE","9","1020.0"
"","2016-03-8","17.6","30.1","0","","","S","20","13:21","21.7","86",""," ","Calm","1022.0","27.9","61","","S","11","1018.4"
"","2016-03-9","21.7","35.7","0","","","SSW","35","13:07","30.0","33","","NNW","15","1014.4","28.4","47","","S","13","1016.2"
"","2016-03-10","19.5","27.9","5.4","","","WSW","26","22:06","20.0","97","","E","4","1022.7","25.5","72","","SSE","4","1019.2"
"","2016-03-11","19.9","26.6","19.4","","","NNE","30","03:30","22.2","85","","NNE","9","1016.6","26.2","71","","SE","7","1015.7"
"","2016-03-12","18.8","25.9","0.2","","","S","22","12:40","20.9","93",""," ","Calm","1019.9","22.3","82","","SSE","9","1019.9"
"","2016-03-13","19.7","26.4","0","","","SSW","20","14:40","20.7","94","","ESE","6","1020.6","24.1","77","","SE","7","1018.1"
"","2016-03-14","19.6","24.3","0","","","SSW","26","11:33","20.1","92","","WSW","2","1019.3","19.4","87","","SSW","11","1019.6"
"","2016-03-15","16.7","20.8","7.8","","","ESE","30","17:38","17.4","92","","ESE","7","1023.4","20.2","64","","ESE","11","1023.0"
"","2016-03-16","17.3","26.2","0","","","SSE","28","15:05","19.8","69","","NE","6","1022.2","24.2","61","","SE","13","1018.2"
"","2016-03-17","14.0","29.7","0","","","NNE","26","21:25","18.7","79",""," ","Calm","1014.3","29.1","44","","SSE","9","1009.1"
"","2016-03-18","18.7","23.7","0.6","","","WSW","93","09:57","20.7","75","","E","6","992.2","16.5","84","","NW","11","994.0"
"","2016-03-19","11.9","17.8","19.6","","","SW","46","13:33","13.7","68","","W","20","1012.0","15.6","64","","WSW","15","1014.8"
"","2016-03-20","11.2","19.3","4.6","","","SW","22","11:52","12.4","92","","NNW","7","1021.4","18.4","64","","W","4","1020.2"
"","2016-03-21","11.3","19.6","1.2","","","SSW","26","14:40","13.5","93","","NNE","6","1022.1","18.3","70","","SSW","13","1020.5"
"","2016-03-22","12.2","20.8","2.6","","","SSE","20","16:02","14.4","98","","NW","4","1021.2","19.7","61","","SSE","9","1018.7"
"","2016-03-23","9.4","27.3","0","","","W","19","13:47","13.2","92",""," ","Calm","1016.7","25.0","40","","WNW","11","1015.9"
"","2016-03-24","13.2","19.6","0.2","","","N","11","07:01","16.8","80","","NNE","4","1020.7","19.4","77","","S","2","1019.3"
"","2016-03-25","14.8","20.0","0","","","SSW","20","14:00","15.3","90","","NW","6","1019.5","18.8","69","","S","11","1017.9"
"","2016-03-26","11.9","21.3","0","","","SW","20","16:42","15.1","77","","NNW","6","1019.6","20.1","59","","SW","6","1017.5"
"","2016-03-27","13.5","17.4","0.8","","","WSW","20","07:45","13.7","93","","W","7","1021.1","16.8","58","","SW","11","1020.3"
"","2016-03-28","13.1","17.1","0","","","SSW","13","12:03","14.4","77",""," ","Calm","1021.0","16.3","67","","S","7","1018.6"
"","2016-03-29","12.9","17.2","0.2","","","S","11","15:58","13.2","98","","NW","4","1021.5","16.4","85","","SE","4","1019.3"
"","2016-03-30","13.2","15.3","19.8","","","WSW","39","17:37","13.8","97","","WNW","9","1017.5","14.8","93","","W","15","1016.2"
"","2016-03-31","12.1","20.7","12.8","","","NW","20","14:24","14.3","77","","NNW","9","1019.7","20.1","58","","NW","7","1017.4"
