"Daily Weather Observations for Ouyen, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3063.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Ouyen, but sun from Mildura."
"Temperature, humidity, wind, cloud and rainfall observations are from Ouyen (Post Office) {station 076047}"
"Sunshine observations are from Mildura Airport {station 076031}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.3","35.7","0","","10.8","","","","21.9","35","0","NE","4","","","","","","",""
"","2016-03-2","18.2","40.5","0","","10.0","","","","25.5","26","3","S","4","","","","","","",""
"","2016-03-3","21.0","36.8","0","","10.8","","","","22.2","59","6","SW","2","","","","","","",""
"","2016-03-4","19.5","39.8","0","","11.2","","","","28.9","36","6","NW","2","","","","","","",""
"","2016-03-5","22.0","41.3","0","","10.0","","","","24.1","51","6","S","2","","","","","","",""
"","2016-03-6","22.8","41.9","0","","10.2","","","","28.1","46","0","SE","2","","","","","","",""
"","2016-03-7","23.2","41.5","0","","11.3","","","","27.1","45","0"," ","Calm","","","","","","",""
"","2016-03-8","21.2","41.3","0","","10.2","","","","28.1","37","0"," ","Calm","","","","","","",""
"","2016-03-9","24.4","37.3","0","","6.4","","","","26.7","52","8","SW","2","","","","","","",""
"","2016-03-10","22.4","25.6","2.2","","3.8","","","","23.0","84","8","SE","4","","","","","","",""
"","2016-03-11","18.1","34.4","0.4","","8.6","","","","21.5","86","0","SE","4","","","","","","",""
"","2016-03-12","20.2","","0","","9.7","","","","23.6","72","5","S","2","","","","","","",""
"","2016-03-13","","35.3","0","","4.0","","","","","","","","","","","","","","",""
"","2016-03-14","17.4","32.6","0","","7.9","","","","22.5","63","0","ESE","26","","","","","","",""
"","2016-03-15","15.0","31.3","0","","9.6","","","","16.3","67","6","SE","6","","","","","","",""
"","2016-03-16","15.0","35.0","0","","8.6","","","","24.5","36","0","NE","7","","","","","","",""
"","2016-03-17","20.4","35.2","0","","10.4","","","","26.2","51","2","NE","4","","","","","","",""
"","2016-03-18","14.1","22.0","2.6","","10.5","","","","15.0","79","2","WSW","37","","","","","","",""
"","2016-03-19","8.1","21.5","0","","11.1","","","","10.4","91","0","WSW","4","","","","","","",""
"","2016-03-20","8.8","22.6","0","","11.0","","","","14.1","63","0","S","7","","","","","","",""
"","2016-03-21","10.4","26.9","0","","11.0","","","","15.5","69","0","SE","15","","","","","","",""
"","2016-03-22","11.7","30.1","0","","10.5","","","","16.8","64","0","E","7","","","","","","",""
"","2016-03-23","16.0","30.4","0","","7.3","","","","20.2","34","6","NNW","2","","","","","","",""
"","2016-03-24","18.2","30.0","0","","3.8","","","","18.7","70","8","W","2","","","","","","",""
"","2016-03-25","15.2","25.5","1.2","","9.8","","","","16.7","81","0","SW","15","","","","","","",""
"","2016-03-26","11.0","25.4","0","","10.5","","","","14.6","77","0","S","4","","","","","","",""
"","2016-03-27","11.9","23.2","0","","8.7","","","","16.5","68","4","SE","4","","","","","","",""
"","2016-03-28","12.0","21.1","0","","7.2","","","","16.1","50","5","SE","7","","","","","","",""
"","2016-03-29","11.1","21.8","0","","4.7","","","","16.7","56","8","S","11","","","","","","",""
"","2016-03-30","7.7","22.1","0","","10.5","","","","13.2","54","7","SW","4","","","","","","",""
"","2016-03-31","8.5","25.1","0","","11.0","","","","15.5","58","0"," ","Calm","","","","","","",""
