"Daily Weather Observations for Parramatta, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2107.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Parramatta North (Masons Drive) {station 066124}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.0","29.8","0","","","","","","22.0","88","7","NE","7","","","","","","",""
"","2016-03-2","17.5","32.0","0.4","","","","","","22.3","84","5","NW","2","","","","","","",""
"","2016-03-3","19.7","32.8","0","","","","","","23.0","91","3","NW","4","","","","","","",""
"","2016-03-4","18.6","29.5","0","","","","","","23.5","83","6","NW","2","","","","","","",""
"","2016-03-5","16.8","31.0","0","","","","","","22.4","79","3","NW","2","","","","","","",""
"","2016-03-6","16.3","30.0","0","","","","","","22.0","81","3","W","2","","","","","","",""
"","2016-03-7","18.2","32.2","0","","","","","","23.3","84","6","NE","2","","","","","","",""
"","2016-03-8","18.0","29.6","0","","","","","","24.7","72","1","NE","7","","","","","","",""
"","2016-03-9","19.6","33.5","0","","","","","","24.0","83","1","NW","2","","","","","","",""
"","2016-03-10","20.7","29.7","0","","","","","","25.0","81","6","NW","2","","","","","","",""
"","2016-03-11","22.2","30.7","0","","","","","","24.0","85","7","NW","2","","","","","","",""
"","2016-03-12","19.0","32.2","0.6","","","","","","23.5","87","5","SW","4","","","","","","",""
"","2016-03-13","18.8","29.7","0","","","","","","24.0","77","3","NW","4","","","","","","",""
"","2016-03-14","20.0","32.2","0","","","","","","23.0","89","8","NW","2","","","","","","",""
"","2016-03-15","20.0","26.2","6.2","","","","","","20.5","95","7","SW","7","","","","","","",""
"","2016-03-16","18.2","26.3","6.6","","","","","","19.2","96","8","SW","4","","","","","","",""
"","2016-03-17","17.8","26.0","6.2","","","","","","20.0","95","5","W","2","","","","","","",""
"","2016-03-18","17.3","27.3","0","","","","","","23.0","76","5","N","7","","","","","","",""
"","2016-03-19","12.3","23.2","2.0","","","","","","18.5","45","0","SW","6","","","","","","",""
"","2016-03-20","16.1","23.0","0","","","","","","17.5","65","5","WSW","6","","","","","","",""
"","2016-03-21","14.8","20.7","19.2","","","","","","16.2","90","7","WSW","4","","","","","","",""
"","2016-03-22","14.0","23.8","1.2","","","","","","18.0","71","0","S","4","","","","","","",""
"","2016-03-23","12.0","27.0","0","","","","","","17.8","76","0","NW","4","","","","","","",""
"","2016-03-24","12.0","29.0","0","","","","","","18.5","85","4","NW","4","","","","","","",""
"","2016-03-25","15.7","26.2","0","","","","","","18.2","83","8","NE","4","","","","","","",""
"","2016-03-26","14.6","27.3","0.2","","","","","","18.5","93","3","SSW","2","","","","","","",""
"","2016-03-27","15.8","25.0","0","","","","","","21.3","88","0","SE","2","","","","","","",""
"","2016-03-28","17.2","25.2","0.2","","","","","","20.7","89","6","SE","4","","","","","","",""
"","2016-03-29","18.3","24.2","0","","","","","","20.7","89","8","S","2","","","","","","",""
"","2016-03-30","17.7","27.0","3.8","","","","","","19.6","94","4","SE","2","","","","","","",""
"","2016-03-31","12.3","25.3","0","","","","","","19.8","57","0","W","2","","","","","","",""
