"Daily Weather Observations for Penrith, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2111.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","19.2","31.1","0","","","ENE","28","17:21","21.7","89","","S","6","","29.4","53","","NNE","7",""
"","2016-03-2","17.8","34.5","0","","","ENE","26","17:26","21.2","85","","SSE","6","","32.5","39","","NNE","9",""
"","2016-03-3","19.8","35.4","0","","","E","35","16:00","24.0","84","","ESE","4","","33.8","36","","NNE","9",""
"","2016-03-4","19.4","32.1","0","","","NNE","39","13:00","23.8","87","","ESE","4","","31.0","48","","NNE","9",""
"","2016-03-5","17.6","34.0","0","","","ENE","26","17:08","21.9","84","","SE","4","","32.0","37","","N","9",""
"","2016-03-6","17.2","33.2","0","","","E","31","16:35","21.5","84","","S","7","","31.6","44","","N","13",""
"","2016-03-7","18.7","34.1","0","","","ESE","30","16:38","22.8","87","","SW","4","","32.0","49","","NW","7",""
"","2016-03-8","21.2","32.0","0","","","NE","33","10:12","24.1","81","","SW","4","","30.3","38","","NE","11",""
"","2016-03-9","21.2","35.6","0","","","","","","24.5","82","","NE","4","","35.4","41","","NE","9",""
"","2016-03-10","21.8","33.2","0","","","SE","26","11:55","25.8","71","","SE","2","","31.7","53","","SE","13",""
"","2016-03-11","23.3","31.1","0","","","WSW","30","15:01","23.7","87","","SSW","7","","28.7","56","","SSE","6",""
"","2016-03-12","21.3","34.1","1.4","","","ENE","22","17:06","23.9","81",""," ","Calm","","33.1","37","","NE","7",""
"","2016-03-13","21.7","32.8","0","","","ENE","31","16:00","24.3","80","","S","6","","31.9","38","","NNE","6",""
"","2016-03-14","21.1","34.0","0","","","SSE","57","14:33","22.7","87","","NE","2","","33.1","45","","ESE","9",""
"","2016-03-15","21.9","26.1","0.8","","","S","28","06:46","21.9","76","","S","11","","22.7","87","","WSW","6",""
"","2016-03-16","18.6","28.3","3.0","","","SE","30","18:35","19.8","94","","S","11","","27.5","46","","SE","7",""
"","2016-03-17","18.7","28.2","3.6","","","NNE","22","17:06","21.4","87","","S","4","","27.4","58","","NE","15",""
"","2016-03-18","17.7","30.1","0","","","NW","46","15:29","20.2","95","","NE","4","","28.3","64","","N","20",""
"","2016-03-19","11.6","25.4","0.8","","","ESE","30","15:41","17.7","56","","NE","2","","24.4","30","","NNE","9",""
"","2016-03-20","16.8","25.1","0","","","SE","37","15:34","19.0","54","","SSW","9","","22.0","49","","SE","15",""
"","2016-03-21","15.5","22.9","3.2","","","SE","30","16:34","17.3","82","","S","6","","19.0","78","","SE","7",""
"","2016-03-22","15.2","26.3","0","","","SSE","39","16:41","19.4","61","","SSW","13","","24.2","43","","S","15",""
"","2016-03-23","13.6","27.9","0","","","N","22","14:27","18.0","70","","ESE","4","","26.2","38","","ENE","7",""
"","2016-03-24","15.7","30.6","0","","","ENE","31","17:10","18.3","74","","SW","2","","29.1","28","","NW","7",""
"","2016-03-25","16.2","26.8","0","","","NNE","19","14:39","18.2","73","","S","2","","23.6","57","","NNW","9",""
"","2016-03-26","16.9","30.0","0","","","ENE","30","13:46","19.7","80","","N","4","","28.5","41","","E","9",""
"","2016-03-27","16.9","26.9","0","","","SE","31","15:33","20.6","88","","S","6","","25.4","61","","E","17",""
"","2016-03-28","19.5","27.5","0","","","SE","19","17:42","21.2","83","","SSW","7","","27.2","58","","ENE","6",""
"","2016-03-29","20.7","23.6","0","","","SSE","11","14:11","21.4","82","","SE","4","","21.3","97","","SE","7",""
"","2016-03-30","17.6","27.9","3.8","","","NW","33","15:28","20.4","76",""," ","Calm","","25.8","40","","W","9",""
"","2016-03-31","13.3","27.5","0.2","","","ESE","26","16:04","17.6","66","","NNE","2","","26.3","37","","E","7",""
