"Daily Weather Observations for Point Hicks, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3065.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Point Hicks, pressure taken from Gabo Island."
"Gabo Island is several kilometres to the east of Point Hicks, so pressures may vary markedly."
"Temperature, humidity, wind, cloud and rainfall observations are from Point Hicks (Lighthouse) {station 084070}"
"Pressure observations are from Gabo Island Lighthouse {station 084016}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.0","29.7","0","","","","","","22.2","77","0","NE","9","1020.9","","","","","","1017.4"
"","2016-03-2","18.2","26.9","0","","","","","","23.0","73","3","NW","6","1016.9","","","","","","1015.7"
"","2016-03-3","18.5","26.7","0","","","","","","19.4","87","8","W","22","1020.7","","","","","","1019.3"
"","2016-03-4","18.5","26.6","0","","","","","","20.2","93","4","NW","4","1018.8","","","","","","1016.9"
"","2016-03-5","19.1","28.5","0","","","","","","24.5","71","5"," ","Calm","1017.1","","","","","","1018.5"
"","2016-03-6","19.4","28.6","0","","","","","","20.5","92","8","W","9","1019.6","","","","","","1017.7"
"","2016-03-7","18.6","25.5","0","","","","","","20.0","98","8","W","11","1018.1","","","","","","1019.8"
"","2016-03-8","19.6","30.4","0","","","","","","21.4","92","4","ENE","7","1022.3","","","","","","1020.5"
"","2016-03-9","21.5","29.1","0","","","","","","22.3","67","3","NNE","15","1015.7","","","","","","1015.1"
"","2016-03-10","18.7","21.5","0","","","","","","21.0","90","8","NW","11","1022.7","","","","","","1020.8"
"","2016-03-11","18.8","24.5","10.5","","","","","","21.1","97","6","N","20","1017.4","","","","","","1015.9"
"","2016-03-12","18.4","25.0","0","","","","","","20.4","98","6","NW","7","1019.7","","","","","","1019.6"
"","2016-03-13","20.0","26.9","0","","","","","","20.8","91","8","NE","6","1020.5","","","","","","1018.1"
"","2016-03-14","19.0","25.2","5.0","","","","","","19.5","98","6","W","13","1018.0","","","","","","1018.0"
"","2016-03-15","17.8","22.3","5.8","","","","","","18.2","83","8","ESE","20","1022.7","","","","","","1022.5"
"","2016-03-16","17.5","21.9","0","","","","","","18.9","82","4","NE","9","1022.7","","","","","","1020.8"
"","2016-03-17","14.7","25.6","0","","","","","","18.6","77","2","NE","13","1016.2","","","","","","1011.4"
"","2016-03-18","18.4","19.9","2.0","","","","","","19.8","83","8","W","11","995.4","","","","","","993.0"
"","2016-03-19","","15.8","11.2","","","","","","13.6","77","4","W","56","1009.5","","","","","","1012.4"
"","2016-03-20","10.9","18.1","7.8","","","","","","12.9","91","7","SW","15","1019.7","","","","","","1019.5"
"","2016-03-21","12.7","20.2","7.0","","","","","","14.0","97","6","W","15","1020.5","","","","","","1019.3"
"","2016-03-22","13.9","20.9","2.6","","","","","","15.0","93","3","W","17","1020.0","","","","","","1018.2"
"","2016-03-23","10.9","21.0","0","","","","","","14.6","84","4","NNE","9","1016.9","","","","","","1015.9"
"","2016-03-24","14.5","21.7","0","","","","","","16.9","82","8","W","15","1020.4","","","","","","1019.5"
"","2016-03-25","16.3","18.4","0","","","","","","16.4","90","6","W","26","1017.4","","","","","","1016.8"
"","2016-03-26","13.8","20.1","0","","","","","","15.1","79","3","W","17","1018.4","","","","","","1017.0"
"","2016-03-27","14.8","18.0","5.8","","","","","","15.0","91","7","WSW","22","1019.5","","","","","","1019.1"
"","2016-03-28","14.4","17.9","0","","","","","","15.0","73","8","NW","9","1020.9","","","","","","1018.1"
"","2016-03-29","14.8","18.7","0","","","","","","15.0","88","8","NW","9","1020.5","","","","","","1019.1"
"","2016-03-30","14.4","17.2","18.8","","","","","","14.6","97","8","SW","33","1014.5","","","","","","1012.1"
"","2016-03-31","11.2","19.3","38.0","","","","","","14.8","81","5","W","30","1017.2","","","","","","1016.4"
