"Daily Weather Observations for Jervis Bay, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2067.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Jervis Bay (Point Perpendicular AWS) {station 068151}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.5","26.1","2.0","","","NNE","46","19:37","23.8","80","","NNE","13","1021.9","25.4","74","","NE","24","1019.4"
"","2016-03-2","20.8","27.6","0","","","NNE","65","19:04","22.3","83","","N","28","1019.8","26.4","68","","NNE","35","1016.9"
"","2016-03-3","21.7","27.5","0","","","NNE","59","10:36","24.0","84","","NNE","31","1019.8","26.8","70","","NNE","31","1018.4"
"","2016-03-4","20.9","27.3","0","","","NE","50","12:28","24.0","73","","N","24","1021.6","27.0","70","","NNE","28","1019.4"
"","2016-03-5","19.7","26.6","0","","","NNE","63","12:13","22.7","77","","NNE","22","1020.8","26.2","68","","NNE","33","1018.4"
"","2016-03-6","19.3","28.0","0","","","NNE","57","12:12","22.8","74","","NNE","13","1022.7","24.7","78","","NNE","33","1020.6"
"","2016-03-7","19.9","27.6","0","","","NNE","46","14:00","23.7","82","","N","15","1021.3","27.1","64","","NNE","30","1018.0"
"","2016-03-8","20.0","27.4","0","","","NE","41","16:23","23.7","82","","N","13","1023.8","26.0","73","","NE","24","1022.5"
"","2016-03-9","21.4","27.8","0","","","NNE","52","14:57","24.6","78","","N","24","1020.7","27.4","68","","NNE","35","1016.5"
"","2016-03-10","20.6","23.0","0","","","SSW","41","13:32","21.3","97","","SW","22","1020.2","21.0","98","","SSW","24","1019.8"
"","2016-03-11","20.0","26.3","0.2","","","N","44","17:47","22.0","100",""," ","Calm","1020.2","23.0","92","","N","19","1018.2"
"","2016-03-12","20.3","28.2","0.2","","","NNE","39","23:20","24.4","76","","N","11","1019.5","27.2","74","","NNE","26","1018.0"
"","2016-03-13","20.5","26.9","0","","","NNE","41","18:13","21.7","97","","W","6","1020.7","26.7","75","","NNE","26","1017.6"
"","2016-03-14","21.1","23.5","1.2","","","S","43","12:21","22.6","86","","WNW","4","1016.6","22.2","90","","S","24","1015.5"
"","2016-03-15","19.2","21.6","1.2","","","SSW","61","14:09","19.3","94","","S","19","1019.7","20.8","86","","SSW","30","1018.9"
"","2016-03-16","17.8","20.3","41.4","","","SE","41","23:53","19.4","82","","SSW","19","1020.5","19.5","99","","SSW","22","1018.8"
"","2016-03-17","18.1","24.3","45.6","","","N","41","22:51","19.3","93","","SW","9","1017.2","23.1","79","","ENE","11","1013.0"
"","2016-03-18","19.2","25.2","0","","","NNE","57","05:55","22.1","83","","N","37","1001.1","22.5","90","","N","28","995.2"
"","2016-03-19","15.8","19.9","1.0","","","S","43","21:37","16.5","61","","W","13","1011.0","19.1","46","","S","24","1011.7"
"","2016-03-20","15.6","18.7","0.4","","","S","50","13:05","16.7","87","","SSW","24","1017.1","15.8","95","","SSE","35","1017.5"
"","2016-03-21","14.5","19.1","4.2","","","SSW","50","11:43","15.8","85","","SW","22","1018.4","16.5","90","","SSW","20","1017.0"
"","2016-03-22","15.0","19.8","16.2","","","SSW","54","10:55","15.8","96","","SW","24","1017.8","18.1","86","","SSW","30","1015.4"
"","2016-03-23","15.6","22.5","0.8","","","SSW","30","23:21","17.1","80","","WNW","9","1017.8","21.7","64","","ENE","11","1016.3"
"","2016-03-24","16.9","25.5","0","","","WNW","20","08:57","20.2","56","","WNW","13","1020.2","24.4","55","","E","11","1019.1"
"","2016-03-25","19.5","24.3","0","","","N","35","06:02","21.8","59","","N","20","1017.7","23.8","57","","NNW","15","1015.1"
"","2016-03-26","18.5","23.0","2.6","","","E","26","13:41","20.2","75","","SSW","7","1018.5","22.4","70","","ESE","17","1016.3"
"","2016-03-27","18.5","21.6","11.6","","","SE","30","19:51","19.6","89","","SE","11","1018.9","18.6","97","","S","9","1018.1"
"","2016-03-28","17.1","20.0","16.0","","","SSW","39","02:46","18.5","93","","SW","17","1019.4","19.3","85","","SSW","22","1016.3"
"","2016-03-29","17.5","19.5","0","","","SW","35","13:49","18.0","94","","SW","17","1018.4","19.1","95","","SSW","22","1016.3"
"","2016-03-30","17.9","23.3","1.2","","","S","50","20:09","19.3","87","","WNW","11","1014.6","21.3","66","","SSE","13","1012.0"
"","2016-03-31","18.2","21.3","0","","","SSW","44","07:01","19.1","66","","SSW","22","1016.7","20.3","65","","S","22","1016.4"
