"Daily Weather Observations for Port Fairy, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3067.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Port Fairy AWS {station 090175}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.6","28.9","0","","","NNE","24","07:38","15.8","100","","NNE","15","1016.5","22.9","68","","SSW","19","1015.5"
"","2016-03-2","14.2","22.5","0","","","S","30","15:09","18.3","97","","N","4","1016.4","21.8","78","","SSW","17","1017.7"
"","2016-03-3","16.0","21.9","0","","","SSE","37","17:10","18.5","72","","SE","20","1021.6","21.1","69","","SE","28","1019.7"
"","2016-03-4","13.4","23.2","0","","","ESE","30","23:03","18.7","93","","E","11","1017.8","21.8","79","","S","15","1015.8"
"","2016-03-5","17.6","22.6","0","","","SE","33","19:14","18.3","88","","SSE","22","1020.4","21.3","66","","SE","20","1020.7"
"","2016-03-6","15.7","22.1","0","","","SE","41","18:06","16.6","90","","E","9","1020.0","21.4","73","","SE","26","1020.0"
"","2016-03-7","16.5","21.4","0","","","SE","46","18:58","18.5","90","","SSE","30","1021.4","20.9","81","","SE","26","1021.1"
"","2016-03-8","17.1","23.6","0","","","WSW","46","18:56","18.4","100","","E","7","1017.9","21.9","84","","S","11","1014.5"
"","2016-03-9","17.6","20.0","0.2","","","SE","30","19:26","18.9","100","","WSW","6","1016.9","19.7","100","","S","11","1017.7"
"","2016-03-10","15.7","17.3","4.2","","","ESE","37","08:46","15.8","99","","ESE","20","1021.2","16.8","100","","ESE","19","1018.8"
"","2016-03-11","15.5","21.3","1.6","","","S","19","14:50","17.2","100",""," ","Calm","1017.6","19.6","98","","S","11","1016.9"
"","2016-03-12","16.4","20.0","0","","","SE","20","21:32","16.8","100","","S","7","1021.3","19.0","99","","SSE","13","1022.0"
"","2016-03-13","16.4","20.1","0.2","","","SSE","30","22:26","16.8","92","","E","13","1021.2","18.6","81","","SSE","20","1020.0"
"","2016-03-14","15.0","19.6","0.4","","","SSE","52","22:50","16.1","85","","SSE","26","1022.7","18.8","66","","SSE","26","1022.6"
"","2016-03-15","15.8","20.6","0","","","SSE","46","23:41","16.7","98","","SE","9","1021.6","19.3","80","","SE","31","1019.3"
"","2016-03-16","14.9","23.1","0","","","SE","26","13:11","16.9","93","","ENE","9","1017.3","22.1","76","","SE","17","1013.6"
"","2016-03-17","14.2","35.1","0","","","NNW","52","13:22","20.4","71","","N","13","1009.0","34.5","26","","N","26","1002.8"
"","2016-03-18","13.9","17.3","14.4","","","SW","67","11:53","15.8","73","","SW","41","1000.2","15.8","72","","SW","46","1006.6"
"","2016-03-19","13.0","17.7","0.8","","","SSW","46","02:44","15.2","57","","S","24","1016.3","16.3","63","","S","20","1018.9"
"","2016-03-20","12.7","18.4","0","","","SSE","30","12:04","15.0","73","","SE","13","1021.9","16.8","76","","S","20","1021.8"
"","2016-03-21","11.5","19.7","0.2","","","SE","39","15:06","14.4","89",""," ","Calm","1022.9","19.1","69","","SE","24","1021.1"
"","2016-03-22","10.6","22.9","0","","","SSE","22","13:50","13.9","99","","ENE","11","1019.6","19.9","78","","SSE","17","1016.4"
"","2016-03-23","13.6","20.2","0","","","SSE","26","22:53","14.8","91","","WNW","2","1015.7","19.5","86","","SW","7","1016.8"
"","2016-03-24","14.8","19.0","0","","","SSE","31","00:09","16.2","87","","SE","15","1021.8","17.4","72","","SSE","15","1020.4"
"","2016-03-25","13.5","20.2","0","","","WSW","35","16:39","14.0","76","","NNW","7","1021.4","19.4","60","","WSW","24","1020.9"
"","2016-03-26","13.7","19.4","0.6","","","S","37","20:39","14.7","100","","WNW","6","1020.4","17.6","81","","SW","17","1020.7"
"","2016-03-27","14.8","18.2","0.2","","","SSE","30","05:03","15.1","55","","S","13","1023.1","17.2","52","","S","11","1022.3"
"","2016-03-28","13.3","16.6","0","","","SE","37","16:12","15.2","59","","SE","7","1021.1","15.5","70","","ESE","6","1020.5"
"","2016-03-29","12.4","18.0","0","","","SE","39","00:28","12.8","92",""," ","Calm","1022.7","17.0","52","","S","15","1022.0"
"","2016-03-30","12.7","20.6","0","","","SW","30","03:00","15.6","57","","SSW","6","1022.0","18.8","52","","WSW","13","1021.1"
"","2016-03-31","11.4","21.6","0","","","WSW","35","12:52","14.5","99","","NNW","11","1019.4","19.8","69","","WSW","20","1017.4"
