"Daily Weather Observations for Port Macquarie, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2115.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Port Macquarie Airport AWS {station 060139}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.4","27.6","1.0","","","ESE","26","14:09","20.3","94","8","WNW","7","1021.8","26.6","66","2","E","15","1020.3"
"","2016-03-2","17.1","27.8","1.0","","","NE","33","14:07","21.0","86","6","WNW","7","1021.9","26.0","76","1","NE","22","1019.8"
"","2016-03-3","18.4","27.9","","","","NE","33","13:34","22.2","92","7","WNW","2","1022.1","25.9","75","8","NE","19","1020.9"
"","2016-03-4","21.0","26.9","1.4","","","E","31","13:18","22.2","90","8"," ","Calm","1022.0","26.3","70","6","ENE","20","1020.2"
"","2016-03-5","15.9","27.9","0.6","","","ENE","31","12:55","22.5","86","","NW","6","1021.8","26.5","56","","ENE","22","1020.3"
"","2016-03-6","16.9","28.6","0.2","","","ENE","31","12:19","21.7","82","2","W","9","1023.0","27.2","68","","ENE","20","1021.0"
"","2016-03-7","17.7","28.9","0","","","NE","39","13:46","22.3","85","","NNW","2","1022.3","27.6","64","","NE","24","1019.9"
"","2016-03-8","16.5","28.5","0","","","ENE","28","14:53","22.5","83","","W","11","1022.8","27.9","67","3","ESE","13","1021.5"
"","2016-03-9","18.6","29.1","1.4","","","NNE","43","16:24","22.3","96","6","NW","7","1023.0","27.9","72","","NE","26","1019.9"
"","2016-03-10","18.6","29.7","0","","","NE","39","13:22","23.3","78","","N","13","1020.6","28.0","66","1","NE","26","1018.6"
"","2016-03-11","18.6","28.8","0","","","NE","35","13:15","23.3","88","","WNW","6","1020.5","27.7","73","","NE","22","1018.0"
"","2016-03-12","17.2","29.0","0","","","ENE","35","12:19","22.7","90","","NNW","7","1020.2","27.7","65","","NE","26","1019.1"
"","2016-03-13","16.4","28.4","0","","","ENE","31","14:55","22.6","87","","NW","6","1020.5","26.7","71","6","ENE","19","1017.8"
"","2016-03-14","18.1","29.2","0","","","NE","39","12:54","23.4","87","","NNW","7","1016.8","27.5","67","","NE","26","1013.6"
"","2016-03-15","18.0","28.8","0","","","S","30","13:49","23.9","82","","WSW","9","1017.1","27.1","61","5","SE","19","1016.0"
"","2016-03-16","19.8","25.7","1.2","","","S","33","11:55","22.1","84","2","WSW","13","1017.0","23.9","91","3","SW","13","1016.0"
"","2016-03-17","18.0","27.5","3.8","","","ESE","31","16:01","21.8","83","2","WNW","11","1015.7","26.6","69","8","ESE","15","1011.9"
"","2016-03-18","19.3","30.5","0.2","","","N","31","09:12","21.6","92","","N","19","1007.1","27.2","68","6","NE","20","1001.6"
"","2016-03-19","19.5","25.3","0","","","SSE","41","12:52","20.0","51","8","SSW","15","1009.6","23.6","45","","SSW","28","1009.2"
"","2016-03-20","17.3","25.1","0.4","","","SSW","31","13:09","20.9","69","8","WSW","11","1015.4","24.6","63","6","SSW","17","1013.9"
"","2016-03-21","17.2","24.5","0.8","","","SSW","37","12:47","18.3","95","8","WSW","15","1016.0","22.0","67","8","SW","20","1014.0"
"","2016-03-22","14.5","25.2","6.8","","","WSW","37","10:58","19.4","73","","WSW","13","1015.8","24.3","54","8","WSW","17","1013.0"
"","2016-03-23","15.8","26.4","0","","","SW","35","09:00","20.6","69","","W","13","1017.3","25.6","53","","SSE","22","1016.0"
"","2016-03-24","14.2","27.1","0","","","ENE","26","14:07","19.2","75","","WNW","9","1021.2","26.0","49","","ENE","19","1019.0"
"","2016-03-25","13.6","28.0","0","","","ENE","33","13:33","18.6","84","","NW","9","1019.6","25.6","60","","ENE","22","1015.4"
"","2016-03-26","14.8","27.7","0","","","SSE","30","12:56","20.8","82",""," ","Calm","1017.7","26.6","62","4","ESE","20","1015.4"
"","2016-03-27","17.3","27.9","0","","","ENE","31","12:35","22.6","80",""," ","Calm","1017.4","26.3","64","","NE","17","1015.8"
"","2016-03-28","16.0","28.6","0","","","NE","39","13:32","20.0","95","","NW","6","1018.9","27.6","60","","NE","24","1015.4"
"","2016-03-29","18.5","30.3","0","","","ENE","31","12:49","22.9","78","","N","11","1017.7","25.8","73","7","NE","15","1014.2"
"","2016-03-30","19.3","24.4","8.4","","","N","22","14:18","20.3","92","8","WNW","7","1015.6","24.0","71","7","N","13","1013.3"
"","2016-03-31","15.8","26.5","0.6","","","SSE","35","16:11","19.5","73","","W","13","1016.7","25.4","50","","SSE","19","1015.1"
