"Daily Weather Observations for Portland, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3068.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland (Cashmore Airport) {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.3","28.7","0.2","4.2","9.7","W","37","12:45","15.6","93","","NNE","13","1016.4","26.4","32","","W","20","1015.2"
"","2016-03-2","13.1","22.4","0","5.8","10.8","SSW","30","15:47","17.6","83","4"," ","Calm","1017.2","19.8","76","8","SSW","15","1018.3"
"","2016-03-3","12.8","22.2","0","6.0","11.2","E","33","09:43","17.8","70","1","SE","17","1021.9","21.1","60","","SE","20","1020.2"
"","2016-03-4","15.1","23.5","0","3.6","11.3","SSE","35","15:04","18.3","82","2","E","19","1017.6","20.9","69","","S","19","1016.4"
"","2016-03-5","15.9","22.0","0","6.4","8.2","SE","33","13:07","17.7","74","8","SE","17","1020.5","20.7","63","8","SE","20","1020.7"
"","2016-03-6","15.5","22.2","0","4.6","7.9","E","37","08:54","16.7","83","8","E","17","1019.7","21.1","68","","ESE","24","1020.0"
"","2016-03-7","16.7","21.6","0","4.8","3.2","SE","46","12:06","17.0","86","8","SE","24","1021.2","19.6","75","8","ESE","26","1021.1"
"","2016-03-8","16.8","31.3","0.2","4.0","7.8","W","63","17:53","18.3","90","8","E","22","1018.0","27.9","56","8","ESE","11","1014.5"
"","2016-03-9","16.2","20.9","0","3.4","1.6","W","35","02:37","18.8","90","7","SSW","6","1017.1","18.5","86","8","SSE","17","1017.9"
"","2016-03-10","15.8","18.9","0.6","3.2","0.4","ESE","33","08:10","15.9","94","8","ESE","17","1020.9","18.0","83","7","E","19","1018.6"
"","2016-03-11","15.8","23.5","0.8","0.8","6.1","SW","20","13:47","17.7","96","8","ENE","7","1017.6","21.6","76","8","SSW","13","1017.1"
"","2016-03-12","14.5","18.5","0.8","3.6","1.2","SSE","22","12:03","16.3","95","7","SSE","6","1021.5","17.3","90","7","SE","13","1022.2"
"","2016-03-13","15.2","19.4","0.6","2.4","6.5","ESE","28","11:17","16.9","83","8","E","15","1021.2","18.6","75","8","SE","17","1020.3"
"","2016-03-14","14.4","18.4","1.2","4.2","4.3","SE","52","21:42","15.3","79","8","SSE","15","1022.7","17.3","60","8","SSE","26","1022.9"
"","2016-03-15","14.5","22.4","0","4.0","10.1","ESE","48","13:05","17.4","74","1","E","15","1021.6","21.5","62","","ESE","30","1018.9"
"","2016-03-16","13.9","28.9","0","5.2","10.7","E","28","00:49","16.2","81","","ENE","13","1017.2","28.2","46","","E","13","1013.4"
"","2016-03-17","14.5","35.0","0","6.8","5.6","NNW","59","14:43","20.8","62","1","N","17","1008.5","33.8","24","2","NNW","31","1002.4"
"","2016-03-18","12.7","17.3","19.4","7.6","5.9","W","67","00:32","14.8","65","8","SW","26","1001.8","16.0","55","8","SW","33","1007.5"
"","2016-03-19","11.5","16.6","2.2","3.0","2.4","SW","31","01:53","14.9","53","8","S","13","1016.9","14.9","68","8","S","19","1019.4"
"","2016-03-20","10.9","17.7","0.2","2.6","0.6","SSE","28","13:20","13.4","71","8","SSE","13","1022.3","16.5","54","8","SSE","15","1022.1"
"","2016-03-21","6.7","20.3","0","1.2","10.3","SE","35","15:26","13.8","95","","ENE","7","1022.7","19.1","58","","E","20","1020.9"
"","2016-03-22","9.3","24.6","0.2","5.2","10.4","NNW","30","11:48","13.6","88","","ENE","9","1019.1","22.9","51","","SW","15","1016.4"
"","2016-03-23","12.6","20.6","0","5.0","2.1","S","24","14:52","15.9","78","7"," ","Calm","1015.8","18.6","77","8","SSE","13","1017.3"
"","2016-03-24","14.4","16.8","0","1.2","0.1","SSE","24","23:18","14.7","78","8","SSE","9","1022.1","16.2","71","8","S","11","1020.9"
"","2016-03-25","8.7","19.4","0","2.4","4.2","W","35","11:28","14.9","71","8","W","4","1021.7","17.9","65","8","W","22","1021.2"
"","2016-03-26","13.0","18.9","2.0","2.2","2.1","SW","33","12:23","14.6","90","5","W","7","1020.7","17.6","73","8","W","22","1021.0"
"","2016-03-27","13.3","18.4","0.2","1.4","0.0","S","50","06:26","14.4","57","8","S","13","1023.3","16.0","49","6","S","17","1022.6"
"","2016-03-28","11.5","16.5","0","2.6","0.0","SE","26","14:12","13.5","66","8","SE","6","1021.4","15.3","59","8","S","11","1021.0"
"","2016-03-29","11.8","16.9","1.2","0.6","0.9","SSE","20","12:29","13.7","70","8","S","7","1022.9","16.2","48","8","S","15","1022.2"
"","2016-03-30","11.6","19.0","0","3.2","2.3","W","31","12:16","13.7","64","8"," ","Calm","1022.4","17.3","60","7","W","19","1021.2"
"","2016-03-31","12.7","20.6","0","1.8","6.2","W","50","14:48","15.0","92","8","NNW","13","1019.4","18.3","72","2","W","33","1017.7"
