"Daily Weather Observations for Pound Creek, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3099.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Pound Creek {station 085099}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.4","32.5","0","","","W","43","12:57","19.8","","","NNW","6","1017.5","27.6","","","SW","17","1015.0"
"","2016-03-2","12.5","33.7","0","","","W","43","10:59","22.6","","","ENE","4","1016.4","27.0","","","SW","17","1015.0"
"","2016-03-3","13.6","24.3","0.2","","","SSW","37","15:30","17.7","","","E","6","1021.5","22.6","","","SSW","28","1019.1"
"","2016-03-4","12.6","34.0","0","","","ESE","33","17:17","20.6","","","ENE","7","1018.6","33.0","","","SSW","17","1014.2"
"","2016-03-5","19.1","22.9","0","","","S","31","11:40","20.0","","","SSW","13","1019.4","20.6","","","S","15","1020.6"
"","2016-03-6","14.0","24.3","0","","","S","30","14:39","18.7","","","ENE","2","1020.9","21.9","","","S","20","1019.1"
"","2016-03-7","15.3","26.7","0.8","","","SW","33","09:58","18.5","","","ESE","11","1019.0","23.5","","","S","17","1021.0"
"","2016-03-8","18.4","32.1","0.2","","","NE","46","08:17","22.4","","","NE","13","1019.9","30.2","","","E","26","1016.3"
"","2016-03-9","22.2","24.9","0","","","WSW","44","07:50","22.5","","","WSW","30","1014.8","23.4","","","SW","19","1016.9"
"","2016-03-10","16.2","22.5","0.6","","","ESE","24","11:23","17.3","","","SSE","7","1021.6","22.0","","","ENE","9","1019.2"
"","2016-03-11","17.2","24.4","5.2","","","SW","30","14:20","20.1","","","W","13","1017.2","23.6","","","SW","19","1016.1"
"","2016-03-12","15.0","21.9","0","","","SW","26","15:18","18.9","","","NNW","6","1020.3","20.6","","","SSW","15","1020.6"
"","2016-03-13","17.3","23.1","0","","","SSW","30","14:43","18.1","","","SE","6","1021.3","22.3","","","SSW","22","1019.0"
"","2016-03-14","17.4","21.9","0","","","WSW","37","12:22","18.4","","","SW","13","1020.7","20.1","","","SSW","20","1020.6"
"","2016-03-15","8.6","23.6","0","","","ESE","67","15:33","18.4","","","E","41","1023.5","21.5","","","ESE","37","1021.9"
"","2016-03-16","16.6","29.0","0","","","ESE","50","14:52","19.8","","","ENE","19","1020.4","27.3","","","E","20","1016.3"
"","2016-03-17","16.0","34.4","0","","","NE","35","21:03","19.8","","","ENE","9","1012.4","34.2","","","NNW","13","1006.2"
"","2016-03-18","15.3","17.2","17.8","","","SW","89","13:50","15.6","","","SW","39","995.6","15.3","","","SW","61","998.1"
"","2016-03-19","13.6","18.4","11.0","","","WSW","52","23:42","14.2","","","SW","15","1013.2","17.4","","","SSW","26","1016.4"
"","2016-03-20","3.0","21.9","0","","","E","39","15:18","9.9","",""," ","Calm","1021.7","20.6","","","E","22","1020.2"
"","2016-03-21","5.0","22.2","0","","","SE","35","15:45","12.6","",""," ","Calm","1022.6","20.3","","","ESE","17","1020.6"
"","2016-03-22","5.5","25.3","0","","","ESE","37","15:32","14.3","","","ENE","4","1020.7","23.0","","","NNE","13","1017.1"
"","2016-03-23","12.0","28.3","0","","","WSW","41","12:48","16.1","","","NNE","6","1015.9","23.7","","","WSW","20","1015.6"
"","2016-03-24","13.6","20.6","0","","","SSW","28","13:57","17.0","","","S","13","1021.1","18.8","","","S","20","1019.6"
"","2016-03-25","9.8","20.8","0","","","WSW","35","12:06","16.0","","","WNW","7","1020.2","19.2","","","WSW","22","1019.2"
"","2016-03-26","13.5","21.7","0","","","W","39","11:56","16.0","","","WNW","11","1019.1","18.6","","","WSW","26","1018.7"
"","2016-03-27","14.2","19.5","0.4","","","SSW","31","10:18","16.3","","","SSW","13","1021.3","17.9","","","S","20","1021.0"
"","2016-03-28","9.1","20.7","0","","","S","28","15:47","12.9","","","W","2","1020.7","17.9","","","SE","13","1018.8"
"","2016-03-29","12.0","17.3","0","","","SE","24","10:04","13.7","",""," ","Calm","1021.5","16.8","","","SE","11","1020.4"
"","2016-03-30","13.6","19.7","0","","","SSW","37","12:21","14.8","","","NNW","4","1019.9","18.1","","","SSW","22","1019.4"
"","2016-03-31","10.2","22.2","0","","","W","30","13:28","15.2","","","NW","7","1019.5","20.6","","","SW","17","1017.3"
