"Daily Weather Observations for Redesdale, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3069.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Redesdale {station 088051}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.0","32.3","0","","","NNE","30","11:42","19.8","65","","SSE","4","","30.7","20","","NNW","9",""
"","2016-03-2","13.5","36.6","0","","","S","56","20:33","23.3","33","","S","4","","35.0","13","","NW","15",""
"","2016-03-3","18.0","35.8","0","","","SSW","33","01:34","20.6","66","","SSE","15","","32.9","25","","NW","6",""
"","2016-03-4","18.2","36.3","0","","","WNW","52","14:53","23.1","55","","ENE","9","","35.0","24","","NNE","19",""
"","2016-03-5","17.3","35.6","2.4","","","ESE","31","15:03","23.3","64","","SSW","7","","34.1","27","","NNE","13",""
"","2016-03-6","17.3","38.7","0","","","SSE","33","17:19","23.7","52","","S","4","","37.0","21","","NNW","7",""
"","2016-03-7","20.6","36.1","0","","","S","43","20:16","27.0","41","","E","13","","32.4","34","","SSE","24",""
"","2016-03-8","19.4","38.4","0","","","SSE","41","00:28","26.9","45","","ENE","6","","36.9","17","","N","19",""
"","2016-03-9","24.3","36.7","0","","","SSW","43","20:16","25.0","38","","ENE","9","","34.6","23","","SSW","6",""
"","2016-03-10","19.4","24.8","2.2","","","SSE","31","16:08","20.5","85","","S","17","","22.0","74","","SW","13",""
"","2016-03-11","18.2","31.7","16.6","","","S","28","21:25","22.6","78","","E","6","","28.9","50","","NE","4",""
"","2016-03-12","18.0","31.3","0","","","SSE","35","18:12","21.8","75","","SSW","9","","30.1","46","","ESE","9",""
"","2016-03-13","16.0","32.1","0","","","S","28","14:25","19.2","75","","SSE","9","","30.3","26","","ESE","7",""
"","2016-03-14","15.7","26.3","0","","","SSE","44","15:28","19.1","70","","S","17","","23.8","46","","S","30",""
"","2016-03-15","13.9","29.5","0","","","S","48","01:18","19.2","64","","SSE","17","","27.5","37","","ENE","11",""
"","2016-03-16","15.9","30.3","0","","","NNE","30","11:04","21.1","57","","ENE","7","","28.2","39","","NE","15",""
"","2016-03-17","17.4","30.5","0","","","N","39","13:44","20.8","59","","NE","11","","28.5","39","","NNE","15",""
"","2016-03-18","12.7","19.0","21.8","","","SW","67","06:45","12.9","92","","WSW","11","","17.3","59","","SW","35",""
"","2016-03-19","7.4","18.2","3.2","","","S","37","16:25","11.6","84","","WSW","9","","17.0","49","","SSE","20",""
"","2016-03-20","6.0","22.2","0","","","SSE","37","08:38","12.3","63","","SSE","20","","20.4","34","","E","6",""
"","2016-03-21","10.3","24.3","0","","","S","37","20:49","13.8","71","","S","17","","22.8","35","","SE","13",""
"","2016-03-22","9.0","25.8","0","","","S","22","23:05","14.1","76","","S","7","","24.6","31","","W","6",""
"","2016-03-23","10.2","27.6","0","","","NNW","24","15:09","15.4","63","","S","4","","26.4","27","","NW","11",""
"","2016-03-24","15.4","22.1","0.4","","","S","31","04:42","17.1","84","","S","6","","21.4","63","","NE","6",""
"","2016-03-25","13.6","25.0","0","","","S","35","16:14","14.7","85","","S","9","","23.7","30","","WSW","7",""
"","2016-03-26","8.4","23.2","0","","","SSW","35","21:40","14.4","76","","SSW","9","","21.9","48","","WSW","13",""
"","2016-03-27","9.2","20.5","0","","","S","41","17:31","13.2","71","","S","13","","19.5","38","","S","22",""
"","2016-03-28","9.9","19.5","0","","","SSE","44","09:26","13.6","52","","SSE","30","","17.8","41","","S","19",""
"","2016-03-29","11.5","21.2","0","","","SSE","54","05:00","13.4","62","","SSE","30","","19.7","45","","S","19",""
"","2016-03-30","10.9","20.5","0","","","S","46","10:37","13.1","64","","S","24","","18.1","43","","S","20",""
"","2016-03-31","3.9","23.8","0","","","W","26","14:57","11.3","75",""," ","Calm","","22.1","44","","WSW","7",""
