"Daily Weather Observations for Rhyll, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3070.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Rhyll {station 086373}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.8","31.5","0","","","NNW","28","13:04","18.9","91",""," ","Calm","1017.3","28.4","58","","S","6","1015.3"
"","2016-03-2","18.0","29.7","0","","","SSW","37","15:06","21.4","62",""," ","Calm","1016.8","28.0","50","","S","11","1015.4"
"","2016-03-3","16.6","24.5","0","","","S","26","15:35","19.1","71",""," ","Calm","1021.4","23.9","58","","S","13","1019.6"
"","2016-03-4","17.2","31.5","0","","","SSE","22","16:42","20.7","78",""," ","Calm","1018.4","29.9","59","","SSE","11","1014.4"
"","2016-03-5","19.4","23.1","0","","","SSW","28","01:47","20.4","84",""," ","Calm","1019.5","21.6","71","","S","2","1020.8"
"","2016-03-6","17.9","25.7","0","","","S","28","14:55","18.9","84",""," ","Calm","1020.8","21.4","73","","S","15","1019.4"
"","2016-03-7","18.6","24.9","1.4","","","SSE","28","14:48","19.6","97",""," ","Calm","1018.9","23.9","67","","SSE","19","1021.0"
"","2016-03-8","19.3","34.4","0","","","NE","35","19:56","21.8","83",""," ","Calm","1019.6","32.2","47","","S","6","1015.6"
"","2016-03-9","21.6","","0","","","","","","23.1","78","","SW","15","1015.3","22.3","83","","SSW","13","1016.7"
"","2016-03-10","17.8","21.6","","","","ESE","26","00:57","18.0","88","","SSE","9","1022.0","20.6","87","","N","2","1019.7"
"","2016-03-11","17.9","25.8","5.4","","","SSW","20","19:13","20.0","99","","WSW","4","1017.5","24.8","73","","S","6","1016.4"
"","2016-03-12","18.3","22.8","0.2","","","S","20","13:56","19.8","91","","SW","4","1020.3","20.3","88","","S","13","1020.9"
"","2016-03-13","17.6","23.9","0","","","S","24","13:43","18.7","86","","SSE","7","1021.3","22.9","70","","S","13","1019.3"
"","2016-03-14","17.7","21.7","0","","","SSW","39","11:16","18.9","74","","S","9","1020.8","19.9","61","","SSW","17","1021.0"
"","2016-03-15","16.3","23.1","0","","","ESE","67","09:31","18.4","81","","ESE","48","1022.3","21.6","66","","ESE","43","1020.6"
"","2016-03-16","17.1","30.0","0","","","E","43","23:47","21.1","70","","ENE","17","1019.8","29.7","50","","NE","15","1015.9"
"","2016-03-17","18.1","32.8","0","","","NE","37","01:03","21.0","72","","NNE","6","1012.3","31.9","37","","NNW","13","1006.4"
"","2016-03-18","15.0","17.8","12.4","","","SW","81","14:05","15.4","88","","SW","17","995.7","17.5","67","","SW","33","999.5"
"","2016-03-19","11.9","19.3","15.2","","","SW","46","23:05","15.6","60","","SW","20","1013.4","18.4","62","","S","11","1016.9"
"","2016-03-20","11.4","21.3","0.2","","","ESE","39","19:13","16.9","63","","E","17","1021.3","18.7","69","","SSE","19","1020.2"
"","2016-03-21","14.2","20.9","0.2","","","ESE","37","19:44","17.5","71","","SE","15","1022.3","20.2","66","","SSE","20","1020.6"
"","2016-03-22","14.9","25.4","0","","","E","33","00:00","18.5","73","","E","24","1020.2","23.5","55","","SSE","6","1017.1"
"","2016-03-23","14.6","26.0","0","","","NE","30","23:05","15.9","83","","NNE","6","1016.3","24.7","42","","S","15","1015.8"
"","2016-03-24","15.9","21.6","0","","","S","24","13:42","17.1","85","","SSE","7","1021.1","19.8","66","","S","9","1019.8"
"","2016-03-25","15.0","20.3","0","","","SW","33","12:54","17.1","76","","SW","15","1020.4","19.6","52","","SW","15","1019.6"
"","2016-03-26","14.3","21.3","0","","","SW","35","14:08","16.3","86","","WNW","4","1019.5","19.8","64","","SW","19","1019.1"
"","2016-03-27","14.9","20.0","0.2","","","SSW","30","23:38","16.0","61","","SSW","9","1021.7","18.6","50","","S","11","1021.0"
"","2016-03-28","13.5","20.4","0","","","SSE","26","13:36","15.6","64","","E","15","1020.6","17.6","58","","SSE","15","1019.1"
"","2016-03-29","15.2","17.5","0","","","SSE","24","15:19","15.9","66","","ESE","15","1021.2","16.9","58","","SSE","13","1020.5"
"","2016-03-30","14.1","19.4","0","","","SSW","35","09:56","16.3","72","","S","17","1020.2","18.1","56","","SSW","15","1019.9"
"","2016-03-31","13.8","22.4","0","","","NNW","24","09:58","14.7","82","","NNW","17","1019.7","20.9","58","","WSW","7","1017.5"
