"Daily Weather Observations for Richmond, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2119.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations for this location are not available after January 2015."
"Observations for this location are not available after January 2015."
"Observations were drawn from Richmond RAAF {station 067105}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.7","30.2","0","","","ENE","30","17:33","20.5","95","8","SE","6","1022.3","29.0","53","","ENE","15","1019.1"
"","2016-03-2","15.8","33.7","0.8","","","ENE","31","17:18","20.0","88",""," ","Calm","1021.3","33.1","37","","NE","13","1017.7"
"","2016-03-3","17.9","34.6","0","","","NE","39","15:51","21.5","93","7","NE","7","1021.5","33.1","36","","NE","9","1018.1"
"","2016-03-4","17.8","32.1","0","","","NE","33","14:23","22.2","86","8","S","2","1022.1","31.9","48","2","NNE","17","1018.6"
"","2016-03-5","15.0","32.8","0","","","ENE","30","16:34","21.1","86",""," ","Calm","1021.9","31.6","33","","ENE","9","1018.2"
"","2016-03-6","14.3","32.3","0","","","NE","35","10:50","20.5","84","","S","4","1023.3","30.6","44","1","ENE","11","1019.6"
"","2016-03-7","16.6","33.2","0","","","E","31","16:27","22.1","85","","N","6","1021.8","31.8","47","","ENE","11","1017.6"
"","2016-03-8","19.4","31.3","0","","","","","","24.0","74","","SW","4","1023.4","30.2","42","2","ESE","15","1021.0"
"","2016-03-9","","35.4","0","","","","","","","","","","","","34.6","39","","E","15","1016.4"
"","2016-03-10","21.1","33.4","","","","SE","35","11:56","25.4","74",""," ","Calm","1019.9","30.9","53","","SSE","20","1017.7"
"","2016-03-11","22.7","32.0","0","","","NE","28","13:20","23.7","85","8","S","6","1019.8","29.1","53","","NE","7","1016.9"
"","2016-03-12","19.7","33.4","1.0","","","E","28","16:09","22.5","89","8","NNW","7","1019.8","32.8","38","","N","9","1016.7"
"","2016-03-13","20.0","32.1","0","","","SE","46","21:48","23.1","80","","SSE","4","1020.3","30.6","42","","N","13","1016.6"
"","2016-03-14","19.9","33.8","0","","","S","61","14:48","22.0","88",""," ","Calm","1016.6","32.3","45","","ENE","15","1012.6"
"","2016-03-15","21.3","25.3","0.4","","","S","30","10:04","21.9","76","8","SSE","15","1019.7","22.5","80","8","SW","15","1018.6"
"","2016-03-16","18.2","28.1","2.8","","","ESE","30","13:36","19.0","96","8","S","9","1020.3","26.2","47","3","SSE","15","1017.3"
"","2016-03-17","18.7","28.4","0.6","","","NE","30","14:23","21.3","85","1","SSW","7","1017.1","25.2","63","2","ENE","17","1012.3"
"","2016-03-18","17.3","30.4","0","","","WSW","57","15:25","21.2","85","1","NE","20","1003.1","27.5","64","","N","30","997.1"
"","2016-03-19","9.7","25.6","0.4","","","ESE","39","16:04","17.4","56","","NE","2","1011.1","24.4","26","","ENE","9","1010.3"
"","2016-03-20","15.6","24.8","0","","","SE","46","16:51","19.2","54","7","SSW","17","1017.6","22.6","49","8","SSE","17","1015.9"
"","2016-03-21","14.9","21.5","2.8","","","SE","39","13:24","17.4","85","7","S","9","1018.6","18.7","80","8","SSE","9","1016.9"
"","2016-03-22","14.8","26.3","0.2","","","SSE","35","09:23","19.1","66","","SW","17","1017.7","24.0","45","8","SSE","22","1014.9"
"","2016-03-23","10.9","27.2","0","","","SE","26","11:08","17.4","73",""," ","Calm","1018.5","25.7","39","","NE","13","1016.1"
"","2016-03-24","13.6","30.4","0","","","ENE","31","16:49","17.8","88","7"," ","Calm","1021.1","28.9","30","","ENE","9","1018.1"
"","2016-03-25","13.7","27.5","0","","","S","28","21:22","16.9","81","7"," ","Calm","1019.0","25.0","52","","NNE","13","1016.1"
"","2016-03-26","14.1","29.5","0","","","ENE","28","16:38","18.4","89","4"," ","Calm","1018.8","27.9","38","","SSW","6","1014.9"
"","2016-03-27","14.2","28.4","0","","","SE","37","12:26","18.4","97","1"," ","Calm","1018.2","26.0","60","8","SE","24","1015.8"
"","2016-03-28","18.1","27.9","0","","","ESE","24","17:34","20.9","85","8","S","9","1018.7","27.2","53","","E","9","1014.8"
"","2016-03-29","20.4","23.7","0","","","SW","17","10:28","21.0","88","8","SSE","11","1017.4","21.4","92","8","S","7","1016.1"
"","2016-03-30","16.9","28.3","3.6","","","W","39","10:40","19.7","89","","WNW","4","1015.2","26.5","36","8","W","19","1012.0"
"","2016-03-31","10.5","27.4","0.2","","","ESE","33","16:33","16.6","67","","N","4","1017.6","26.4","36","6","E","9","1015.5"
