"Daily Weather Observations for Rutherglen, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3071.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Rutherglen, pressure and cloud taken from Albury Airport."
"Temperature, humidity, wind and rainfall observations are from Rutherglen Research {station 082039}"
"Pressure and cloud observations are from Albury Airport {station 072146}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.3","34.8","0","","","ENE","37","08:54","24.1","54","","NE","17","","33.0","19","","NW","13",""
"","2016-03-2","14.1","37.1","0","","","WNW","28","14:32","21.6","48","","WSW","6","","35.2","10","","NNW","13",""
"","2016-03-3","15.6","35.5","0","","","E","35","10:24","26.9","29","","E","13","","34.5","20","","ENE","13",""
"","2016-03-4","14.2","36.7","0","","","ENE","41","11:50","25.8","46","","ENE","6","","35.1","22","","NW","11",""
"","2016-03-5","21.9","38.4","0","","","ENE","24","08:17","28.4","38","","ENE","17","","37.2","21","","NW","7",""
"","2016-03-6","19.4","37.8","0","","","E","43","21:28","25.1","49","","E","2","","36.9","18","","E","13",""
"","2016-03-7","17.6","38.4","0","","","ENE","28","08:31","28.7","34","","ENE","15","","37.4","19","","ENE","9",""
"","2016-03-8","18.2","38.0","0","","","NNW","31","17:21","28.7","44","","ENE","11","","36.7","18","","N","11",""
"","2016-03-9","21.0","38.4","0","","","NE","39","08:05","26.5","46","","NE","19","","37.5","21","","NNE","13",""
"","2016-03-10","24.5","38.4","0","","","NNW","48","17:11","28.1","41","","ENE","9","","35.2","23","","NNE","15",""
"","2016-03-11","18.0","31.2","0","","","ENE","33","16:04","24.8","66","","ENE","13","","24.5","91","","ESE","20",""
"","2016-03-12","20.8","33.7","6.6","","","WSW","26","15:03","24.4","75","","ENE","9","","32.3","41","","SW","7",""
"","2016-03-13","15.9","34.9","0","","","WSW","31","15:30","22.4","82","","S","2","","33.7","28","","W","13",""
"","2016-03-14","13.2","34.2","0","","","WSW","41","16:14","20.7","69","","SSW","2","","33.4","21","","WSW","19",""
"","2016-03-15","12.9","32.4","0","","","E","39","19:12","20.6","71",""," ","Calm","","29.5","36","","ENE","9",""
"","2016-03-16","16.8","31.4","0","","","ENE","28","09:45","21.9","55","","E","13","","30.2","29","","E","13",""
"","2016-03-17","13.0","32.4","0","","","ENE","22","07:58","22.5","56","","ENE","15","","30.5","33","","NE","9",""
"","2016-03-18","20.1","20.9","6.4","","","WNW","80","08:46","20.8","100","","N","17","","18.9","61","","WSW","35",""
"","2016-03-19","7.2","20.5","10.6","","","SW","35","14:31","11.8","79","","SW","13","","20.2","45","","SW","17",""
"","2016-03-20","7.4","23.9","0","","","SE","28","10:53","10.7","99",""," ","Calm","","21.9","33","","S","15",""
"","2016-03-21","5.6","26.3","0","","","ESE","30","10:08","12.6","85",""," ","Calm","","24.4","31","","E","13",""
"","2016-03-22","6.9","26.2","0","","","W","28","13:26","14.7","85",""," ","Calm","","24.9","33","","WNW","13",""
"","2016-03-23","6.8","27.0","0","","","W","28","15:57","15.3","78","","ENE","7","","25.9","29","","W","13",""
"","2016-03-24","15.3","25.9","0","","","SSE","20","14:17","18.8","64","","ENE","9","","25.4","37","","ESE","9",""
"","2016-03-25","14.0","28.3","0","","","WSW","39","15:11","16.8","81","","SSW","6","","27.5","35","","W","19",""
"","2016-03-26","5.1","26.7","0","","","WSW","31","15:44","11.6","87","","WSW","6","","25.0","31","","SW","7",""
"","2016-03-27","6.4","26.6","0","","","E","24","10:08","14.4","85",""," ","Calm","","25.4","35","","NNE","9",""
"","2016-03-28","7.1","25.7","0","","","N","30","12:27","12.8","81",""," ","Calm","","24.8","30","","NW","13",""
"","2016-03-29","11.9","25.3","0","","","N","20","13:04","15.0","75","","NE","6","","24.4","33","","ESE","7",""
"","2016-03-30","8.9","24.3","0","","","WNW","26","13:21","15.2","73","","NE","9","","22.9","36","","SW","9",""
"","2016-03-31","5.8","25.2","0","","","NW","19","14:25","11.8","100","","SSE","2","","23.6","39","","NNE","9",""
