"Daily Weather Observations for Scone, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2121.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Scone Airport, but some from the Scone Soil Conservation Service research centre."
"The airport is about 4 km northwest of Scone, and the Scone Soil Conservation Service research centre is about 6 km to the south. Note that evaporation is typically not measured over the weekend, and Monday totals cover the three previous days."
"Temperature, humidity, wind, pressure and rainfall observations are from Scone Airport AWS {station 061363}"
"Cloud, evaporation and sunshine observations are from Scone Scs {station 061089}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.7","32.5","0","7.2","11.1","SSE","35","16:27","17.0","95","0","SW","6","1020.8","31.3","25","","SW","9","1017.1"
"","2016-03-2","15.3","34.9","0","6.0","9.3","SE","33","14:51","19.0","90","3","S","2","1021.0","33.9","18","","ESE","15","1017.1"
"","2016-03-3","14.4","35.5","0","1.6","","S","41","14:50","22.2","70","1","ESE","2","1021.0","34.6","25","","S","19","1017.2"
"","2016-03-4","19.3","32.5","0","","","SSE","37","16:20","22.4","73","","SE","7","1020.8","31.0","35","","SE","17","1017.0"
"","2016-03-5","17.9","34.0","0","","","S","41","16:32","19.9","86","","SSW","4","1021.1","32.3","30","","SE","11","1017.2"
"","2016-03-6","14.9","33.9","0","","","S","39","17:02","18.0","92","","NE","2","1022.3","32.0","30","","SE","20","1018.0"
"","2016-03-7","18.0","34.8","0","26.4","","S","31","17:09","22.5","75","1","SE","6","1021.2","33.3","25","","SE","13","1016.9"
"","2016-03-8","16.8","33.4","0","7.0","","SSE","41","15:01","21.4","82","8","S","9","1022.2","32.1","35","","SSE","20","1018.6"
"","2016-03-9","19.4","36.6","0","","","WNW","24","11:48","23.7","73","","ESE","4","1021.8","34.1","26","","S","6","1016.7"
"","2016-03-10","17.3","36.1","0","","","S","39","17:39","25.2","63","","NNE","2","1019.8","34.9","24","","SSE","15","1015.6"
"","2016-03-11","18.6","35.5","0","14.0","","SSW","43","18:01","23.1","77","6","WSW","6","1019.5","32.9","31","","E","6","1015.2"
"","2016-03-12","17.5","35.9","0.6","","","ESE","41","15:45","21.9","86","","WSW","4","1019.3","34.7","29","","SSE","20","1015.7"
"","2016-03-13","19.4","33.9","0","","","SSE","33","15:38","21.7","80","","SSE","13","1019.4","32.8","23","","SSE","11","1015.1"
"","2016-03-14","19.8","30.4","0","16.8","2.3","SE","69","18:51","24.2","73","7","SE","4","1016.0","25.1","71","","NW","13","1013.8"
"","2016-03-15","18.6","28.2","3.2","","4.2","S","46","12:56","20.8","95","8","SSE","15","1017.3","25.6","59","","SE","28","1015.9"
"","2016-03-16","19.2","28.3","0","4.0","4.6","SE","46","15:14","19.5","92","8","SSE","15","1017.8","26.0","52","","SE","28","1015.4"
"","2016-03-17","14.9","29.0","0.2","4.4","4.9","SSE","28","15:59","20.4","83","3","ESE","7","1015.9","28.4","43","","SSE","9","1010.5"
"","2016-03-18","16.3","30.4","0","3.8","","W","69","16:42","23.4","70","3"," ","Calm","1004.7","27.0","61","","NNW","24","1000.3"
"","2016-03-19","10.5","25.9","5.6","","","W","31","12:34","16.9","57","","NNW","9","1011.0","24.1","26","","N","4","1008.8"
"","2016-03-20","12.2","25.7","0","","","SE","46","16:10","16.5","71","","SSE","24","1015.7","24.6","47","","SSE","28","1012.9"
"","2016-03-21","15.2","23.6","0","11.0","","ESE","43","16:04","15.8","96","7","SSE","20","1016.5","22.0","54","","SE","28","1014.1"
"","2016-03-22","14.2","26.5","0","3.6","7.0","SSE","35","14:34","16.5","74","8","S","9","1017.2","23.9","37","","S","19","1013.5"
"","2016-03-23","9.8","27.8","0","","10.3","ESE","33","14:47","15.6","87","1","NNE","7","1018.2","26.6","33","","ESE","17","1015.7"
"","2016-03-24","9.2","31.6","0","4.4","","SE","31","14:32","16.4","62","0","ESE","4","1020.6","30.3","20","","SSW","15","1016.6"
"","2016-03-25","10.4","29.0","0","","","SSW","44","13:10","17.9","67","","NNE","6","1018.7","22.7","57","","ESE","9","1016.9"
"","2016-03-26","10.3","30.3","0.2","","","SSE","31","14:57","18.2","74",""," ","Calm","1018.0","29.2","30","","SSE","17","1013.9"
"","2016-03-27","13.3","31.3","0","","","SE","39","13:29","18.7","85","","NE","6","1017.0","30.2","29","","SE","17","1013.1"
"","2016-03-28","17.6","33.0","0","","","WNW","33","13:15","20.4","84","","SSE","9","1017.9","31.5","21","","WNW","9","1013.3"
"","2016-03-29","14.3","31.0","0","23.8","","WSW","43","14:04","21.1","72","6","SE","2","1016.6","29.0","38","","W","20","1013.3"
"","2016-03-30","16.3","27.6","0.2","3.4","8.6","NNW","35","12:56","19.9","63","2","NW","11","1016.1","26.4","40","","WNW","20","1013.0"
"","2016-03-31","9.4","29.3","0","5.6","10.7","S","41","14:55","17.7","58","0","NE","7","1017.3","28.4","12","","WSW","13","1014.2"
