"Daily Weather Observations for Scoresby, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3072.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Scoresby Research Institute {station 086104}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.2","33.8","0","","","NW","48","17:01","19.4","79","","NNE","9","","32.4","20","","NW","17",""
"","2016-03-2","15.7","37.1","0","","","S","30","17:43","24.9","36","","NNE","9","","35.1","16","","WSW","6",""
"","2016-03-3","16.5","29.0","0","","","SE","24","23:58","18.0","74","","SSE","13","","27.2","40","","S","11",""
"","2016-03-4","14.1","38.2","0","","","NW","31","15:10","20.6","64","","S","2","","35.7","23","","NNE","20",""
"","2016-03-5","19.8","25.7","0","","","S","26","15:09","20.5","86","","SSW","6","","22.9","69","","SSE","13",""
"","2016-03-6","16.5","31.1","0","","","S","33","16:28","18.9","79","","NNE","2","","29.4","47","","SSE","11",""
"","2016-03-7","17.8","27.3","0","","","S","26","15:00","19.9","85",""," ","Calm","","24.9","66","","SSE","13",""
"","2016-03-8","19.2","39.8","0.4","","","NNE","35","12:34","20.3","86","","NW","4","","38.4","19","","NNW","11",""
"","2016-03-9","20.3","32.6","0","","","NNE","30","06:42","28.4","35",""," ","Calm","","25.4","65","","SW","11",""
"","2016-03-10","17.4","22.0","0.4","","","SSE","22","23:34","17.9","90","","SSE","6","","20.2","90","","SSW","7",""
"","2016-03-11","17.8","30.3","9.4","","","SSE","22","19:35","20.1","93",""," ","Calm","","29.5","52","","W","6",""
"","2016-03-12","17.0","23.2","0","","","S","19","17:07","19.7","88","","SE","6","","22.9","74","","SE","7",""
"","2016-03-13","16.9","26.7","0.4","","","S","26","19:41","17.8","91","","SE","6","","25.4","60","","S","11",""
"","2016-03-14","16.9","21.7","0","","","SE","28","17:03","17.9","84","","SE","7","","19.6","60","","SSE","11",""
"","2016-03-15","12.7","26.7","0","","","SE","44","16:44","18.4","70","","SSE","7","","26.1","49","","ESE","20",""
"","2016-03-16","12.8","31.5","0","","","SE","26","16:38","17.8","76",""," ","Calm","","30.1","36","","NNE","9",""
"","2016-03-17","16.9","32.8","0","","","NNE","39","09:02","24.6","48","","NNE","19","","31.7","29","","NNE","15",""
"","2016-03-18","15.0","19.0","25.0","","","SW","67","14:44","15.1","91","","WSW","11","","17.8","54","","SW","31",""
"","2016-03-19","11.5","18.2","18.6","","","SSW","37","12:43","12.9","94","","WSW","2","","15.3","65","","SE","7",""
"","2016-03-20","6.2","22.6","0.4","","","ESE","24","16:43","12.4","73","","S","6","","22.2","42","","S","7",""
"","2016-03-21","10.3","22.8","0.2","","","ESE","31","13:04","15.1","68","","SE","4","","22.3","46","","ESE","13",""
"","2016-03-22","8.2","26.6","0","","","SW","20","17:16","13.6","91",""," ","Calm","","24.4","32","","WSW","6",""
"","2016-03-23","11.1","27.2","0","","","NNE","30","12:12","17.6","62","","NNE","7","","25.8","36","","NE","11",""
"","2016-03-24","16.5","22.0","0","","","SSE","20","18:13","17.3","83",""," ","Calm","","21.0","63","","ESE","4",""
"","2016-03-25","13.6","20.3","0","","","S","28","14:40","15.8","77",""," ","Calm","","19.5","51","","SSW","13",""
"","2016-03-26","11.4","19.7","0","","","SSW","20","19:57","14.3","78","","N","4","","19.1","62","","SW","9",""
"","2016-03-27","12.8","19.6","2.0","","","S","26","17:12","14.5","85","","SSE","4","","18.5","45","","SSE","9",""
"","2016-03-28","7.2","18.9","0","","","ESE","31","10:34","13.4","66","","S","7","","18.1","49","","SSE","13",""
"","2016-03-29","13.4","18.0","0","","","SE","31","11:14","15.2","63","","SSE","9","","17.1","54","","SE","15",""
"","2016-03-30","13.6","17.9","0","","","SSW","28","14:18","13.7","83","","ESE","7","","16.9","57","","SSW","17",""
"","2016-03-31","5.9","23.1","0","","","SSW","20","14:45","11.8","76",""," ","Calm","","22.5","49","","SSW","4",""
