"Daily Weather Observations for Sheoaks, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3073.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sheoaks {station 087168}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.8","32.7","0","","","NW","39","13:43","15.9","85","","N","4","1017.3","31.8","19","","NW","15","1015.3"
"","2016-03-2","15.9","36.9","0","","","ESE","31","15:06","23.6","30","","WNW","9","1017.1","34.3","17","","WNW","9","1014.8"
"","2016-03-3","15.8","24.8","0","","","SE","31","14:33","16.5","76","","ESE","17","1021.2","23.6","46","","SE","17","1019.5"
"","2016-03-4","12.1","34.0","0","","","SE","28","16:16","16.7","93","","ESE","6","1018.1","32.8","34","","SE","15","1014.0"
"","2016-03-5","15.1","21.6","0","","","SE","26","12:48","18.4","84","","SE","4","1020.0","20.4","71","","SE","17","1020.4"
"","2016-03-6","16.1","27.2","0","","","ESE","35","12:56","17.6","81","","E","13","1020.4","24.9","56","","ESE","22","1018.7"
"","2016-03-7","16.5","24.6","0","","","ESE","39","14:50","18.5","88","","SSE","9","1020.3","22.4","57","","SE","22","1021.2"
"","2016-03-8","17.0","39.3","0","","","N","37","16:08","19.6","88","","E","9","1019.3","37.9","15","","NNW","17","1014.8"
"","2016-03-9","19.5","25.9","0","","","W","37","06:23","22.0","67","","NW","9","1016.3","23.6","67","","SW","6","1017.5"
"","2016-03-10","15.7","19.3","3.0","","","E","26","02:07","16.1","96","","ESE","9","1021.8","18.1","94","","ENE","9","1019.5"
"","2016-03-11","16.0","29.4","6.4","","","SE","24","17:30","18.2","100","","NNE","2","1017.5","26.5","56","","S","9","1016.2"
"","2016-03-12","17.6","20.3","0","","","SE","19","15:52","18.1","95","","ESE","4","1020.5","19.5","87","","SE","11","1020.8"
"","2016-03-13","15.1","24.3","0.8","","","ESE","30","14:36","15.9","100","","ESE","7","1021.2","22.8","65","","E","11","1019.2"
"","2016-03-14","15.0","20.9","0.2","","","SE","33","15:02","15.9","88","","SE","6","1021.3","19.8","53","","SSE","13","1020.6"
"","2016-03-15","13.8","24.3","0","","","ESE","54","06:36","17.2","79","","ESE","24","1020.7","22.2","57","","ESE","26","1019.0"
"","2016-03-16","11.5","29.7","0","","","ESE","33","23:03","15.8","87","","E","9","1018.8","28.1","42","","SSE","17","1014.6"
"","2016-03-17","15.8","32.6","0","","","N","46","14:01","24.3","47","","N","20","1011.9","31.8","29","","N","22","1006.3"
"","2016-03-18","12.5","17.0","13.2","","","W","81","05:06","13.5","88","","WNW","26","996.4","15.8","61","","WSW","31","1002.8"
"","2016-03-19","10.1","15.6","1.2","","","W","31","23:23","11.6","89","","W","13","1014.6","14.2","68","","SSW","11","1017.2"
"","2016-03-20","11.4","19.6","0","","","SE","30","13:34","12.9","71","","S","6","1020.5","17.1","50","","SE","17","1019.9"
"","2016-03-21","6.8","20.4","0","","","SE","39","13:30","12.4","97","","ESE","9","1021.8","19.7","51","","ESE","19","1020.3"
"","2016-03-22","7.1","25.0","0","","","SE","22","15:46","10.3","98","","N","4","1019.7","24.0","33","","SE","9","1016.5"
"","2016-03-23","10.3","28.6","0","","","NW","41","10:00","18.4","46","","NNW","11","1016.0","26.2","26","","SW","17","1015.6"
"","2016-03-24","15.4","18.2","0","","","SE","20","13:22","16.1","87","","ESE","9","1020.8","17.4","75","","ESE","11","1019.4"
"","2016-03-25","12.8","21.4","0","","","SSW","31","12:20","13.8","76","","SW","9","1021.2","19.2","42","","WSW","15","1019.7"
"","2016-03-26","11.3","18.6","0","","","SW","31","12:12","13.6","93","","W","9","1020.1","17.7","67","","WSW","13","1019.6"
"","2016-03-27","11.1","17.4","0","","","SSE","28","14:09","12.5","77","","SSW","6","1021.6","17.2","52","","SSE","13","1020.2"
"","2016-03-28","8.9","16.9","0","","","SE","30","09:12","13.3","54","","SSE","9","1020.1","15.8","51","","SSE","15","1018.7"
"","2016-03-29","12.4","16.3","0","","","SSE","30","12:17","13.1","71","","S","11","1020.8","15.3","58","","SSE","17","1020.0"
"","2016-03-30","10.0","18.7","0","","","SSW","28","09:38","12.8","68","","SW","7","1021.0","17.2","41","","SW","11","1019.9"
"","2016-03-31","7.2","21.6","0","","","WSW","26","15:14","14.4","79","","NW","7","1020.0","20.3","54","","WNW","13","1017.5"
