"Daily Weather Observations for Shepparton, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3074.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Shepparton, evaporation taken from Tatura."
"Temperature, humidity, wind, pressure and rainfall observations are from Shepparton Airport {station 081125}"
"Evaporation observations are from Tatura Inst Sustainable Ag {station 081049}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.3","34.4","0","","","N","37","11:18","20.4","62","","NE","13","1018.3","32.2","15","","WNW","15","1015.4"
"","2016-03-2","13.8","36.8","0","","","SW","35","15:41","22.4","34","","E","9","1017.4","35.4","10","","WSW","13","1015.5"
"","2016-03-3","20.5","37.3","0","","","NNE","46","19:38","22.5","59","","SSW","13","1018.5","35.5","17","","N","15","1015.8"
"","2016-03-4","18.8","37.5","0","","","WSW","50","17:37","25.2","51","","NE","11","1018.7","36.2","21","","N","13","1014.8"
"","2016-03-5","20.4","39.3","0","","","S","33","17:57","27.1","42","","ENE","13","1017.6","37.9","18","","NW","13","1015.4"
"","2016-03-6","20.1","39.3","0","","","NNE","35","09:53","23.6","59","","SSE","11","1018.4","37.9","19","","NNE","15","1015.4"
"","2016-03-7","19.8","39.4","0","","","S","30","17:18","27.3","37","","NE","13","1017.7","37.9","16","","ENE","11","1015.4"
"","2016-03-8","18.1","38.5","0","","","","","","26.5","54","","E","9","1018.8","37.0","20","","NNE","17","1016.0"
"","2016-03-9","24.0","39.0","","","","N","70","16:38","26.7","41","","NE","19","1016.2","36.9","18","","N","11","1013.5"
"","2016-03-10","21.2","32.6","0.8","","","SSW","50","14:53","22.3","85","","SSE","15","1018.1","31.9","35","","SSE","13","1015.0"
"","2016-03-11","20.9","32.6","1.4","","","NNW","24","12:32","22.7","79","","E","9","1016.8","30.4","48","","NW","9","1014.7"
"","2016-03-12","19.7","32.9","0","","","S","37","18:49","22.8","75","","SSE","11","1018.3","31.5","36","","S","17","1016.7"
"","2016-03-13","18.0","33.5","0","","","WNW","37","15:09","20.6","76","","S","17","1018.7","31.7","34","","WSW","13","1016.0"
"","2016-03-14","17.4","30.0","0","","","SSW","46","18:28","20.5","73","","S","22","1017.8","28.4","35","","S","24","1015.4"
"","2016-03-15","13.7","31.8","0","","","E","35","19:56","19.4","64","","ESE","11","1018.1","29.5","33","","NE","15","1015.4"
"","2016-03-16","17.6","31.5","0","","","","","","21.4","56","","ENE","13","1018.5","29.9","34","","N","11","1015.0"
"","2016-03-17","17.6","31.9","","","","NE","39","08:30","21.1","63","","NE","19","1014.5","31.0","34","","NNE","15","1008.3"
"","2016-03-18","17.2","21.2","24.6","","","WSW","78","11:08","17.2","82","","WSW","44","997.2","19.7","55","","WSW","37","1001.7"
"","2016-03-19","8.7","19.9","1.6","","","SSW","39","13:22","11.9","86","","WSW","11","1014.9","17.3","58","","SSE","20","1015.4"
"","2016-03-20","9.4","23.5","0","","","ENE","28","13:28","12.6","58","","S","15","1018.8","22.3","33","","NNE","9","1017.2"
"","2016-03-21","8.5","25.2","0","","","SW","30","15:46","13.3","74","","SSE","9","1020.3","23.6","30","","S","13","1017.3"
"","2016-03-22","9.9","26.0","0","","","WNW","22","13:15","14.6","80",""," ","Calm","1019.4","24.8","32","","WNW","13","1016.3"
"","2016-03-23","10.7","28.1","0","","","NW","24","13:18","15.9","64","","NE","6","1017.9","26.0","28","","NW","11","1016.7"
"","2016-03-24","15.8","26.3","0","","","SE","28","11:59","19.7","63","","SE","9","1019.5","23.1","44","","ENE","11","1017.5"
"","2016-03-25","14.9","26.2","0","","","S","39","00:33","16.9","78","","S","9","1018.8","25.3","40","","W","20","1016.9"
"","2016-03-26","11.7","23.8","0","","","SW","41","12:37","15.1","74","","SSW","19","1019.4","22.4","45","","WSW","22","1017.8"
"","2016-03-27","12.5","24.1","0","","","S","37","08:40","15.4","72","","S","22","1018.6","22.2","32","","SSW","22","1017.0"
"","2016-03-28","11.4","22.8","0","","","SSW","39","17:31","13.6","64","","S","17","1017.1","21.6","38","","SW","15","1015.2"
"","2016-03-29","13.6","24.7","0","","","SSW","39","17:56","14.5","66","","S","11","1017.9","23.2","33","","WNW","7","1015.6"
"","2016-03-30","11.4","22.4","0","","","S","44","15:29","13.1","81","","SSW","13","1018.2","21.0","47","","SSW","33","1016.8"
"","2016-03-31","8.6","24.4","0","","","SW","22","01:43","12.7","65","","S","13","1019.4","22.7","38","","SSW","9","1016.7"
