"Daily Weather Observations for Singleton, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2122.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Singleton STP {station 061397}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.3","30.3","0","","","","","","23.2","69","1","SE","7","","29.1","47","6","ESE","22",""
"","2016-03-2","14.0","32.6","0","","","","","","21.1","87","6","SSE","4","","31.5","40","3","NE","9",""
"","2016-03-3","16.0","33.6","0","","","","","","21.0","93","8","SE","4","","33.0","36","1","ENE","15",""
"","2016-03-4","18.6","30.1","0","","","","","","23.9","76","5","SE","2","","29.0","54","6","SE","20",""
"","2016-03-5","16.2","31.2","0","","","","","","20.8","88","8","SE","6","","29.4","48","2","S","9",""
"","2016-03-6","12.8","32.5","0","","","","","","21.9","80","1","SE","6","","31.7","43","4","ESE","17",""
"","2016-03-7","17.5","34.0","0","","","","","","24.9","72","1"," ","Calm","","33.0","37","1","E","2",""
"","2016-03-8","17.5","32.2","0","","","","","","22.6","81","7","SSE","2","","32.1","44","5","SE","20",""
"","2016-03-9","18.0","35.1","0","","","","","","22.4","90","7"," ","Calm","","34.3","45","1","NE","6",""
"","2016-03-10","17.6","35.3","0","","","","","","23.2","91","4","SE","2","","34.0","34","7","SE","17",""
"","2016-03-11","18.5","34.1","0","","","","","","23.4","85","7","SE","4","","32.3","39","3","NNE","11",""
"","2016-03-12","17.4","34.0","0","","","","","","22.5","90","5"," ","Calm","","32.5","37","1","E","4",""
"","2016-03-13","17.2","33.0","0","","","","","","23.0","81","6","E","4","","31.7","42","5","ENE","7",""
"","2016-03-14","19.4","33.5","0","","","","","","23.4","83","7","SSE","2","","31.7","46","7","WNW","11",""
"","2016-03-15","20.1","25.9","2.0","","","","","","23.6","81","7","SSE","11","","25.5","59","8","SSE","15",""
"","2016-03-16","18.5","25.6","0.1","","","","","","21.0","90","7"," ","Calm","","24.5","65","8","SE","15",""
"","2016-03-17","17.1","29.5","2.2","","","","","","19.9","92","7","SE","2","","28.3","51","7","ESE","13",""
"","2016-03-18","15.0","30.7","0","","","","","","20.0","95","7","SE","2","","27.2","62","6","NW","30",""
"","2016-03-19","12.0","26.2","0","","","","","","17.6","65","1","NW","13","","25.5","29","3","E","9",""
"","2016-03-20","11.6","23.1","0","","","","","","16.9","80","7","NE","4","","22.8","53","8","ESE","9",""
"","2016-03-21","15.1","23.1","1.4","","","","","","17.4","86","7","SW","6","","22.6","54","7","SE","15",""
"","2016-03-22","15.3","27.1","0","","","","","","18.3","67","6","SSW","9","","25.4","40","5","SE","11",""
"","2016-03-23","11.3","28.9","0","","","","","","18.4","75","1","WNW","11","","28.1","33","4","SSW","2",""
"","2016-03-24","11.1","31.2","0","","","","","","18.6","72","1","ESE","9","","29.6","29","2","ESE","11",""
"","2016-03-25","11.6","27.5","0","","","","","","18.1","81","7","SSW","4","","23.8","64","8","WSW","7",""
"","2016-03-26","11.6","30.4","0.6","","","","","","17.0","90","7"," ","Calm","","29.2","42","5","NE","6",""
"","2016-03-27","13.3","30.2","0","","","","","","18.0","95","3","SE","4","","30.0","50","4","SE","7",""
"","2016-03-28","14.7","31.0","0","","","","","","20.1","93","5","SE","2","","29.9","52","7","SSW","2",""
"","2016-03-29","19.6","30.1","0.8","","","","","","22.6","87","8","NW","2","","28.4","65","8","ENE","7",""
"","2016-03-30","15.7","29.6","0.8","","","","","","20.5","76","6","NW","17","","27.7","61","8","WNW","17",""
"","2016-03-31","12.6","28.7","0","","","","","","19.0","72","0","WNW","7","","27.5","","2","W","6",""
