"Daily Weather Observations for South West Rocks, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2123.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Smoky Cape Lighthouse."
"Observations were drawn from South West Rocks (Smoky Cape Lighthouse) {station 059030}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.0","30.6","0","","","","","","21.8","82","7","S","4","","","","","","",""
"","2016-03-2","20.0","26.8","4.8","","","","","","21.0","96","7","SW","7","","","","","","",""
"","2016-03-3","20.6","27.7","6.5","","","","","","23.1","96","7","NE","11","","","","","","",""
"","2016-03-4","20.3","29.0","5.4","","","","","","20.6","95","8","N","11","","","","","","",""
"","2016-03-5","20.6","30.0","0","","","","","","23.7","76","6"," ","Calm","","","","","","",""
"","2016-03-6","20.0","29.8","1.2","","","","","","21.3","81","4","SW","9","","","","","","",""
"","2016-03-7","21.3","30.3","0","","","","","","24.7","80","2","NNE","7","","","","","","",""
"","2016-03-8","20.8","30.5","0","","","","","","22.3","83","4","SW","6","","","","","","",""
"","2016-03-9","21.5","28.0","7.2","","","","","","22.2","98","7","NNW","15","","","","","","",""
"","2016-03-10","22.1","28.0","2.0","","","","","","23.8","75","6","N","15","","","","","","",""
"","2016-03-11","22.8","30.5","0","","","","","","24.5","84","6","NNE","4","","","","","","",""
"","2016-03-12","22.5","30.9","0","","","","","","24.1","79","3","N","9","","","","","","",""
"","2016-03-13","21.6","30.4","0","","","","","","22.1","90","8","NE","4","","","","","","",""
"","2016-03-14","21.7","29.8","1.0","","","","","","25.6","79","2","N","11","","","","","","",""
"","2016-03-15","21.5","30.6","0","","","","","","23.5","83","3","S","4","","","","","","",""
"","2016-03-16","19.6","26.7","0","","","","","","21.0","89","8","SW","7","","","","","","",""
"","2016-03-17","20.0","29.8","0","","","","","","21.1","81","3","SW","15","","","","","","",""
"","2016-03-18","21.1","27.9","1.6","","","","","","22.0","96","1","N","9","","","","","","",""
"","2016-03-19","20.4","24.0","1.4","","","","","","20.7","61","7","S","19","","","","","","",""
"","2016-03-20","17.2","27.0","2.8","","","","","","19.1","74","7","SW","11","","","","","","",""
"","2016-03-21","17.0","25.0","0.4","","","","","","18.5","89","5","SW","9","","","","","","",""
"","2016-03-22","16.8","26.0","4.8","","","","","","17.8","75","2","SW","15","","","","","","",""
"","2016-03-23","17.4","27.1","0","","","","","","19.7","66","1","SW","26","","","","","","",""
"","2016-03-24","19.0","24.2","0","","","","","","21.3","70","1","SW","4","","","","","","",""
"","2016-03-25","19.8","28.4","0","","","","","","22.2","79","1","NNE","4","","","","","","",""
"","2016-03-26","20.4","30.0","0","","","","","","21.4","88","5","SW","4","","","","","","",""
"","2016-03-27","20.5","27.0","0","","","","","","21.2","87","6","W","4","","","","","","",""
"","2016-03-28","19.5","27.3","17.0","","","","","","22.0","91","2","N","4","","","","","","",""
"","2016-03-29","22.0","28.0","0","","","","","","23.0","81","1","N","19","","","","","","",""
"","2016-03-30","21.6","","8.0","","","","","","23.1","55","7","W","15","","","","","","",""
"","2016-03-31","19.6","27.6","1.2","","","","","","21.7","49","0","SW","11","","","","","","",""
