"Daily Weather Observations for Stawell, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3075.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Stawell, cloud observations taken from Ararat."
"Temperature, humidity, wind, pressure and rainfall observations are from Stawell Aerodrome {station 079105}"
"Cloud observations are from Ararat Prison {station 089085}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.4","31.7","0","","","N","35","11:32","17.7","68","2"," ","Calm","1017.3","30.2","18","6","WNW","9","1015.4"
"","2016-03-2","16.2","36.9","0","","","S","48","17:29","23.0","31","2","E","9","1016.8","36.2","14","3","NW","17","1014.6"
"","2016-03-3","15.2","32.7","0","","","SSW","33","19:54","16.1","80","6","S","19","1019.4","30.0","29","1","SSW","11","1017.2"
"","2016-03-4","15.1","36.9","0","","","N","35","15:29","21.1","56","2"," ","Calm","1017.0","35.7","20","4","E","7","1013.3"
"","2016-03-5","15.8","32.5","0","","","S","35","16:41","19.9","76","7"," ","Calm","1017.9","30.7","32","6","S","15","1017.2"
"","2016-03-6","14.3","37.8","0","","","S","48","17:09","19.7","70","5"," ","Calm","1018.3","36.4","21","5","SSW","15","1015.1"
"","2016-03-7","19.7","29.1","4.6","","","S","50","12:07","21.1","67","5","SSW","13","1017.5","27.9","49","4","SSE","33","1017.4"
"","2016-03-8","17.2","38.4","0","","","NW","59","21:46","20.6","77","4","SW","7","1017.8","37.3","13","5","NNW","24","1014.3"
"","2016-03-9","20.6","27.9","0","","","S","37","17:06","24.3","68","7","ESE","7","1015.1","27.0","51","7","S","19","1015.8"
"","2016-03-10","17.8","21.4","2.4","","","S","24","23:25","18.7","100","8","SSE","15","1019.1","20.7","93","8","ESE","11","1017.5"
"","2016-03-11","16.7","30.0","7.0","","","SSE","41","10:57","20.2","92","5"," ","Calm","1017.2","28.3","46","5","N","7","1015.3"
"","2016-03-12","16.3","26.4","0.2","","","S","35","18:13","17.8","99","8","WSW","6","1019.6","25.0","63","8","SSW","15","1019.4"
"","2016-03-13","15.6","30.7","0","","","S","35","21:15","16.7","89","8","SSW","4","1019.9","28.7","37","4","SSW","11","1017.4"
"","2016-03-14","15.8","23.4","0","","","SSE","52","17:07","16.7","83","6","SSE","20","1020.2","22.0","49","4","S","26","1019.0"
"","2016-03-15","13.9","29.5","0","","","SSE","39","17:57","15.8","77","3","S","15","1019.2","27.3","34","3","ESE","13","1016.2"
"","2016-03-16","13.0","31.5","0","","","SW","48","05:40","19.2","71","4","SSE","7","1017.3","29.8","28","1","NNW","13","1013.8"
"","2016-03-17","18.5","32.0","0","","","N","43","16:25","23.0","48","4","ENE","9","1012.0","30.1","30","5","NNE","26","1005.7"
"","2016-03-18","12.6","18.0","10.0","","","SSW","57","15:02","13.3","82","8","W","19","999.7","16.4","56","3","SSW","19","1005.3"
"","2016-03-19","9.4","16.8","2.2","","","SSE","35","10:43","11.4","88","8","WNW","7","1015.8","15.6","53","8","S","20","1017.2"
"","2016-03-20","11.3","20.2","0","","","SSE","41","15:22","13.0","66","8","S","15","1020.6","19.4","40","3","S","17","1018.9"
"","2016-03-21","9.1","23.6","0","","","SSE","31","16:31","11.1","94","3","SSW","11","1021.1","21.9","32","0","SE","20","1018.3"
"","2016-03-22","8.2","26.4","0","","","NW","26","13:25","13.2","88","8","ESE","4","1018.8","24.6","30","1","NNW","6","1015.8"
"","2016-03-23","12.1","27.2","0","","","NW","30","12:38","16.8","55","7","E","7","1016.9","26.5","19","7","NNW","13","1015.4"
"","2016-03-24","15.9","25.0","0","","","SSW","35","18:56","16.2","85","8","S","13","1019.6","23.8","43","6","S","9","1017.9"
"","2016-03-25","12.0","21.6","0","","","SSE","39","09:36","12.9","70","6","S","22","1021.2","20.9","40","2","S","15","1019.5"
"","2016-03-26","9.2","19.1","0","","","SSE","30","19:07","13.7","81","5"," ","Calm","1020.6","18.4","56","6","S","15","1019.9"
"","2016-03-27","12.9","19.4","0","","","SSE","44","16:05","13.5","59","3","S","19","1021.9","17.6","39","4","SSE","20","1020.0"
"","2016-03-28","10.8","17.2","0","","","S","37","18:56","12.3","60","6","SSE","17","1019.9","16.7","40","7","S","20","1018.2"
"","2016-03-29","10.6","19.6","0","","","SSE","50","15:19","12.9","63","6","SSE","26","1020.4","18.0","38","5","SSE","28","1018.9"
"","2016-03-30","11.4","18.9","0","","","SSE","43","14:38","12.8","57","7","SSW","11","1021.5","16.4","41","6","S","15","1020.2"
"","2016-03-31","6.6","22.3","0","","","WNW","24","12:03","11.5","79","6","NE","6","1020.4","20.6","50","6","NW","13","1017.7"
