"Daily Weather Observations for Strathbogie, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3076.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Strathbogie {station 082042}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","8.0","31.0","0","5.4","","","","","17.4","66","0","NNE","9","","","","","","",""
"","2016-03-2","8.9","34.2","0","7.4","","","","","19.3","49","1"," ","Calm","","","","","","",""
"","2016-03-3","16.1","35.1","0","6.6","","","","","20.8","67","7","SSW","2","","","","","","",""
"","2016-03-4","18.3","33.8","0","6.2","","","","","24.0","51","2","NNE","9","","","","","","",""
"","2016-03-5","17.6","36.0","0.2","8.4","","","","","25.5","58","2"," ","Calm","","","","","","",""
"","2016-03-6","19.6","36.1","0","6.6","","","","","26.5","53","1","E","2","","","","","","",""
"","2016-03-7","18.7","36.3","0","8.0","","","","","26.0","41","3","NNE","6","","","","","","",""
"","2016-03-8","16.4","34.9","0","7.6","","","","","17.4","95","0"," ","Calm","","","","","","",""
"","2016-03-9","16.9","","0","10.4","","","","","23.0","55","7","NNE","9","","","","","","",""
"","2016-03-10","19.2","29.9","2.0","6.0","","","","","20.4","89","8","SSW","2","","","","","","",""
"","2016-03-11","18.1","28.5","12.6","4.6","","","","","21.5","83","8","NNE","2","","","","","","",""
"","2016-03-12","19.5","30.6","0.2","3.6","","","","","21.0","93","5"," ","Calm","","","","","","",""
"","2016-03-13","15.4","30.5","0","4.4","","","","","18.3","91","2","S","2","","","","","","",""
"","2016-03-14","14.0","27.5","0","4.8","","","","","17.5","87","0","S","4","","","","","","",""
"","2016-03-15","12.9","27.4","0","4.0","","","","","18.5","72","3","SSE","2","","","","","","",""
"","2016-03-16","10.5","28.7","0","4.4","","","","","15.4","84","0","SSW","4","","","","","","",""
"","2016-03-17","12.6","28.5","0","5.6","","","","","20.4","62","6","N","19","","","","","","",""
"","2016-03-18","17.2","","44.0","","","","","","18.6","90","8","W","37","","","","","","",""
"","2016-03-19","6.9","15.7","8.2","","","","","","9.5","93","7","S","2","","","","","","",""
"","2016-03-20","6.2","20.4","0.2","","","","","","10.6","69","3","S","4","","","","","","",""
"","2016-03-21","8.5","22.4","0","","","","","","12.9","69","0","S","4","","","","","","",""
"","2016-03-22","7.3","","0","","","","","","13.0","83","0","SSW","4","","","","","","",""
"","2016-03-23","5.8","24.2","0","","","","","","13.0","80","6"," ","Calm","","","","","","",""
"","2016-03-24","12.0","21.5","0","","","","","","15.2","86","8"," ","Calm","","","","","","",""
"","2016-03-25","11.1","23.0","0","0.4","","","","","14.0","98","4"," ","Calm","","","","","","",""
"","2016-03-26","7.4","20.8","0","3.2","","","","","12.3","85","1","S","4","","","","","","",""
"","2016-03-27","9.9","20.8","0","4.0","","","","","12.5","87","0","SSE","4","","","","","","",""
"","2016-03-28","7.3","20.2","0","4.0","","","","","11.6","83","1","SSE","2","","","","","","",""
"","2016-03-29","10.2","21.9","0","0.8","","","","","11.5","85","8"," ","Calm","","","","","","",""
"","2016-03-30","8.0","18.7","0","2.8","","","","","8.8","100","5"," ","Calm","","","","","","",""
"","2016-03-31","4.8","21.9","0","2.8","","","","","9.5","89","5"," ","Calm","","","","","","",""
