"Daily Weather Observations for Swan Hill, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3077.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Swan Hill Aerodrome {station 077094}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.7","35.4","0","","","NW","43","11:52","20.1","51","","S","2","1017.4","34.4","9","","W","19","1015.0"
"","2016-03-2","17.1","39.8","0","","","NNW","39","18:45","24.9","24","","N","7","1016.6","37.8","9","3","WNW","13","1014.4"
"","2016-03-3","22.2","37.5","0","","","SSE","35","23:48","24.3","46","8","S","9","1017.5","33.9","23","8","WSW","7","1015.6"
"","2016-03-4","22.3","40.0","0","","","SW","80","15:05","27.1","37","","N","19","1016.1","39.3","15","2","NNW","22","1012.8"
"","2016-03-5","21.5","40.3","0.2","","","WNW","63","16:35","29.8","32",""," ","Calm","1016.1","39.3","15","","N","13","1014.3"
"","2016-03-6","23.8","41.2","0.2","","","NNE","31","13:49","27.2","50","","SE","13","1016.5","39.7","14","","NE","17","1013.5"
"","2016-03-7","23.7","41.6","0","","","SSE","31","22:29","29.2","28","","NE","13","1014.8","39.9","12","","NNW","17","1013.4"
"","2016-03-8","19.6","40.6","0","","","N","33","13:47","27.0","39","","ENE","13","1016.6","39.2","13","","NNE","19","1014.1"
"","2016-03-9","21.4","38.3","0","","","N","56","19:08","29.0","30","1","N","19","1013.6","35.8","25","8","N","11","1013.1"
"","2016-03-10","22.0","28.4","8.6","","","SE","43","13:27","22.9","80","8","S","13","1017.8","26.1","61","8","ESE","22","1015.0"
"","2016-03-11","20.3","34.5","0.4","","","WSW","28","16:15","22.6","73","","SSE","6","1016.3","32.3","35","","W","9","1013.9"
"","2016-03-12","21.4","34.3","0","","","S","30","16:59","23.6","66","","SE","15","1018.0","33.6","31","1","SW","15","1016.6"
"","2016-03-13","18.2","35.2","0","","","SE","28","07:57","20.7","69","","SE","19","1018.2","33.6","22","","S","9","1015.7"
"","2016-03-14","18.2","32.8","0","","","SE","43","22:44","20.5","64","","SSE","20","1017.9","31.7","28","","SSW","13","1015.2"
"","2016-03-15","14.5","31.7","0","","","SSE","37","23:19","16.4","63","","SSE","15","1017.9","29.8","22","","S","6","1015.2"
"","2016-03-16","16.4","33.8","0","","","NE","35","09:53","22.5","57","","ENE","20","1016.3","32.8","28","","NNE","11","1013.2"
"","2016-03-17","20.0","34.1","0","","","WNW","57","22:43","23.8","49","","NE","15","1012.1","32.9","27","2","NNE","26","1005.9"
"","2016-03-18","13.9","21.5","8.6","","","WSW","81","05:42","14.3","88","8","W","31","1002.6","20.3","43","4","WSW","41","1006.0"
"","2016-03-19","9.6","21.6","0","","","SSW","46","14:05","12.1","80","","WSW","19","1016.2","20.9","40","4","SW","20","1016.0"
"","2016-03-20","10.5","23.3","0","","","SSE","37","10:03","14.3","61","","S","19","1019.5","21.6","31","","SSE","13","1017.4"
"","2016-03-21","10.6","26.0","0","","","ESE","30","08:20","14.4","69","","SE","15","1019.8","24.6","28","","ENE","9","1017.1"
"","2016-03-22","10.9","28.2","0","","","E","20","08:20","15.6","69","","ESE","13","1018.2","26.6","24","","E","11","1015.5"
"","2016-03-23","13.7","31.2","0","","","NW","37","11:41","19.1","41","6","N","13","1017.1","29.8","15","8","W","22","1015.7"
"","2016-03-24","16.2","29.2","0","","","WNW","43","15:48","19.4","62","7","SW","11","1019.4","27.6","33","8","W","22","1017.3"
"","2016-03-25","15.7","26.5","0.4","","","WSW","39","11:46","17.0","73","","SW","17","1020.0","25.0","26","","WSW","20","1018.0"
"","2016-03-26","11.6","25.0","0","","","SW","37","13:29","14.6","63","","SSW","9","1021.3","23.6","34","","SW","20","1019.2"
"","2016-03-27","11.8","23.9","0","","","SSW","39","15:10","15.1","65","","S","19","1021.1","21.9","31","","SSW","19","1018.3"
"","2016-03-28","11.0","22.3","0","","","WSW","39","13:07","13.9","53","3","S","11","1019.2","21.1","28","8","SW","20","1017.1"
"","2016-03-29","8.9","23.2","0","","","SSE","35","22:02","13.0","62","3","SSW","11","1019.8","22.4","31","1","WSW","22","1017.1"
"","2016-03-30","9.3","22.6","0","","","SW","46","15:19","12.7","60","","SW","20","1020.9","21.4","27","","SSW","20","1018.6"
"","2016-03-31","7.9","24.3","0","","","S","35","10:32","13.3","52","","SW","7","1021.2","23.0","34","","SSW","15","1017.9"
