"Daily Weather Observations for Sydney, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2124.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.3","28.2","0","4.2","7.7","ENE","33","15:39","23.6","72","4","E","4","1022.0","27.6","47","1","ENE","26","1019.9"
"","2016-03-2","20.3","28.8","0","7.8","10.7","NNE","50","18:08","25.1","59","7","NNE","13","1021.1","28.1","52","7","ENE","30","1018.9"
"","2016-03-3","22.2","28.7","0","8.2","10.2","NE","46","15:01","25.2","71","3","NNE","4","1021.3","28.4","58","4","NE","26","1019.4"
"","2016-03-4","22.8","28.3","0","9.6","10.1","NE","39","13:15","24.9","70","7","N","20","1022.0","26.9","53","2","NE","24","1020.1"
"","2016-03-5","20.6","27.6","0","9.2","10.6","NE","41","14:44","24.6","64","1","NNE","11","1021.7","27.2","55","1","NE","24","1019.4"
"","2016-03-6","20.8","27.9","0","9.8","10.5","NE","46","12:55","24.9","64","2","N","4","1022.9","26.3","59","1","NE","20","1021.2"
"","2016-03-7","21.0","28.3","0","8.0","11.8","ENE","44","15:06","24.5","71","2","E","7","1021.6","26.8","57","1","NE","26","1018.8"
"","2016-03-8","22.4","28.1","0","8.8","10.8","ENE","33","19:04","26.2","61","1","NE","7","1023.4","27.0","57","3","ENE","20","1022.6"
"","2016-03-9","22.9","29.3","0","9.2","10.1","NNE","43","19:21","24.8","71","4","N","13","1021.6","29.1","55","4","NE","24","1017.9"
"","2016-03-10","22.0","30.6","0","8.0","6.5","SE","31","12:04","24.0","84","7","SSE","2","1019.7","28.5","59","7","SSE","24","1018.9"
"","2016-03-11","22.8","27.8","0","5.8","2.3","ENE","37","13:17","23.8","79","8","ENE","6","1020.1","26.8","66","7","ENE","19","1017.9"
"","2016-03-12","21.8","28.7","0","4.6","10.7","NE","43","16:52","24.6","73","1","WNW","9","1019.6","27.6","60","2","E","24","1018.0"
"","2016-03-13","22.6","27.7","0","9.0","7.7","ENE","30","09:09","25.8","63","4","NE","11","1020.5","26.2","63","7","ENE","20","1017.9"
"","2016-03-14","21.8","30.7","0","7.2","4.9","SSW","41","20:31","22.9","84","7","WNW","9","1016.3","29.9","54","6","SE","20","1014.3"
"","2016-03-15","19.9","25.6","16.8","7.0","4.5","SSW","44","14:14","20.2","89","7","SW","11","1019.5","24.3","66","6","S","26","1018.6"
"","2016-03-16","19.7","26.2","23.0","6.0","7.6","ESE","39","23:25","20.7","88","8","S","9","1019.7","25.4","58","4","SSW","20","1018.0"
"","2016-03-17","19.0","26.1","13.6","5.2","7.5","","","","19.6","92","7","NW","4","1017.0","25.5","59","4","E","15","1012.9"
"","2016-03-18","19.6","28.2","3.4","5.6","4.4","SSW","52","16:00","23.4","71","7","NNE","11","1003.6","26.4","67","7","NNE","13","997.6"
"","2016-03-19","16.2","24.4","4.8","5.4","11.0","W","44","01:57","18.4","43","1","WSW","20","1010.9","23.8","36","1","SE","22","1011.2"
"","2016-03-20","17.4","22.0","0.2","7.8","3.4","S","52","11:33","18.6","63","7","SSW","15","1017.5","18.1","81","8","S","20","1016.8"
"","2016-03-21","15.4","21.2","61.2","5.8","2.7","S","43","14:14","15.6","91","8","WSW","19","1018.8","20.7","65","7","SSW","24","1016.5"
"","2016-03-22","14.3","23.8","25.4","2.8","6.9","S","50","14:25","17.1","74","3","W","20","1017.5","21.5","63","7","S","19","1015.5"
"","2016-03-23","14.9","25.3","1.6","4.2","9.5","W","33","03:48","18.3","66","1","W","20","1018.2","23.9","51","3","ESE","15","1016.9"
"","2016-03-24","16.5","27.4","0","5.2","9.3","ENE","31","15:03","19.4","73","6","W","11","1020.7","25.8","51","3","E","24","1019.0"
"","2016-03-25","19.3","25.2","0","6.8","0.3","S","24","21:39","20.4","78","7","WNW","11","1018.9","22.9","62","7","WNW","9","1016.3"
"","2016-03-26","17.1","26.0","0","3.0","10.2","ENE","28","16:06","20.0","71","2","WNW","17","1018.6","24.5","59","2","ENE","17","1016.0"
"","2016-03-27","19.3","24.2","0.2","4.0","5.7","ESE","41","10:19","22.2","83","5","S","9","1018.2","23.0","63","6","E","20","1017.0"
"","2016-03-28","19.4","26.0","34.8","5.8","4.1","SSW","26","06:45","20.6","88","6","S","15","1018.7","26.0","64","6","ESE","20","1015.7"
"","2016-03-29","20.6","23.3","0","4.0","0.0","SSW","37","11:02","21.2","84","7","SSW","13","1017.5","21.1","84","8","SSW","19","1016.0"
"","2016-03-30","19.0","28.7","7.0","1.4","7.5","WNW","30","10:40","20.5","81","1","W","17","1015.0","26.8","31","6","NW","7","1012.0"
"","2016-03-31","16.5","25.6","1.2","6.8","10.6","SSE","39","12:54","19.9","51","1","W","20","1017.1","24.7","42","2","SSE","20","1016.2"
