"Daily Weather Observations for Sydney Airport, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2125.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.3","30.2","0","4.2","7.7","NE","39","17:35","22.9","83","4","SSW","9","1022.0","29.9","38","1","NNE","28","1019.6"
"","2016-03-2","20.9","30.6","0","7.8","10.7","NNE","54","17:51","25.1","60","7","N","17","1021.1","28.7","49","7","NE","31","1018.6"
"","2016-03-3","22.8","31.0","0","8.2","10.2","NE","57","16:55","25.3","70","3","NNE","19","1021.2","30.1","51","4","NE","37","1019.2"
"","2016-03-4","23.4","30.4","0","9.6","10.1","NE","48","16:44","25.1","72","7","NNW","15","1022.0","28.3","49","2","NE","35","1020.0"
"","2016-03-5","20.0","30.0","0","9.2","10.6","NE","48","17:01","25.2","62","1","NNE","22","1021.6","28.9","43","1","NE","37","1019.1"
"","2016-03-6","19.6","29.9","0","9.8","10.5","NE","54","16:37","25.2","63","2","NNE","17","1022.9","28.2","50","1","NE","35","1021.0"
"","2016-03-7","20.4","30.4","0","8.0","11.8","NE","50","16:56","23.3","81","2"," ","Calm","1021.5","29.0","53","1","NE","28","1018.6"
"","2016-03-8","23.0","29.8","0","8.8","10.8","ENE","41","14:24","26.3","61","1","NNE","24","1023.3","27.8","52","3","ENE","30","1022.4"
"","2016-03-9","22.0","31.7","0","9.2","10.1","NE","56","17:01","26.7","65","4","N","17","1021.5","29.6","53","4","NE","30","1017.6"
"","2016-03-10","21.7","25.3","0","8.0","6.5","S","46","10:56","22.9","91","7","S","9","1019.7","24.2","84","7","S","28","1019.0"
"","2016-03-11","22.6","29.5","0","5.8","2.3","NNE","41","12:29","24.2","79","8","NE","9","1020.2","28.7","59","7","NE","28","1017.9"
"","2016-03-12","21.8","30.9","0","4.6","10.7","NE","52","19:06","26.2","72","1","NW","9","1019.5","29.3","53","2","ENE","30","1017.6"
"","2016-03-13","23.2","29.6","0","9.0","7.7","NE","39","14:20","26.4","61","4","NNE","19","1020.5","28.5","50","7","ENE","31","1017.7"
"","2016-03-14","21.6","29.9","0","7.2","4.9","SSW","48","21:13","23.7","82","7","WNW","9","1016.2","24.2","86","6","S","26","1014.6"
"","2016-03-15","19.5","23.9","29.8","7.0","4.5","SSW","54","05:12","20.2","92","7","SW","26","1019.4","23.4","71","6","S","37","1018.5"
"","2016-03-16","19.5","24.0","14.2","6.0","7.6","SSE","50","13:29","21.3","80","8","SE","22","1019.7","23.7","72","4","S","31","1018.1"
"","2016-03-17","19.5","27.0","9.8","5.2","7.5","ENE","33","15:04","22.8","81","7","NNE","9","1017.0","25.0","60","4","ENE","24","1012.7"
"","2016-03-18","20.1","29.1","0","5.6","4.4","N","54","14:08","24.1","67","7","N","17","1003.4","27.4","63","7","N","35","996.8"
"","2016-03-19","15.2","21.6","1.0","5.4","11.0","W","48","00:57","18.6","40","1","W","19","1010.9","20.9","47","1","S","28","1011.4"
"","2016-03-20","17.5","21.0","0","7.8","3.4","SSW","52","11:30","18.2","65","7","SSW","30","1017.5","17.8","93","8","SSE","26","1016.8"
"","2016-03-21","15.4","20.3","42.4","5.8","2.7","S","52","13:58","15.4","93","8","WSW","11","1018.9","19.7","80","7","S","37","1016.5"
"","2016-03-22","14.4","21.3","20.8","2.8","6.9","SSW","57","17:21","17.5","78","3","SSW","31","1017.5","21.0","66","7","SSW","39","1015.6"
"","2016-03-23","14.7","25.0","2.0","4.2","9.5","WSW","30","09:19","18.6","69","1","WNW","11","1018.2","23.5","49","3","SE","17","1016.8"
"","2016-03-24","16.7","29.4","0","5.2","9.3","ENE","35","14:44","20.3","65","6","NW","11","1020.7","27.9","28","3","ENE","24","1018.7"
"","2016-03-25","19.9","25.4","0","6.8","0.3","S","44","21:11","21.5","69","7","NW","13","1018.7","24.1","57","7","NW","13","1016.1"
"","2016-03-26","17.5","26.3","0","3.0","10.2","E","31","15:27","20.6","74","2","WNW","9","1018.6","25.4","56","2","E","15","1015.9"
"","2016-03-27","19.7","25.5","0","4.0","5.7","SE","37","09:28","21.7","86","5","S","20","1018.3","24.2","58","6","E","24","1017.0"
"","2016-03-28","19.3","24.4","29.2","5.8","4.1","E","43","23:47","20.3","89","6","S","28","1018.9","23.9","73","6","SSE","22","1015.6"
"","2016-03-29","20.3","22.0","0","4.0","0.0","S","50","10:23","21.0","88","7","SSW","30","1017.4","20.2","94","8","SSW","26","1016.0"
"","2016-03-30","18.9","27.8","6.6","1.4","7.5","WSW","41","11:59","21.0","76","1","W","13","1015.0","25.9","37","6","SW","22","1011.9"
"","2016-03-31","16.9","23.0","0","6.8","10.6","S","56","13:57","20.0","50","1","W","22","1017.0","21.8","60","2","S","31","1016.3"
