"Daily Weather Observations for Sydney Harbour, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2163.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Harbour (Wedding Cake West) {station 066196}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.8","25.0","","","","NNE","39","21:49","23.1","",""," ","Calm","","24.4","","","NE","24",""
"","2016-03-2","21.3","24.9","","","","NNE","50","19:27","22.9","","","NNE","24","","24.5","","","NNE","30",""
"","2016-03-3","22.4","24.7","","","","NNE","50","14:32","23.2","","","NNE","20","","24.4","","","NNE","35",""
"","2016-03-4","22.6","24.4","","","","NNE","41","13:30","23.9","","","NNE","31","","23.9","","","NNE","31",""
"","2016-03-5","20.8","24.5","","","","NNE","43","15:04","22.4","","","NNE","13","","23.8","","","NNE","30",""
"","2016-03-6","20.5","24.7","","","","NE","43","12:30","22.4","","","NNE","15","","24.2","","","NNE","30",""
"","2016-03-7","21.4","24.0","","","","NNE","41","15:16","22.2","","","NNE","7","","23.7","","","NNE","28",""
"","2016-03-8","22.0","24.6","","","","NNE","35","23:41","23.3","","","NNE","15","","24.3","","","ENE","17",""
"","2016-03-9","21.8","24.3","","","","NNE","48","16:36","23.4","","","NNW","11","","23.6","","","NNE","35",""
"","2016-03-10","20.8","25.8","","","","S","35","12:19","21.7","",""," ","Calm","","25.0","","","S","26",""
"","2016-03-11","21.5","24.6","","","","NNE","41","13:19","21.8","","","NNE","11","","24.2","","","NNE","28",""
"","2016-03-12","21.2","24.8","","","","NNE","39","21:18","23.9","",""," ","Calm","","23.6","","","ENE","24",""
"","2016-03-13","21.9","24.9","","","","NNE","28","09:44","23.2","","","NNE","17","","23.9","","","ENE","17",""
"","2016-03-14","21.4","26.8","","","","SSW","43","20:31","22.1","",""," ","Calm","","25.7","","","E","13",""
"","2016-03-15","20.3","24.2","","","","SSW","52","17:33","20.8","","","WSW","20","","23.0","","","SSW","39",""
"","2016-03-16","19.3","23.8","","","","SSE","43","08:02","22.4","","","SE","24","","23.2","","","S","28",""
"","2016-03-17","19.5","24.3","","","","","","","20.2","","","W","9","","23.3","","","ENE","15",""
"","2016-03-18","19.3","27.1","","","","WSW","63","20:07","21.6","","","N","20","","23.4","","","NE","26",""
"","2016-03-19","17.2","21.2","","","","W","56","00:37","18.0","","","W","24","","20.4","","","SSE","28",""
"","2016-03-20","17.0","20.4","","","","SSW","54","21:21","18.2","","","SW","28","","17.6","","","SSW","35",""
"","2016-03-21","15.8","20.1","","","","SSW","52","14:18","16.0","","","WSW","20","","19.9","","","SSW","31",""
"","2016-03-22","15.7","20.7","","","","SW","56","09:53","17.6","","","WSW","30","","20.0","","","SSW","35",""
"","2016-03-23","16.4","23.8","","","","W","35","02:25","17.4","","","W","24","","22.4","","","E","13",""
"","2016-03-24","17.3","24.3","","","","NE","33","14:35","19.4","","","SW","11","","23.4","","","ENE","24",""
"","2016-03-25","19.3","23.9","","","","S","28","22:44","21.4","","","N","6","","22.9","","","WSW","11",""
"","2016-03-26","18.4","24.4","","","","NNE","31","20:49","19.9","","","W","11","","23.0","","","NE","17",""
"","2016-03-27","19.8","23.7","","","","ESE","41","10:22","22.2","","","SW","9","","22.8","","","ENE","26",""
"","2016-03-28","20.2","25.2","","","","SSE","31","08:44","21.3","","","SW","13","","23.7","","","SE","17",""
"","2016-03-29","21.3","22.3","","","","S","44","11:03","21.5","","","SW","24","","21.1","","","SW","24",""
"","2016-03-30","19.7","26.0","","","","W","31","11:55","20.0","","","WSW","19","","25.6","","","SW","11",""
"","2016-03-31","17.9","22.9","","","","SSW","43","10:43","19.2","","","W","22","","22.1","","","SSE","30",""
