"Daily Weather Observations for Sydney Olympic Park, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2061.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Sydney Olympic Park, about 10 km west of the CBD."
"Observations were drawn from Sydney Olympic Park AWS (Archery Centre) {station 066212}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","19.4","30.3","0","","","E","30","15:32","23.8","77","","WSW","2","","29.4","48","","ENE","11",""
"","2016-03-2","18.7","31.4","0.4","","","NNE","33","17:11","23.4","74","","NNE","4","","29.6","53","","E","17",""
"","2016-03-3","21.0","32.6","0","","","NE","43","17:27","23.9","82","","WNW","6","","30.9","51","","ENE","17",""
"","2016-03-4","20.2","30.6","0","","","NE","35","17:29","23.9","80","","NW","7","","28.6","51","","ENE","17",""
"","2016-03-5","18.2","31.3","0","","","E","33","14:43","23.0","79","","N","4","","29.7","50","","ENE","13",""
"","2016-03-6","17.8","30.3","0","","","E","35","16:15","21.9","82","","W","4","","29.1","59","","ENE","17",""
"","2016-03-7","19.4","31.4","0","","","ENE","33","17:35","23.6","84",""," ","Calm","","30.1","55","","ESE","19",""
"","2016-03-8","20.3","30.0","0","","","E","35","14:35","25.0","74","","NNE","6","","29.4","44","","ENE","15",""
"","2016-03-9","20.8","33.7","0","","","E","30","14:03","24.0","83","","NNE","2","","31.7","51","","E","17",""
"","2016-03-10","21.5","29.4","0","","","ESE","35","15:34","24.2","88",""," ","Calm","","28.1","68","","SE","20",""
"","2016-03-11","23.4","31.8","0","","","E","28","14:20","24.4","81","","NE","6","","28.3","62","","E","15",""
"","2016-03-12","20.1","31.9","0","","","ENE","31","18:35","24.2","88","","NW","6","","30.9","52","","ESE","20",""
"","2016-03-13","20.5","30.0","0","","","E","31","13:27","24.7","74","","SE","2","","28.7","53","","E","15",""
"","2016-03-14","20.9","32.6","0","","","SSE","37","14:15","23.1","92","","NW","6","","28.9","56","","SE","22",""
"","2016-03-15","19.8","25.6","11.6","","","S","35","15:26","20.2","98","","SW","7","","24.6","64","","SSE","19",""
"","2016-03-16","19.0","26.4","5.8","","","SSE","31","10:55","19.6","96","","SW","7","","25.3","60","","SE","15",""
"","2016-03-17","18.4","27.5","10.2","","","E","24","14:59","20.6","99","","WNW","2","","26.3","57","","E","13",""
"","2016-03-18","18.2","27.9","0","","","NNW","41","13:52","22.5","82","","N","7","","26.6","68","","NNW","24",""
"","2016-03-19","13.8","23.5","5.6","","","SE","35","17:08","18.6","56","","WNW","9","","21.9","45","","SE","20",""
"","2016-03-20","17.0","23.1","0","","","SE","43","12:53","17.9","64","","SW","7","","18.3","80","","SE","22",""
"","2016-03-21","15.3","21.6","35.6","","","SSE","35","14:33","15.6","98","","WSW","6","","21.2","72","","SSW","9",""
"","2016-03-22","14.0","24.0","5.2","","","S","41","15:20","18.0","69","","WSW","13","","22.2","56","","SSE","20",""
"","2016-03-23","13.3","26.8","0","","","E","28","14:46","17.8","75","","W","9","","25.7","45","","ESE","7",""
"","2016-03-24","14.8","29.3","0","","","NNE","28","15:46","19.4","82","","WNW","7","","27.5","40","","ESE","19",""
"","2016-03-25","16.7","27.4","0","","","NW","17","13:52","18.8","87","","NW","6","","23.9","63","","NW","9",""
"","2016-03-26","15.4","28.0","0","","","E","28","16:23","19.8","84","","WNW","7","","25.8","60","","E","19",""
"","2016-03-27","16.6","24.7","0","","","SE","33","10:50","20.4","98",""," ","Calm","","23.9","66","","E","20",""
"","2016-03-28","18.6","26.3","0.2","","","SE","26","10:43","20.7","94","","SE","7","","25.6","70","","E","17",""
"","2016-03-29","19.6","23.3","0","","","S","26","11:52","21.1","85","","S","9","","21.4","90","","S","9",""
"","2016-03-30","18.1","27.8","3.4","","","WNW","30","11:41","20.3","91","","W","7","","26.4","38","","WSW","11",""
"","2016-03-31","13.2","25.0","0","","","ESE","28","14:14","19.1","63","","WNW","9","","23.5","48","","SE","17",""
