"Daily Weather Observations for Taree, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2129.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Taree Airport, about 6 km from the centre of Taree."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Taree Airport AWS {station 060141}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.6","26.9","0","","","E","28","15:54","21.6","82","8","NW","7","1021.7","23.9","80","6","ESE","13","1020.1"
"","2016-03-2","15.9","28.8","0.4","","","ENE","37","15:02","21.6","81","","WSW","9","1021.6","27.7","69","6","E","22","1018.9"
"","2016-03-3","18.6","29.1","0.6","","","SSE","106","13:30","23.0","89","","WSW","7","1021.9","28.4","63","1","ENE","44","1019.9"
"","2016-03-4","20.6","27.1","0","","","","","","22.1","91","8","E","81","1022.1","26.5","68","8","ENE","22","1019.9"
"","2016-03-5","16.5","28.4","0","","","NW","104","04:48","21.9","87",""," ","Calm","1021.7","27.2","52",""," ","Calm","1019.6"
"","2016-03-6","17.1","28.5","0","","","","","","22.1","75","1"," ","Calm","1023.0","26.4","72","8"," ","Calm","1021.0"
"","2016-03-7","17.1","29.9","0","","","","","","21.8","87","","","","1022.3","29.6","57","","ENE","26","1018.8"
"","2016-03-8","17.7","28.1","0","","","E","28","11:56","22.7","82","","WSW","9","1023.0","27.0","72","3","SE","13","1021.7"
"","2016-03-9","18.0","31.5","0","","","ENE","37","14:52","22.7","91","","SSW","2","1022.9","30.6","54","1","NE","24","1018.5"
"","2016-03-10","19.2","31.1","0","","","ENE","33","14:52","23.7","78","","NW","4","1019.9","30.3","56","","E","20","1017.6"
"","2016-03-11","19.5","30.2","0","","","ENE","37","14:15","23.7","83",""," ","Calm","1020.3","28.2","65","","E","24","1017.5"
"","2016-03-12","18.1","31.0","0","","","NE","43","15:32","23.9","82",""," ","Calm","1019.8","29.4","58",""," ","Calm","1018.0"
"","2016-03-13","17.8","29.8","0","","","ENE","37","15:38","23.8","77",""," ","Calm","1020.3","28.1","63","1","ENE","2","1017.1"
"","2016-03-14","18.5","30.7","0","","","E","35","14:19","23.6","81",""," ","Calm","1016.3","29.4","62","","ENE","11","1012.9"
"","2016-03-15","19.1","28.0","0.6","","","SE","31","15:12","21.8","100","4","WNW","7","1017.3","26.7","63","2","SSE","2","1016.3"
"","2016-03-16","19.8","26.6","0.4","","","WSW","17","00:18","21.4","89","5"," ","Calm","1017.4","25.0","67","8"," ","Calm","1016.3"
"","2016-03-17","18.3","27.0","0","","","","","","20.8","84","6"," ","Calm","1016.1","24.8","68","8"," ","Calm","1012.2"
"","2016-03-18","19.0","30.1","0","","","N","19","08:09","23.6","77","","N","2","1005.9","28.1","65","3"," ","Calm","1000.6"
"","2016-03-19","18.4","25.9","0","","","NNW","9","22:37","20.7","45","3"," ","Calm","1009.8","25.8","32",""," ","Calm","1009.4"
"","2016-03-20","18.3","25.6","0","","","NNW","7","23:39","20.5","66","8"," ","Calm","1015.7","23.3","59","6"," ","Calm","1014.2"
"","2016-03-21","17.7","23.7","0","","","SSW","35","14:55","17.8","86","5"," ","Calm","1016.7","23.2","60","8"," ","Calm","1014.3"
"","2016-03-22","15.6","25.3","0.4","","","SW","37","13:21","18.9","73","8"," ","Calm","1016.1","24.0","49","1"," ","Calm","1013.4"
"","2016-03-23","17.0","27.1","0","","","SE","31","15:47","20.0","68",""," ","Calm","1017.4","26.3","41","2"," ","Calm","1016.3"
"","2016-03-24","12.6","28.3","0","","","","","","18.0","77","","W","9","1021.1","26.5","46","","E","17","1018.7"
"","2016-03-25","12.7","29.3","0","","","ENE","30","14:02","18.8","82","","WSW","6","1019.3","28.0","56","","ENE","22","1015.0"
"","2016-03-26","15.8","26.9","0","","","ESE","28","12:04","20.4","75","","WSW","13","1018.0","25.1","61","1","ESE","17","1015.4"
"","2016-03-27","16.1","27.8","0","","","NE","37","14:24","20.6","84","","W","6","1017.4","27.4","57","4","ENE","22","1015.4"
"","2016-03-28","17.0","30.2","0","","","ENE","37","14:20","19.2","95","","WSW","9","1018.8","29.5","54","2","NE","26","1014.3"
"","2016-03-29","18.5","31.4","0","","","N","33","13:57","21.4","84","","WSW","6","1016.9","23.3","78","8","N","20","1014.4"
"","2016-03-30","18.4","25.4","1.6","","","NW","26","10:08","19.8","95","6","NW","6","1015.5","24.8","56","1","NE","13","1012.9"
"","2016-03-31","14.7","26.8","1.8","","","SE","35","16:26","18.1","72","","WSW","13","1016.9","25.8","39","","SSW","17","1015.1"
