"Daily Weather Observations for Tatura, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3078.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Tatura, pressure taken from Shepparton."
"Temperature, humidity, wind, cloud, evaporation and rainfall observations are from Tatura Inst Sustainable Ag {station 081049}"
"Pressure observations are from Shepparton Airport {station 081125}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.4","33.8","0","","","NNW","35","13:30","20.6","62","","NE","13","1018.3","32.2","17","","NW","20","1015.4"
"","2016-03-2","12.3","36.4","0","","","S","35","21:44","21.5","43","","ESE","7","1017.4","35.1","15","","NW","11","1015.5"
"","2016-03-3","19.8","35.4","0","","","S","39","01:48","21.1","68","","SSW","13","1018.5","34.3","30","","W","9","1015.8"
"","2016-03-4","19.2","37.3","0","","","WNW","52","17:18","25.2","51","","ENE","15","1018.7","35.8","25","","NE","15","1014.8"
"","2016-03-5","19.1","38.7","0","","","SSW","30","17:49","26.5","48","","ENE","13","1017.6","36.8","23","","NNW","15","1015.4"
"","2016-03-6","18.9","38.6","0","","","ENE","31","11:42","22.0","65","","SSE","11","1018.4","36.9","21","","NNE","13","1015.4"
"","2016-03-7","19.3","38.7","0","","","SSE","33","16:47","25.2","50","","ENE","15","1017.7","37.4","19","","NE","13","1015.4"
"","2016-03-8","17.6","38.3","0","","","NE","31","09:02","25.5","58","","E","11","1018.8","37.0","23","","NE","13","1016.0"
"","2016-03-9","23.5","37.6","0","","","S","48","21:46","26.7","40","","NE","20","1016.2","35.9","20","","N","13","1013.5"
"","2016-03-10","20.7","30.1","0","","","SSW","46","15:19","21.8","81","","S","15","1018.1","26.8","60","","SSW","24","1015.0"
"","2016-03-11","20.1","32.4","2.2","","","WNW","20","13:59","22.6","83","","E","7","1016.8","30.6","50","","N","11","1014.7"
"","2016-03-12","19.1","32.2","0","","","S","33","18:52","22.8","75","","SSE","13","1018.3","30.8","42","","SSW","13","1016.7"
"","2016-03-13","17.7","32.5","0","","","S","28","07:49","20.3","76","","SSE","19","1018.7","30.8","39","","WSW","15","1016.0"
"","2016-03-14","17.1","28.5","0","","","SSW","41","17:01","20.1","74","","S","22","1017.8","28.0","41","","S","22","1015.4"
"","2016-03-15","13.7","31.3","0","","","ENE","39","22:07","18.3","65","","SE","11","1018.1","28.9","35","","ENE","13","1015.4"
"","2016-03-16","16.6","30.8","0","","","NNE","33","10:21","21.3","57","","ENE","11","1018.5","29.3","37","","N","13","1015.0"
"","2016-03-17","17.2","31.8","0","","","N","33","08:59","20.8","64","","NE","17","1014.5","29.9","38","","NE","17","1008.3"
"","2016-03-18","16.0","20.8","12.8","","","W","81","07:54","16.0","79","","WSW","48","997.2","20.0","48","","WSW","37","1001.7"
"","2016-03-19","8.7","19.9","1.8","","","S","37","13:06","12.0","79","","WSW","13","1014.9","18.4","50","","S","13","1015.4"
"","2016-03-20","8.8","22.8","0","","","SSW","31","15:09","12.5","62","","SSE","15","1018.8","20.9","40","","SW","9","1017.2"
"","2016-03-21","8.4","24.5","0","","","SSW","24","14:26","13.1","78","","S","11","1020.3","22.7","35","","SSE","13","1017.3"
"","2016-03-22","9.7","25.4","0","","","N","24","10:55","14.5","83","","SSE","6","1019.4","24.0","37","","SE","6","1016.3"
"","2016-03-23","8.9","27.6","0","","","W","26","11:19","15.4","68","","NNE","6","1017.9","26.3","28","","NW","15","1016.7"
"","2016-03-24","15.3","25.6","0","","","SE","22","11:55","18.7","71","","SE","4","1019.5","23.6","43","","ENE","13","1017.5"
"","2016-03-25","14.1","25.1","0","","","SW","33","14:40","16.6","77","","S","13","1018.8","24.0","45","","SSW","17","1016.9"
"","2016-03-26","11.5","23.3","0","","","SSW","37","10:28","14.8","75","","SSW","15","1019.4","22.1","50","","SW","15","1017.8"
"","2016-03-27","12.4","22.4","0","","","SSW","39","09:03","15.2","72","","S","22","1018.6","21.7","35","","SSW","20","1017.0"
"","2016-03-28","10.6","22.1","0","","","SSW","33","17:29","13.4","63","","S","17","1017.1","21.4","40","","SSW","9","1015.2"
"","2016-03-29","13.2","24.2","0","","","S","37","17:27","14.3","66","","SSE","13","1017.9","22.6","38","","SW","9","1015.6"
"","2016-03-30","11.1","21.4","0","","","SSE","41","11:02","13.6","78","","S","13","1018.2","19.9","50","","S","22","1016.8"
"","2016-03-31","8.5","23.5","0","","","SW","22","02:03","11.8","71","","S","11","1019.4","22.7","36","","W","11","1016.7"
