"Daily Weather Observations for Terrey Hills, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2154.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Terrey Hills AWS {station 066059}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.9","26.8","1.0","","","NE","30","16:15","20.0","100","","WNW","2","","26.1","65","","NE","9",""
"","2016-03-2","19.2","28.8","0.2","","","NE","35","15:31","22.3","81","","N","9","","27.6","64","","NNE","7",""
"","2016-03-3","19.7","29.4","0","","","NE","43","18:01","23.3","88","","N","9","","26.4","72","","NNE","15",""
"","2016-03-4","20.5","27.1","0","","","NE","35","13:26","22.3","91","","N","9","","25.7","66","","NNE","15",""
"","2016-03-5","18.0","28.0","0","","","NE","37","16:52","21.8","86","","N","9","","27.0","60","","NE","17",""
"","2016-03-6","17.6","28.3","0","","","NE","39","16:12","22.6","83","","N","7","","26.5","71","","NE","15",""
"","2016-03-7","19.0","29.5","0","","","NE","37","15:49","21.6","96","","N","4","","27.8","65","","ENE","13",""
"","2016-03-8","20.1","27.8","0","","","ENE","33","11:24","23.5","81","","NE","7","","25.0","73","","ENE","20",""
"","2016-03-9","20.7","30.9","0.2","","","NE","35","14:34","21.9","96","","NNW","7","","28.3","65","","NE","17",""
"","2016-03-10","20.6","29.8","0","","","ESE","26","13:19","24.0","94",""," ","Calm","","26.3","79","","ESE","13",""
"","2016-03-11","20.8","28.2","0","","","NE","33","13:44","23.4","94","","NE","4","","26.3","73","","NE","13",""
"","2016-03-12","19.6","29.8","0","","","NE","37","20:47","20.7","100","","W","4","","27.3","70","","E","13",""
"","2016-03-13","20.1","28.3","0.2","","","ENE","31","15:40","23.8","80","","NE","9","","27.1","61","","ENE","17",""
"","2016-03-14","19.6","29.6","0","","","SSW","28","19:27","21.1","100","","W","6","","27.8","68","","SE","11",""
"","2016-03-15","18.8","22.4","2.2","","","SSW","37","04:14","19.0","100","","SSW","13","","21.9","93","","S","7",""
"","2016-03-16","18.2","24.3","18.8","","","SSE","33","12:32","18.6","100","","E","6","","22.2","79","","S","13",""
"","2016-03-17","17.6","25.3","12.4","","","ENE","24","14:37","18.5","100","","W","7","","23.7","77","","ENE","15",""
"","2016-03-18","18.1","27.0","0","","","W","35","16:08","20.5","94","","N","13","","24.1","86","","N","15",""
"","2016-03-19","12.7","21.7","7.6","","","W","31","01:42","16.3","57","","W","11","","19.9","50","","SE","15",""
"","2016-03-20","15.2","20.0","0","","","SW","33","14:04","16.4","78","","WSW","11","","17.6","91","","SSW","15",""
"","2016-03-21","14.0","19.6","37.2","","","SSW","30","14:47","14.1","100","","WSW","9","","19.3","87","","S","9",""
"","2016-03-22","13.3","21.6","11.0","","","SSW","41","15:06","16.0","87","","SW","17","","21.1","69","","S","13",""
"","2016-03-23","14.0","23.9","0.2","","","WSW","24","05:41","17.2","82","","WSW","11","","22.4","61","","E","7",""
"","2016-03-24","15.5","27.0","0","","","ENE","26","15:08","18.7","85","","WNW","7","","25.0","53","","ENE","17",""
"","2016-03-25","18.5","25.5","0","","","N","19","06:44","19.6","88","","N","7","","21.6","79","","NW","4",""
"","2016-03-26","15.6","25.1","0","","","ENE","24","16:10","18.1","95","","WNW","7","","23.9","74","","E","11",""
"","2016-03-27","17.0","23.2","0","","","E","31","13:46","20.6","95","","SSE","6","","21.1","87","","E","19",""
"","2016-03-28","18.2","25.4","4.2","","","ENE","30","11:31","19.8","100","","S","4","","23.2","87","","E","11",""
"","2016-03-29","19.3","21.9","0","","","S","24","10:44","20.2","100","","SSE","7","","20.1","99","","SSW","7",""
"","2016-03-30","17.6","26.3","2.8","","","WSW","26","15:26","18.5","100","","W","7","","26.2","44","","WNW","6",""
"","2016-03-31","15.4","22.9","0","","","SSW","26","10:15","18.0","59","","WSW","11","","22.6","54","","S","6",""
