"Daily Weather Observations for Paterson, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2108.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Paterson (Tocal AWS) {station 061250}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.7","29.7","0","6.0","","ESE","31","14:43","21.5","78","1","SSW","4","","27.8","54","","SE","15",""
"","2016-03-2","15.8","32.4","0","4.0","","","","","21.6","82","","NE","6","","31.3","38","","ESE","7",""
"","2016-03-3","17.5","33.3","0","6.2","","E","33","16:38","19.8","99","4","NE","7","","32.8","35","","SE","13",""
"","2016-03-4","17.6","29.8","0","6.0","","ESE","33","14:13","24.2","75","1","ESE","4","","29.3","54","","ESE","19",""
"","2016-03-5","15.5","31.5","0","3.4","","","","","20.4","88","3","NE","7","","30.6","44","","NNE","9",""
"","2016-03-6","15.9","32.1","0","5.6","","ESE","43","15:22","23.8","66","0","WSW","6","","31.6","39","","NE","17",""
"","2016-03-7","17.3","34.0","0","8.0","","ESE","33","16:57","22.3","83","1","NE","4","","32.9","39","","N","9",""
"","2016-03-8","19.3","31.8","0","7.2","","","","","24.0","71","0","NE","13","","30.3","50","","ESE","22",""
"","2016-03-9","18.4","34.8","0","6.2","","ESE","26","17:21","23.2","84","0","NE","6","","33.6","36","","ESE","11",""
"","2016-03-10","18.6","34.3","0","5.4","","SE","31","13:40","22.2","95","1","E","6","","32.7","37","","SSE","19",""
"","2016-03-11","20.1","34.2","0","6.8","","","","","22.9","90","6"," ","Calm","","33.2","26","","ENE","15",""
"","2016-03-12","18.5","34.3","0","3.4","","E","33","16:53","21.6","93","8"," ","Calm","","33.3","41","","S","13",""
"","2016-03-13","19.5","33.5","0","5.2","","SSE","30","15:37","24.3","70","2","ESE","7","","32.1","32","","NNE","9",""
"","2016-03-14","19.4","33.1","0","10.0","","","","","23.2","85","6","W","4","","30.3","54","","S","13",""
"","2016-03-15","20.6","26.0","1.2","5.2","","S","31","11:31","22.8","90","4"," ","Calm","","25.2","60","","SSE","15",""
"","2016-03-16","19.1","25.2","0.2","2.6","","S","31","15:10","20.4","89","8","SSW","7","","23.7","73","","S","19",""
"","2016-03-17","16.9","28.7","0.8","3.0","","ENE","30","14:25","20.0","97","8"," ","Calm","","26.1","61","","E","17",""
"","2016-03-18","16.5","30.7","0","4.0","","N","39","15:14","21.4","83","1"," ","Calm","","28.0","54","","N","26",""
"","2016-03-19","14.3","25.6","0","1.8","","SSE","33","14:02","19.7","48","2","WNW","13","","23.8","37","","SSE","17",""
"","2016-03-20","11.6","23.5","0","1.8","","S","30","12:34","15.8","84","8"," ","Calm","","22.2","53","","SSE","15",""
"","2016-03-21","15.8","23.6","1.8","8.2","","SSW","35","15:13","17.5","91","8","SW","7","","22.9","53","","S","17",""
"","2016-03-22","14.8","24.6","0.4","4.4","","S","39","12:19","18.2","73","6","WSW","11","","24.2","45","","S","9",""
"","2016-03-23","13.1","28.0","0","","","SSW","28","14:34","18.7","74","","ENE","9","","26.9","35","","WSW","11",""
"","2016-03-24","12.6","30.1","0","6.4","","ESE","31","15:48","17.3","74","0","E","7","","28.6","25","","SE","17",""
"","2016-03-25","12.5","26.5","0","3.2","","","","","17.6","79","1","WNW","2","","25.2","47","","W","13",""
"","2016-03-26","12.9","28.9","0","2.0","","SE","31","13:37","17.6","79","4","NE","7","","27.1","50","","SE","15",""
"","2016-03-27","14.5","29.2","0","2.6","","ESE","31","13:15","19.0","87","2","NNE","6","","27.0","56","","SSE","15",""
"","2016-03-28","15.4","30.6","0","5.2","","","","","20.5","86","5","ENE","6","","29.8","43","","ESE","9",""
"","2016-03-29","17.8","27.5","0","8.0","","SW","33","15:46","21.7","86","3","ENE","9","","25.6","74","","SE","9",""
"","2016-03-30","18.8","28.8","30.0","6.0","","W","43","12:13","20.9","57","2","NW","13","","26.7","34","","W","19",""
"","2016-03-31","13.9","26.9","0","6.6","","","","","20.9","41","0","W","19","","26.0","40","","SSE","13",""
