"Daily Weather Observations for Watsonia, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3079.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name ""Viewbank"". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.7","34.4","0","5.2","10.7","NNW","41","12:27","18.3","92","1","NNE","7","1017.8","32.9","20","6","N","20","1014.8"
"","2016-03-2","15.0","37.4","0","10.4","11.4","SW","37","15:48","20.6","54","2","E","9","1016.6","36.1","15","6","SSW","15","1014.1"
"","2016-03-3","17.1","26.7","0","8.8","10.5","WSW","30","15:58","18.3","72","7","SSW","11","1020.9","25.9","42","3","SW","15","1018.7"
"","2016-03-4","14.8","38.7","0","5.6","10.6","NNW","56","16:37","19.7","67","2","ESE","4","1017.8","37.0","22","6","NNW","19","1013.4"
"","2016-03-5","19.7","26.9","0","9.2","2.3","SSW","28","13:38","20.6","90","8","SW","11","1019.4","26.2","59","7","S","11","1019.3"
"","2016-03-6","17.4","30.8","0","4.0","8.8","WSW","35","16:09","18.7","84","8","E","4","1020.3","28.7","51","6","SW","17","1017.1"
"","2016-03-7","18.6","25.9","0","6.0","1.2","W","31","01:24","19.6","91","7"," ","Calm","1019.1","22.9","80","8","WSW","13","1020.1"
"","2016-03-8","19.4","39.9","0","2.4","10.1","NNW","39","13:44","20.1","96","5"," ","Calm","1019.4","38.8","17","4","NW","22","1014.6"
"","2016-03-9","20.1","31.6","0.2","17.4","0.3","NNW","43","03:26","29.2","32","7","NNW","11","1014.7","25.5","65","7","SW","17","1016.5"
"","2016-03-10","17.7","21.3","0.6","3.8","0.0","WSW","20","13:15","18.0","99","8","SSW","6","1021.5","19.5","100","8","W","13","1019.7"
"","2016-03-11","17.9","29.9","8.4","2.0","9.7","SSW","28","15:39","19.7","100","7"," ","Calm","1017.5","29.0","58","2","SW","13","1015.2"
"","2016-03-12","18.2","23.5","0","4.2","0.0","SSW","28","17:29","19.6","99","8"," ","Calm","1020.1","22.9","77","8","SW","9","1019.9"
"","2016-03-13","17.3","26.2","0","0.8","4.4","SW","28","15:00","18.0","97","8","SSW","7","1020.9","24.6","61","6","S","11","1018.3"
"","2016-03-14","17.1","21.6","0.2","3.8","0.0","SW","41","16:37","18.0","88","7","S","9","1020.7","19.6","62","7","SSW","20","1020.0"
"","2016-03-15","12.5","28.5","0","3.0","9.9","SE","33","15:18","14.8","87","6"," ","Calm","1020.2","27.5","43","5","E","15","1016.9"
"","2016-03-16","13.7","32.1","0","5.4","9.9","SE","24","17:43","16.2","86","4","NNE","4","1019.2","29.7","36","6","W","9","1014.5"
"","2016-03-17","16.2","33.5","0","9.0","10.2","N","41","09:39","23.7","51","2","NE","9","1012.9","31.8","30","7","N","17","1006.8"
"","2016-03-18","14.8","18.4","11.0","12.0","5.5","W","74","06:07","14.9","99","8","NW","7","997.9","17.6","53","5","SW","33","1001.7"
"","2016-03-19","10.8","17.8","6.2","6.2","1.8","WSW","39","09:27","12.0","100","7","W","9","1014.4","16.6","58","7","SSW","19","1016.5"
"","2016-03-20","8.7","24.1","0.2","3.2","10.9","S","22","15:21","10.7","90","2","ESE","4","1020.5","21.5","37","1","NNE","7","1018.7"
"","2016-03-21","8.5","23.8","0","4.8","11.4","SSW","35","15:46","11.2","94","1","E","4","1021.5","22.4","45","3","SSE","11","1018.7"
"","2016-03-22","8.8","26.7","0","5.2","11.2","S","19","15:38","11.5","99","1","E","7","1019.9","25.0","35","1","SE","9","1016.1"
"","2016-03-23","11.5","29.4","0","5.8","3.1","N","28","12:23","14.3","80","7","E","11","1016.6","28.3","25","7","SW","17","1015.0"
"","2016-03-24","14.2","21.7","0","5.2","0.3","SW","20","15:45","17.3","96","8","S","6","1020.6","21.1","60","7","S","2","1018.4"
"","2016-03-25","14.2","21.1","0","3.2","7.8","S","31","13:13","15.9","88","8"," ","Calm","1020.5","20.8","45","6","SSW","15","1019.3"
"","2016-03-26","10.7","20.5","0","4.0","0.6","SW","30","21:11","13.4","87","7"," ","Calm","1020.2","19.9","58","7","SW","11","1019.2"
