"Daily Weather Observations for Walpeup, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3080.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Walpeup, sun observations taken from Mildura."
"Temperature, humidity, wind and rainfall observations are from Walpeup Research {station 076064}"
"Sunshine observations are from Mildura Airport {station 076031}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.8","36.1","0","","10.8","WSW","33","14:48","20.7","37","","ENE","13","","33.7","13","","ENE","7",""
"","2016-03-2","18.8","41.0","0","","10.0","S","43","22:38","26.2","20","","NNW","4","","39.3","9","","WNW","9",""
"","2016-03-3","19.9","36.6","0","","10.8","WSW","44","05:30","20.7","61","","S","17","","33.8","25","","WSW","9",""
"","2016-03-4","20.4","39.5","0","","11.2","WNW","39","13:59","26.8","37","","NNE","20","","38.0","19","","NW","22",""
"","2016-03-5","21.8","41.1","0","","10.0","ESE","31","18:53","23.3","52","","S","17","","40.2","16","","NNW","11",""
"","2016-03-6","23.0","41.4","0","","10.2","ENE","41","16:45","27.4","45","","E","17","","39.6","15","","NNE","7",""
"","2016-03-7","23.2","41.0","0","","11.3","S","37","20:57","26.3","45","","SSE","15","","38.4","19","","NW","7",""
"","2016-03-8","21.7","41.3","0","","10.2","N","46","12:48","25.5","48","","ENE","15","","38.0","17","","N","24",""
"","2016-03-9","21.9","37.5","0","","6.4","SW","44","17:05","24.5","60","","SSW","15","","35.9","26","","WSW","11",""
"","2016-03-10","20.5","26.8","1.0","","3.8","S","35","01:52","20.8","92","","SSE","24","","24.1","71","","S","20",""
"","2016-03-11","17.8","34.0","0","","8.6","S","26","19:08","20.4","100","","SSE","9","","32.8","38","","SW","7",""
"","2016-03-12","19.7","34.1","0","","9.7","S","33","16:57","22.2","75","","SE","11","","31.7","37","","SSW","15",""
"","2016-03-13","16.8","35.9","0","","4.0","ESE","26","21:31","19.4","79","","SE","15","","32.6","24","","ESE","6",""
"","2016-03-14","16.9","32.1","0","","7.9","SSE","41","22:38","18.4","76","","S","28","","31.3","32","","SSW","13",""
"","2016-03-15","14.3","30.8","0","","9.6","SSE","41","23:07","15.1","69","","SSE","13","","28.2","24","","SW","7",""
"","2016-03-16","15.1","34.9","0","","8.6","E","22","08:12","23.7","31","","ENE","6","","32.9","23","","NNE","9",""
"","2016-03-17","21.1","35.1","0","","10.4","WNW","56","19:00","24.4","52","","N","15","","34.0","29","","N","15",""
"","2016-03-18","13.4","22.2","4.2","","10.5","WSW","80","03:54","13.7","80","","WSW","33","","20.0","38","","SW","31",""
"","2016-03-19","8.6","21.2","0.2","","11.1","SW","33","15:23","11.5","91","","SW","6","","20.4","42","","SW","19",""
"","2016-03-20","8.7","22.7","0","","11.0","SSW","35","16:18","11.4","75","","S","13","","20.6","32","","S","17",""
"","2016-03-21","10.1","26.3","0","","11.0","SSE","26","11:44","13.5","75","","SE","13","","25.2","26","","SE","13",""
"","2016-03-22","13.0","29.4","0","","10.5","E","33","11:55","15.3","69","","E","15","","27.9","19","","NW","4",""
"","2016-03-23","15.3","30.0","0","","7.3","NW","35","13:00","19.8","30","","N","13","","28.7","16","","WNW","22",""
"","2016-03-24","17.5","29.4","0","","3.8","WNW","33","15:09","17.8","72","","W","7","","28.2","32","","WNW","15",""
"","2016-03-25","13.9","25.3","1.6","","9.8","SSW","35","12:46","14.1","88","","SSW","17","","23.4","32","","SSW","15",""
"","2016-03-26","10.1","25.2","0.2","","10.5","SW","35","14:18","12.7","82","","SSW","9","","24.3","34","","SW","19",""
"","2016-03-27","10.7","23.4","0","","8.7","S","31","13:06","12.7","84","","S","13","","22.3","34","","SSW","15",""
"","2016-03-28","11.7","20.9","0","","7.2","SW","28","14:32","12.6","62","","SSE","11","","19.9","35","","SSW","17",""
"","2016-03-29","10.7","21.9","0","","4.7","SSW","37","13:36","12.0","70","","S","15","","20.7","34","","S","13",""
"","2016-03-30","7.2","22.1","0","","10.5","S","39","11:00","11.1","58","","SSW","13","","21.0","28","","S","24",""
"","2016-03-31","9.3","24.6","0","","11.0","WSW","28","13:11","11.9","81","","SSW","4","","23.1","35","","WSW","9",""
