"Daily Weather Observations for Warracknabeal, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3082.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Warracknabeal, but pressure from Horsham Airport."
"Horsham Airport is several kilometres south of Warracknabeal, so the pressures will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Warracknabeal Museum {station 078077}"
"Pressure observations are from Horsham Aerodrome {station 079100}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.5","34.2","0","","","","","","19.5","64","0","NE","7","1017.1","","","","","","1015.1"
"","2016-03-2","16.0","39.0","0","","","","","","23.0","38","1"," ","Calm","1016.7","","","","","","1014.5"
"","2016-03-3","17.0","35.0","3.0","","","","","","19.0","72","7","S","11","1019.2","","","","","","1017.1"
"","2016-03-4","18.0","39.0","0","","","","","","23.1","51","1","E","4","1015.9","","","","","","1012.9"
"","2016-03-5","18.2","37.5","0","","","","","","20.0","77","4","SE","7","1017.8","","","","","","1016.4"
"","2016-03-6","18.5","40.4","0","","","","","","22.0","58","7","SE","6","1017.4","","","","","","1013.9"
"","2016-03-7","","37.0","0","","","","","","24.8","53","5","SSE","9","1016.4","","","","","","1016.2"
"","2016-03-8","18.8","40.5","0","","","","","","20.0","86","6","SE","6","1016.8","","","","","","1013.4"
"","2016-03-9","","35.2","0","","","","","","25.8","67","7"," ","Calm","1015.1","","","","","","1014.9"
"","2016-03-10","19.5","23.8","5.2","","","","","","20.0","92","8","SSW","4","1019.7","","","","","","1017.3"
"","2016-03-11","18.5","31.6","9.8","","","","","","21.0","91","0","SSE","2","1017.3","","","","","","1015.5"
"","2016-03-12","18.5","30.5","0","","","","","","19.9","87","7","S","7","1019.6","","","","","","1019.0"
"","2016-03-13","16.0","33.2","0","","","","","","18.0","90","4","SE","6","1019.8","","","","","","1017.4"
"","2016-03-14","16.0","28.5","0","","","","","","19.0","76","2","SE","17","1020.1","","","","","","1017.9"
"","2016-03-15","13.0","30.5","0","","","","","","16.5","74","0","SE","13","1019.1","","","","","","1016.4"
"","2016-03-16","15.3","33.9","0","","","","","","18.8","73","5","E","2","1016.5","","","","","","1013.4"
"","2016-03-17","18.4","34.0","0","","","","","","22.0","51","5","NNE","2","1011.1","","","","","","1004.8"
"","2016-03-18","12.8","20.0","4.2","","","","","","14.0","71","4","NW","7","1002.2","","","","","","1006.7"
"","2016-03-19","8.5","19.2","0.1","","","","","","11.2","97","7","SW","4","1017.0","","","","","","1017.5"
"","2016-03-20","10.0","22.0","0","","","","","","13.0","70","7","S","2","1021.5","","","","","","1019.6"
"","2016-03-21","10.6","","0","","","","","","13.0","81","0","SE","13","1020.7","","","","","","1018.1"
"","2016-03-22","","28.5","0","","","","","","15.0","79","0","SE","4","1018.8","","","","","","1015.8"
"","2016-03-23","13.4","29.5","0","","","","","","16.2","54","7"," ","Calm","1016.5","","","","","","1015.6"
"","2016-03-24","16.0","28.5","0","","","","","","18.0","74","7","S","2","1019.9","","","","","","1018.0"
"","2016-03-25","11.5","24.0","0","","","","","","13.5","83","3","SW","4","1022.0","","","","","","1019.9"
"","2016-03-26","9.5","24.0","0","","","","","","12.0","94","2","SW","2","1021.5","","","","","","1020.3"
"","2016-03-27","10.8","21.5","0","","","","","","15.5","62","7","S","6","1022.6","","","","","","1020.3"
"","2016-03-28","9.8","19.5","0","","","","","","11.5","72","7","S","9","1020.2","","","","","","1019.1"
"","2016-03-29","8.0","22.2","0","","","","","","12.0","76","3","SW","4","1021.4","","","","","","1019.0"
"","2016-03-30","7.9","21.0","0","","","","","","13.1","60","7","SSW","6","1022.4","","","","","","1020.6"
"","2016-03-31","7.0","24.5","0","","","","","","12.1","81","1","W","2","1021.2","","","","","","1018.1"
